Well Name,Fluid Above Pump (ft),Gas Free Above Pump (ft),Date,Time
Aniken#1,21,21,10/3/2023,1:39:16 PM
Annpick#1,121,121,6/10/2022,9:56:25 AM
Annpick#1,,,6/20/2022,9:47:26 AM
Annpick#1,340,340,6/20/2022,10:00:38 AM
Annpick#1,140,140,6/30/2022,3:05:52 PM
Annpick#1,,,7/13/2022,12:36:46 PM
Annpick#1,87,30,7/13/2022,12:47:21 PM
Annpick#1,56,47,7/28/2022,11:15:52 AM
Annpick#1,30,30,5/25/2023,11:41:25 AM
Annpick#1,4,4,1/30/2024,12:18:18 PM
Annpick#1,7,7,1/30/2024,12:23:26 PM
BALFOUR #1,,,6/6/2022,9:45:21 AM
BALFOUR #1,4983,932,6/6/2022,10:02:03 AM
BALFOUR #1,,,6/9/2022,12:17:35 PM
BALFOUR #1,4142,775,6/9/2022,12:30:15 PM
BALFOUR #1,,,6/13/2022,10:46:33 AM
BALFOUR #1,5566,1041,6/13/2022,11:04:02 AM
BALFOUR #1,,,6/20/2022,12:22:03 PM
BALFOUR #1,5047,1361,6/20/2022,12:36:29 PM
BALFOUR #1,,,6/24/2022,11:53:08 AM
BALFOUR #1,5441,1017,6/24/2022,12:06:25 PM
BALFOUR #1,,,6/27/2022,1:49:28 PM
BALFOUR #1,5320,1041,6/27/2022,2:07:09 PM
BALFOUR #1,,,7/7/2022,3:08:28 PM
BALFOUR #1,5839,1092,7/7/2022,3:22:22 PM
BALFOUR #1,1555,466,7/13/2022,9:28:37 AM
BALFOUR #1,,,7/13/2022,9:45:21 AM
BALFOUR #1,,,7/10/2023,9:51:25 AM
BALFOUR #1,779,164,7/10/2023,10:07:48 AM
BALFOUR #1,,,1/27/2024,2:28:59 PM
BALFOUR #1,1510,441,1/27/2024,2:33:27 PM
BALFOUR #1,,,4/25/2024,11:58:47 AM
BALFOUR #1,301,77,4/25/2024,12:00:07 PM
BARRIER#1,,,6/8/2022,9:43:58 AM
BARRIER#1,13,4,6/8/2022,10:01:28 AM
BARRIER#1,474,126,6/30/2022,1:50:38 PM
BARRIER#1,,,7/11/2022,2:58:05 PM
BARRIER#1,3,1,7/11/2022,3:13:34 PM
BARRIER#1,494,131,7/14/2022,3:14:13 PM
BARRIER#1,486,130,7/19/2022,8:57:20 AM
BARRIER#1,,,7/6/2023,3:12:38 PM
BARRIER#1,71,18,7/6/2023,3:38:02 PM
BARRIER#1,,,2/2/2024,2:34:13 PM
BARRIER#1,3176,831,2/2/2024,2:38:51 PM
BARRIER#1,,,2/2/2024,2:41:38 PM
Beeler #16,3485,3485,4/12/2024,4:00:54 PM
Beeler #16,,,4/16/2024,10:37:05 AM
