Date,Time,Well Name,Seating Nipple Depth (ft),Pump Run Date,Surface Unit API,Strokes Per Minute (SPM),Maximum Plunger Stroke (in),Pump Displacement (BBL/D),Gas Free Above Pump (ft),Fluid Above Pump (ft),Adjusted Displacement (BBL/D),Plunger OD (in),Adjusted EPT (in),Effective Plunger Travel (in)
02/22/2023,01:02:25 PM,Aaron #1,6554,04/25/2022,C-640-365-168,5.53,113.53,259,,,243,,93.2,99.60
02/22/2023,01:17:52 PM,Aaron #1,6554,04/25/2022,C-640-365-168,,,,1097,5013,,,,
02/27/2023,11:14:06 AM,Aaron #1,6554,02/24/2023,C-640-365-168,5.84,122.73,219,,,203,,97.1,104.66
03/22/2023,11:43:53 AM,Aaron #1,6554,02/24/2023,C-640-365-168,5.82,117.88,234,,,224,,107.8,112.72
03/22/2023,11:57:25 AM,Aaron #1,6554,02/24/2023,C-640-365-168,,,,1104,3722,,,,
07/06/2023,12:50:30 PM,Aaron #1,6554,02/24/2023,C-640-365-168,5.42,117.68,201,,,190,,102.1,107.94
07/06/2023,01:04:22 PM,Aaron #1,6554,02/24/2023,C-640-365-168,,,,1214,5317,,,,
11/21/2023,10:05:56 AM,Aaron #1,6554,02/24/2023,C-640-365-168,4.54,122.55,172,,,149,,90.2,103.82
11/21/2023,10:23:08 AM,Aaron #1,6554,02/24/2023,C-640-365-168,,,,1101,3751,,,,
01/18/2024,10:01:49 AM,Aaron #1,6554,02/24/2023,C-640-365-168,4.87,143.15,223,,,211,,122.8,129.82
01/18/2024,10:18:32 AM,Aaron #1,6554,02/24/2023,C-640-365-168,,,,991,4755,,,,
01/27/2024,10:39:08 AM,Aaron #1,6554,02/24/2023,C-640-365-168,,,,951,4723,,,,
01/27/2024,10:41:26 AM,Aaron #1,6554,02/24/2023,C-640-365-168,5.27,142.45,124,,,72,,39.9,68.82
03/04/2024,02:12:57 PM,Aaron #1,6554,02/24/2023,C-640-365-168,5.22,147.91,241,,,222,,117.4,127.55
03/04/2024,02:14:11 PM,Aaron #1,6554,02/24/2023,C-640-365-168,,,,739,3571,,,,
03/07/2024,02:21:00 PM,
03/07/2024,02:21:00 PM,Aaron #1,6554,02/24/2023,C-640-365-168,6.66,150.41,303,,,287,,117.9,124.68
