Well Name,Last Production
Beal #1,2023-08-03
Benge Unit #1H,2023-08-03
Bradshaw #1,2023-08-03
Buchanan Unit #1,2023-07-25
Caldwell #1,2023-08-03
Carroll Unit #1,2023-08-03
Christopher #1,2021-06-19
Ck #1,2023-08-03
Clary Rb #1,2023-08-03
Coffman #1H,2023-08-03
Davis Ozelle Unit 1 H,2020-10-17
Della #1,2023-08-03
Drake #1,2023-08-03
Drake #2,2023-08-03
Eva #1,2023-08-03
Feather Crest Farms #1,2023-08-03
Flora #1,2023-08-03
Floyd #1,2023-08-03
Harrison #1H,2023-08-03
Harrison #2H,2023-08-03
Hayes #1,2023-08-03
Hayes #2,2023-08-03
Herbich #1H,2023-08-03
Herbich #2H,2023-08-03
Isbell #1,2023-08-03
Jam #1,2023-08-03
Jones #1,2023-08-01
Joyce #1,2023-08-03
Kadav #1,2023-08-03
Kagg #1,2023-08-03
Kagg #2,2023-08-03
Kennedy #1,2023-08-03
Knotts-Yeager Unit #1,2023-08-03
Leon T-Bar-X Unit 1,2023-08-03
Mcduffie Unit #1,2023-08-03
Mosley #1,2023-08-03
Mt Unit #1H,2023-08-03
Murphey-Smith #1,2023-08-03
Myrtle #1,2023-08-03
Nevill #1,2023-08-03
Ortiz Unit #1,2023-08-03
Owen #1,2023-08-02
Peters #5,2023-08-03
Peters #6,2023-08-03
Peters #7,2023-08-03
Post Oak #1,2023-08-03
Post Oak #2,2023-08-03
Ra #1,2023-08-03
Ruen #1,2023-08-03
Ruen #2,2023-08-03
Ruen #3X,2023-08-03
Sandifer Unit #1,2023-08-03
Smith Georgette #1,2023-08-03
Soell #1,2023-08-03
Spiller T-Bar-X #1,2023-08-03
Sutton #1,2023-08-03
Sutton #2,2023-08-03
Sutton #3,2023-08-03
Timothy #1,2023-08-03
Urso #1,2023-07-25
Warren #1H,2023-08-03
Watson-Buck #1H,2023-08-03
Webb #1,2023-08-03
Wendel #1,2021-03-13
White-Springer #1,2023-08-03
Wickson Unit #1,2023-08-03
Wiese #1H,2023-08-03
William #1,2023-08-03
Willie #1,2023-08-03
Wilson #1,2023-08-03
Ws #1,2023-08-03
