Well Name,Unnamed: 0,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Date
Carroll Unit #1,11352726.0,227.0,3151.0,1040.0,3320.0,0.0,2004-01-01
Wickson Unit #1,11353375.0,494.0,3348.0,1305.0,1200.0,0.0,2004-01-01
Warren #1H,11353344.0,2819.0,17204.0,1612.0,5630.0,0.0,2004-01-01
Timothy #1,11353313.0,500.0,0.0,350.0,615.0,0.0,2004-01-01
Buchanan Unit #1,11352695.0,0.0,0.0,0.0,0.0,0.0,2004-01-01
Spiller T-Bar-X #1,11353282.0,262.0,0.0,624.0,345.0,0.0,2004-01-01
Soell #1,11353251.0,209.0,0.0,1124.0,0.0,0.0,2004-01-01
Smith Georgette #1,11353220.0,187.0,135.0,738.0,740.0,0.0,2004-01-01
Sandifer Unit #1,11353189.0,239.0,0.0,928.0,750.0,0.0,2004-01-01
Peters #5,11353158.0,0.0,0.0,0.0,0.0,0.0,2004-01-01
Ortiz Unit #1,11353127.0,720.0,535.0,4.0,1240.0,0.0,2004-01-01
Murphey-Smith #1,11353096.0,6149.0,32199.0,6741.0,11075.0,0.0,2004-01-01
Mosley #1,11353065.0,1003.0,3000.0,272.0,3745.0,0.0,2004-01-01
Christopher #1,11352757.0,381.0,0.0,331.0,595.0,0.0,2004-01-01
McDuffie Unit #1,11353034.0,80.0,170.0,45.0,160.0,0.0,2004-01-01
Leon T-Bar-X Unit 1,10619858.0,723.0,340.0,797.0,880.0,0.0,2004-01-01
Knotts-Yeager Unit #1,11352974.0,0.0,0.0,0.0,0.0,0.0,2004-01-01
Kadav #1,11352943.0,410.0,0.0,1969.0,438.0,0.0,2004-01-01
Jones #1,11352912.0,0.0,0.0,0.0,0.0,0.0,2004-01-01
Davis Ozelle Unit 1 H,11352788.0,62.0,2268.0,0.0,1830.0,0.0,2004-01-01
Herbich #1H,11352881.0,0.0,0.0,0.0,0.0,0.0,2004-01-01
Feather Crest Farms #1,11352850.0,9936.0,22702.0,6082.0,6850.0,0.0,2004-01-01
Wilson #1,11353406.0,0.0,0.0,0.0,0.0,0.0,2004-01-01
East Texas Total,271740063.0,25288.0,85600.0,25826.0,40453.0,0.0,2004-01-01
Eva #1,11352819.0,887.0,548.0,1864.0,1040.0,0.0,2004-01-01
Soell #1,10599906.0,200.0,0.0,1004.0,0.0,0.0,2004-02-01
Leon T-Bar-X Unit 1,10599674.0,815.0,447.0,1005.0,1080.0,0.0,2004-02-01
Warren #1H,10599993.0,6429.0,61864.0,2376.0,11925.0,0.0,2004-02-01
Murphey-Smith #1,10599761.0,4470.0,20160.0,5285.0,8300.0,0.0,2004-02-01
Ortiz Unit #1,10599790.0,803.0,555.0,2.0,1160.0,0.0,2004-02-01
Eva #1,10599500.0,910.0,585.0,2209.0,1090.0,0.0,2004-02-01
Christopher #1,10599442.0,270.0,0.0,298.0,550.0,0.0,2004-02-01
Kadav #1,10599616.0,386.0,0.0,1925.0,376.0,0.0,2004-02-01
Smith Georgette #1,10599877.0,207.0,240.0,1008.0,890.0,0.0,2004-02-01
Peters #5,10599819.0,0.0,0.0,0.0,0.0,0.0,2004-02-01
Mosley #1,10599732.0,916.0,3272.0,261.0,3490.0,0.0,2004-02-01
Wickson Unit #1,10600022.0,436.0,2227.0,1052.0,1160.0,0.0,2004-02-01
Feather Crest Farms #1,10599529.0,7774.0,17083.0,4635.0,5970.0,0.0,2004-02-01
Spiller T-Bar-X #1,10599935.0,288.0,0.0,512.0,520.0,0.0,2004-02-01
Carroll Unit #1,10599413.0,175.0,2779.0,1002.0,3180.0,0.0,2004-02-01
Timothy #1,10599964.0,489.0,0.0,285.0,555.0,0.0,2004-02-01
McDuffie Unit #1,10599703.0,149.0,225.0,30.0,242.0,0.0,2004-02-01
Davis Ozelle Unit 1 H,10599471.0,62.0,2350.0,0.0,2105.0,0.0,2004-02-01
East Texas Total,254393220.0,25167.0,111787.0,23756.0,43463.0,0.0,2004-02-01
Sandifer Unit #1,10599848.0,256.0,0.0,785.0,770.0,0.0,2004-02-01
Wilson #1,10600051.0,0.0,0.0,0.0,0.0,0.0,2004-02-01
Knotts-Yeager Unit #1,10599645.0,0.0,0.0,0.0,0.0,0.0,2004-02-01
Jones #1,10599587.0,0.0,0.0,0.0,0.0,0.0,2004-02-01
Buchanan Unit #1,10599384.0,132.0,0.0,82.0,100.0,0.0,2004-02-01
Herbich #1H,10599558.0,0.0,0.0,0.0,0.0,0.0,2004-02-01
Buchanan Unit #1,11308056.0,44.0,0.0,71.0,100.0,0.0,2004-03-01
Soell #1,11308614.0,190.0,5.0,1012.0,60.0,0.0,2004-03-01
Jones #1,11308273.0,0.0,0.0,0.0,0.0,0.0,2004-03-01
Murphey-Smith #1,11308459.0,5754.0,26658.0,6354.0,10425.0,0.0,2004-03-01
Peters #5,11308521.0,0.0,0.0,0.0,0.0,0.0,2004-03-01
Spiller T-Bar-X #1,11308645.0,301.0,0.0,549.0,630.0,0.0,2004-03-01
East Texas Total,271401900.0,33475.0,95373.0,28399.0,43790.0,0.0,2004-03-01
Wilson #1,11308769.0,0.0,0.0,0.0,0.0,0.0,2004-03-01
Mosley #1,11308428.0,918.0,3241.0,234.0,3750.0,0.0,2004-03-01
Kadav #1,11308304.0,292.0,0.0,2091.0,550.0,0.0,2004-03-01
Knotts-Yeager Unit #1,11308335.0,0.0,0.0,0.0,0.0,0.0,2004-03-01
