Date,Time,Well Name,Seating Nipple Depth (ft),Pump Run Date,Surface Unit API,Strokes Per Minute (SPM),Maximum Plunger Stroke (in),Pump Displacement (BBL/D),Gas Free Above Pump (ft),Fluid Above Pump (ft),Adjusted Displacement (BBL/D)
02/21/2024,10:01:02 AM,Beal #1,8257,01/23/2024,C-456-305-120,7.34,89.20,18,,,0
02/21/2024,10:10:21 AM,Beal #1,8257,01/23/2024,C-456-305-120,,,,,,
02/21/2024,03:19:31 PM,Benge #1,8162,08/16/2022,,5.38,61.23,57,,,50
02/21/2024,03:22:06 PM,Benge #1,8162,08/16/2022,,,,,290,494,
02/21/2024,03:27:02 PM,Benge #1,8162,08/16/2022,,,,,254,448,
02/21/2024,04:58:12 PM,Bradshaw #1,8090,09/07/2021,,6.20,113.75,27,,,0
02/21/2024,05:02:16 PM,Bradshaw #1,8090,09/07/2021,,,,,,,
02/21/2024,02:46:28 PM,CK #1,8261,07/07/2017,M-640D-256-144,4.34,131.17,60,,,0
02/21/2024,02:48:58 PM,CK #1,8261,07/07/2017,M-640D-256-144,,,,2082,2082,
02/21/2024,03:52:51 PM,Coffman #1,7961,10/25/2022,,,,,1519,1519,
02/20/2024,02:39:23 PM,Della #1,8295,02/20/2024,C-320D-305-120,7.18,73.96,127,,,96
02/20/2024,02:47:07 PM,Della #1,8295,02/20/2024,C-320D-305-120,,,,1143,3876,
02/20/2024,03:05:46 PM,Della #1,8295,02/20/2024,C-320D-305-120,7.80,68.29,125,,,90
02/22/2024,09:38:11 AM,Drake #1,7312,02/22/2024,C-640-305-144,6.71,116.49,46,,,10
02/22/2024,09:41:03 AM,Drake #1,7312,02/22/2024,C-640-305-144,,,,,,
02/22/2024,09:55:25 AM,Drake #2,7629,02/22/2024,C-320-213-120,5.56,68.82,87,,,60
02/22/2024,10:02:25 AM,Drake #2,7629,02/22/2024,C-320-213-120,,,,21,80,
02/23/2024,11:44:51 AM,Eva #1,7300,02/23/2024,,5.57,64.74,78,,,66
02/23/2024,11:47:15 AM,Eva #1,7300,02/23/2024,,,,,,,
02/20/2024,05:20:43 PM,Flora #1,8324,07/23/2021,C-320D-305-120,7.59,59.88,99,,,69
02/20/2024,05:24:57 PM,Flora #1,8324,07/23/2021,C-320D-305-120,,,,933,4074,
02/22/2024,10:23:51 AM,Floyd #1,7750,02/22/2024,,5.48,64.67,77,,,44
02/22/2024,10:27:13 AM,Floyd #1,7750,02/22/2024,,,,,,,
02/23/2024,12:18:33 PM,Georgette Smith,8025,02/23/2024,,,,,,,
02/23/2024,12:20:55 PM,Georgette Smith,8025,02/23/2024,,5.59,-340282346638528859811704183484516925440.00,,,,
02/22/2024,05:20:01 PM,Harrison #1H,5600,02/22/2024,,6.48,95.47,16,,,-5
02/22/2024,05:22:34 PM,Harrison #1H,5600,02/22/2024,,,,,,,
02/22/2024,05:06:53 PM,Harrison #2H,7500,02/22/2024,,,,,32,32,
02/21/2024,10:31:36 AM,Hayes #1,7843,11/14/2023,,7.26,56.51,91,,,81
02/21/2024,10:35:08 AM,Hayes #1,7843,11/14/2023,,,,,517,2633,
02/21/2024,10:43:23 AM,Hayes #2,8034,04/22/2022,C-320D-256-120,7.32,55.93,105,,,91
02/21/2024,10:46:54 AM,Hayes #2,8034,04/22/2022,C-320D-256-120,,,,883,3950,
02/21/2024,02:03:50 PM,Herbich #1,8604,02/21/2024,,,,,670,670,
02/21/2024,02:08:29 PM,Herbich #2,8184,02/21/2024,C-320D-305-120,5.59,78.10,77,,,65
02/22/2024,11:44:25 AM,Herbich #2,8184,02/21/2024,C-320D-305-120,,,,1251,2153,
02/21/2024,11:21:32 AM,Isbell #1,8170,01/05/2022,,7.27,81.12,48,,,3
02/21/2024,11:26:12 AM,Isbell #1,8170,01/05/2022,,,,,,,
02/21/2024,04:33:15 PM,Jam #1,8267,02/21/2024,,5.54,77.00,27,,,0
02/21/2024,04:35:50 PM,Jam #1,8267,02/21/2024,,,,,414,1475,
02/23/2024,10:57:11 AM,Kadav #1,7650,02/23/2024,,6.52,95.44,74,,,48
02/23/2024,11:07:35 AM,Kadav #1,7650,02/23/2024,,,,,,,
02/20/2024,03:17:42 PM,Kagg #1,8304,02/20/2024,C-456D-256-144,7.37,101.64,50,,,-7
02/20/2024,03:23:42 PM,Kagg #1,8304,02/20/2024,C-456D-256-144,,,,,,
02/20/2024,03:39:00 PM,Kagg #2,8363,04/20/2018,C-320D-256-120,5.27,65.31,33,,,23
02/20/2024,03:42:02 PM,Kagg #2,8363,04/20/2018,C-320D-256-120,,,,,,
02/21/2024,02:29:36 PM,Kennedy #1,8201,11/03/2021,,5.35,88.91,38,,,0
02/21/2024,02:33:01 PM,Kennedy #1,8201,11/03/2021,,,,,1182,3298,
02/22/2024,03:25:50 PM,Knotts-Yeager,8250,02/22/2024,,5.87,91.57,136,,,115
02/22/2024,03:28:16 PM,Knotts-Yeager,8250,02/22/2024,,,,,,,
02/23/2024,01:12:08 PM,Leon T Bar X,6598,02/23/2024,,9.10,38.35,61,,,32
02/23/2024,01:15:44 PM,
02/23/2024,01:15:44 PM,Leon T Bar X,6598,02/23/2024,,,,,,,
02/21/2024,01:12:49 PM,McDuffie #1,9056,09/01/2021,,7.00,59.22,63,,,49
02/21/2024,01:17:42 PM,McDuffie #1,9056,09/01/2021,,,,,470,828,
02/21/2024,01:21:05 PM,McDuffie #1,9056,09/01/2021,,,,,,,
02/21/2024,04:12:03 PM,MT #1,8023,02/21/2024,,4.72,104.85,73,,,0
02/21/2024,04:14:41 PM,MT #1,8023,02/21/2024,,,,,759,2901,
