Date,Time,Well Name,Seating Nipple Depth (ft),Pump Run Date,Surface Unit API,Strokes Per Minute (SPM),Maximum Plunger Stroke (in),Pump Displacement (BBL/D),Gas Free Above Pump (ft),Fluid Above Pump (ft)
2/21/2024,10:01:02 AM,Beal #1,8257,1/23/2024,C-456-305-120,7.34,89.2,18,,
2/21/2024,10:10:21 AM,Beal #1,8257,1/23/2024,C-456-305-120,,,,,
2/21/2024,3:19:31 PM,Benge #1,8162,8/16/2022,,5.38,61.23,57,,
2/21/2024,3:22:06 PM,Benge #1,8162,8/16/2022,,,,,290,494
2/21/2024,3:27:02 PM,Benge #1,8162,8/16/2022,,,,,254,448
2/21/2024,4:58:12 PM,Bradshaw #1,8090,9/7/2021,,6.2,113.75,27,,
2/21/2024,5:02:16 PM,Bradshaw #1,8090,9/7/2021,,,,,,
2/21/2024,2:46:28 PM,CK #1,8261,7/7/2017,M-640D-256-144,4.34,131.17,60,,
2/21/2024,2:48:58 PM,CK #1,8261,7/7/2017,M-640D-256-144,,,,2082,2082
2/21/2024,3:52:51 PM,Coffman #1,7961,10/25/2022,,,,,1519,1519
2/20/2024,2:39:23 PM,Della #1,8295,2/20/2024,C-320D-305-120,7.18,73.96,127,,
2/20/2024,2:47:07 PM,Della #1,8295,2/20/2024,C-320D-305-120,,,,1143,3876
2/20/2024,3:05:46 PM,Della #1,8295,2/20/2024,C-320D-305-120,7.8,68.29,125,,
2/22/2024,9:38:11 AM,Drake #1,7312,2/22/2024,C-640-305-144,6.71,116.49,46,,
2/22/2024,9:41:03 AM,Drake #1,7312,2/22/2024,C-640-305-144,,,,,
2/22/2024,9:55:25 AM,Drake #2,7629,2/22/2024,C-320-213-120,5.56,68.82,87,,
2/22/2024,10:02:25 AM,Drake #2,7629,2/22/2024,C-320-213-120,,,,21,80
2/23/2024,11:44:51 AM,Eva #1,7300,2/23/2024,,5.57,64.74,78,,
2/23/2024,11:47:15 AM,Eva #1,7300,2/23/2024,,,,,,
2/20/2024,5:20:43 PM,Flora #1,8324,7/23/2021,C-320D-305-120,7.59,59.88,99,,
2/20/2024,5:24:57 PM,Flora #1,8324,7/23/2021,C-320D-305-120,,,,933,4074
2/22/2024,10:23:51 AM,Floyd #1,7750,2/22/2024,,5.48,64.67,77,,
2/22/2024,10:27:13 AM,Floyd #1,7750,2/22/2024,,,,,,
2/23/2024,12:18:33 PM,Georgette Smith,8025,2/23/2024,,,,,,
2/23/2024,12:20:55 PM,Georgette Smith,8025,2/23/2024,,5.59,-3.40282E+38,,,
2/22/2024,5:20:01 PM,Harrison #1H,5600,2/22/2024,,6.48,95.47,16,,
2/22/2024,5:22:34 PM,Harrison #1H,5600,2/22/2024,,,,,,
2/22/2024,5:06:53 PM,Harrison #2H,7500,2/22/2024,,,,,32,32
2/21/2024,10:31:36 AM,Hayes #1,7843,11/14/2023,,7.26,56.51,91,,
2/21/2024,10:35:08 AM,Hayes #1,7843,11/14/2023,,,,,517,2633
2/21/2024,10:43:23 AM,Hayes #2,8034,4/22/2022,C-320D-256-120,7.32,55.93,105,,
2/21/2024,10:46:54 AM,Hayes #2,8034,4/22/2022,C-320D-256-120,,,,883,3950
2/21/2024,2:03:50 PM,Herbich #1,8604,2/21/2024,,,,,670,670
2/21/2024,2:08:29 PM,Herbich #2,8184,2/21/2024,C-320D-305-120,5.59,78.1,77,,
2/22/2024,11:44:25 AM,Herbich #2,8184,2/21/2024,C-320D-305-120,,,,1251,2153
2/21/2024,11:21:32 AM,Isbell #1,8170,1/5/2022,,7.27,81.12,48,,
2/21/2024,11:26:12 AM,Isbell #1,8170,1/5/2022,,,,,,
2/21/2024,4:33:15 PM,Jam #1,8267,2/21/2024,,5.54,77,27,,
2/21/2024,4:35:50 PM,Jam #1,8267,2/21/2024,,,,,414,1475
2/23/2024,10:57:11 AM,Kadav #1,7650,2/23/2024,,6.52,95.44,74,,
2/23/2024,11:07:35 AM,Kadav #1,7650,2/23/2024,,,,,,
2/20/2024,3:17:42 PM,Kagg #1,8304,2/20/2024,C-456D-256-144,7.37,101.64,50,,
2/20/2024,3:23:42 PM,Kagg #1,8304,2/20/2024,C-456D-256-144,,,,,
2/20/2024,3:39:00 PM,Kagg #2,8363,4/20/2018,C-320D-256-120,5.27,65.31,33,,
2/20/2024,3:42:02 PM,Kagg #2,8363,4/20/2018,C-320D-256-120,,,,,
2/21/2024,2:29:36 PM,Kennedy #1,8201,11/3/2021,,5.35,88.91,38,,
2/21/2024,2:33:01 PM,Kennedy #1,8201,11/3/2021,,,,,1182,3298
2/22/2024,3:25:50 PM,Knotts-Yeager,8250,2/22/2024,,5.87,91.57,136,,
2/22/2024,3:28:16 PM,Knotts-Yeager,8250,2/22/2024,,,,,,
2/23/2024,1:12:08 PM,Leon T Bar X,6598,2/23/2024,,9.1,38.35,61,,
2/23/2024,1:15:44 PM,Leon T Bar X,6598,2/23/2024,,,,,,
2/21/2024,1:12:49 PM,McDuffie #1,9056,9/1/2021,,7,59.22,63,,
2/21/2024,1:17:42 PM,McDuffie #1,9056,9/1/2021,,,,,470,828
2/21/2024,1:21:05 PM,McDuffie #1,9056,9/1/2021,,,,,,
2/21/2024,4:12:03 PM,MT #1,8023,2/21/2024,,4.72,104.85,73,,
2/21/2024,4:14:41 PM,MT #1,8023,2/21/2024,,,,,759,2901
2/22/2024,4:29:06 PM,Myrtle #1,8300,2/22/2024,,6.16,110,88,,
2/22/2024,4:31:42 PM,Myrtle #1,8300,2/22/2024,,,,,,
2/21/2024,12:04:49 PM,Nevill #1,8329,10/5/2023,,7.21,89.48,44,,
2/21/2024,12:08:46 PM,Nevill #1,8329,10/5/2023,,,,,746,3157
2/23/2024,12:05:30 PM,Ortiz #1,7257,2/23/2024,,,,,,
2/23/2024,8:23:37 AM,Peters #5,8625,2/23/2024,,6.01,93.88,98,,
2/23/2024,8:26:53 AM,Peters #5,8625,2/23/2024,,,,,147,147
2/23/2024,7:50:21 AM,Peters #6,7975,2/23/2024,,7.14,105.65,18,,
2/23/2024,7:53:02 AM,Peters #6,7975,2/23/2024,,,,,,
2/23/2024,8:04:19 AM,Peters #7,7755,2/23/2024,C-456D-256-144,6.78,116.04,37,,
2/23/2024,8:10:23 AM,Peters #7,7755,2/23/2024,C-456D-256-144,,,,277,564
2/22/2024,2:52:52 PM,Post Oak #1,8338,2/22/2024,,6.4,68.88,54,,
2/22/2024,2:58:43 PM,Post Oak #1,8338,2/22/2024,,,,,,
2/22/2024,3:03:02 PM,Post Oak #1,8338,2/22/2024,,,,,,
2/22/2024,2:38:58 PM,Post Oak #2,8250,2/22/2024,,8.23,67.09,121,,
2/22/2024,2:41:21 PM,Post Oak #2,8250,2/22/2024,,,,,512,2016
2/22/2024,4:11:03 PM,RA #1,8200,2/22/2024,,5.48,82.64,33,,
2/22/2024,4:14:08 PM,RA #1,8200,2/22/2024,,,,,,
2/21/2024,12:30:27 PM,RB Clary #1,8096,2/21/2024,C-320D-305-120,8.19,67.56,88,,
2/21/2024,12:32:55 PM,RB Clary #1,8096,2/21/2024,C-320D-305-120,,,,,
2/20/2024,10:54:14 AM,Ruen #1,8500,1/12/2024,C-320D-256-144,6.13,110.92,20,,
2/20/2024,11:00:19 AM,Ruen #1,8500,1/12/2024,C-320D-256-144,,,,,
2/20/2024,11:09:37 AM,Ruen #1,8500,1/12/2024,C-320D-256-144,5,114.17,23,,
2/20/2024,1:27:39 PM,Ruen #2,8202,2/20/2024,C-320D-256-120,8.25,57.96,50,,
2/20/2024,1:49:32 PM,Ruen #2,8202,2/20/2024,C-320D-256-120,,,,240,1165
2/20/2024,1:57:11 PM,Ruen #2,8202,2/20/2024,C-320D-256-120,8.26,61.94,51,,
2/20/2024,2:03:17 PM,Ruen #3,8294,2/24/2023,C-320D-256-120,7.4,56.84,20,,
2/20/2024,2:15:12 PM,Ruen #3,8294,2/24/2023,C-320D-256-120,,,,1067,4127
2/20/2024,2:20:11 PM,Ruen #3,8294,2/24/2023,C-320D-256-120,,,,,
2/20/2024,2:33:57 PM,Ruen #3,8294,2/24/2023,C-320D-256-120,4.9,61.78,45,,
2/23/2024,12:58:23 PM,Sandifer #1,8025,2/23/2024,,5.33,85.56,58,,
2/23/2024,1:00:22 PM,Sandifer #1,8025,2/23/2024,,,,,929,929
2/23/2024,11:21:38 AM,Soell #1,8050,2/23/2024,,7.19,44.64,57,,
2/23/2024,11:26:15 AM,Soell #1,8050,2/23/2024,,,,,,
2/22/2024,12:12:24 PM,Sutton #1,8688,2/21/2024,,5.73,104.94,102,,
2/22/2024,12:15:21 PM,Sutton #1,8688,2/21/2024,,,,,298,1408
2/22/2024,12:19:55 PM,Sutton #1,8688,2/21/2024,,,,,300,1392
2/22/2024,1:53:43 PM,Sutton #2,8350,2/22/2024,C-320D-256-120,7.3,61.31,61,,
2/22/2024,1:56:40 PM,Sutton #2,8350,2/22/2024,C-320D-256-120,,,,,
2/22/2024,2:14:08 PM,Sutton #3,8225,2/22/2024,,6.16,94.12,43,,
2/22/2024,2:16:56 PM,Sutton #3,8225,2/22/2024,,,,,477,1584
2/23/2024,12:35:06 PM,Timothy #1,8025,2/23/2024,,6.18,113.15,62,,
2/22/2024,11:05:53 AM,Watson-Buck #1,7830,2/22/2024,,3.25,87.15,38,,
2/22/2024,11:10:30 AM,Watson-Buck #1,7830,2/22/2024,,,,,,
2/22/2024,1:14:15 PM,Webb #1,8061,1/26/2021,,6.77,71.98,32,,
2/22/2024,1:17:01 PM,Webb #1,8061,1/26/2021,,,,,689,2708
2/22/2024,1:19:25 PM,Webb #1,8061,1/26/2021,,,,,109,437
2/21/2024,12:47:04 PM,White Springer #1,8122,5/19/2023,,5.75,87.03,13,,
2/21/2024,12:50:57 PM,White Springer #1,8122,5/19/2023,,,,,,
2/22/2024,5:34:55 PM,Wiese #1,7500,2/22/2024,,6.93,92.01,50,,
2/22/2024,5:38:09 PM,Wiese #1,7500,2/22/2024,,,,,136,257
2/20/2024,11:32:32 AM,William #1,8493,1/14/2021,,6.37,106.52,50,,
2/20/2024,11:36:07 AM,William #1,8493,1/14/2021,,,,,510,1796
2/21/2024,11:39:11 AM,Willie #1,8195,1/13/2021,,5.8,86.38,84,,
2/21/2024,11:41:55 AM,Willie #1,8195,1/13/2021,,,,,,
2/22/2024,12:54:42 PM,WS #1,8588,2/21/2024,,6.71,66.34,15,,
2/22/2024,12:57:07 PM,WS #1,8588,2/21/2024,,,,,811,3999
2/22/2024,1:00:54 PM,WS #1,8588,2/21/2024,,,,,,
02/21/2024,10:01:02 AM,Beal #1,8257,01/23/2024,C-456-305-120,7.34,89.20,18,,,0,
02/21/2024,10:10:21 AM,Beal #1,8257,01/23/2024,C-456-305-120,,,,,,,
