Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Comments
CL Moore 12,2024-10-16,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-10-16,0.0,0.0,0.0,1200,0,S.I.
JM Moore,2024-10-16,57.0,0.0,1022.0,50,50,192:  178: Venting gas 115 mcf
Lottie #1,2024-10-16,12.0,0.0,126.0,50,50,
Mueller #1,2024-10-16,0.0,0.0,0.0,1500,0,S.I
Pratka #1,2024-10-16,3.0,35.0,3.0,750,0,
CL Moore 12,2024-10-15,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-10-15,0.0,0.0,0.0,1200,0,S.I.
JM Moore,2024-10-15,60.0,0.0,1005.0,50,50,192: C.t. 178: Venting gas 111 mcf
Lottie #1,2024-10-15,7.0,0.0,132.0,50,50,C.t.
Mueller #1,2024-10-15,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-10-15,2.0,21.0,3.0,750,0,
CL Moore 12,2024-10-14,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-10-14,0.0,0.0,0.0,1200,0,S.I.
JM Moore,2024-10-14,57.0,0.0,1031.0,50,50,192:  178: Venting gas 115 mcf
Lottie #1,2024-10-14,7.0,0.0,126.0,50,50,
Mueller #1,2024-10-14,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-10-14,2.0,18.0,2.0,750,0,
CL Moore 12,2024-10-13,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-10-13,5.0,0.0,40.0,50,0,S.w.I
JM Moore,2024-10-13,51.0,0.0,1077.0,50,50,192:  178: Venting gas 113 mcf
Lottie #1,2024-10-13,8.0,0.0,130.0,50,50,
Mueller #1,2024-10-13,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-10-13,3.0,24.0,3.0,750,0,
CL Moore 12,2024-10-12,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-10-12,7.0,0.0,23.0,50,0,Venting gas
JM Moore,2024-10-12,61.0,0.0,1068.0,50,50,192:  178: Venting gas 112 mcf
Lottie #1,2024-10-12,8.0,0.0,127.0,50,50,
Mueller #1,2024-10-12,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-10-12,2.0,26.0,2.0,750,0,
CL Moore 12,2024-10-11,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-10-11,0.0,0.0,0.0,50,0,Opened well
JM Moore,2024-10-11,54.0,0.0,1094.0,50,50,192:  178: Venting gas 115 mcf
Lottie #1,2024-10-11,10.0,0.0,130.0,50,50,
Mueller #1,2024-10-11,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-10-11,2.0,17.0,2.0,750,0,
CL Moore 12,2024-10-10,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-10-10,0.0,0.0,0.0,1200,0,S.I.
JM Moore,2024-10-10,60.0,0.0,1142.0,50,50,192:  178: Venting gas 113 mcf
Lottie #1,2024-10-10,8.0,0.0,127.0,50,50,
Mueller #1,2024-10-10,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-10-10,3.0,65.0,3.0,750,0,
CL Moore 12,2024-10-09,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-10-09,0.0,0.0,0.0,1200,0,S.I.
JM Moore,2024-10-09,65.0,0.0,1043.0,50,50,192: C.t. Yest 178: Venting gas 114 mcf
Lottie #1,2024-10-09,8.0,0.0,124.0,50,50,C.t. Yest
Mueller #1,2024-10-09,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-10-09,2.0,32.0,2.0,750,0,
CL Moore 12,2024-10-08,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-10-08,0.0,0.0,0.0,1200,0,S.I.
JM Moore,2024-10-08,53.0,0.0,1002.0,50,50,192:  178: Venting gas 115 mcf
Lottie #1,2024-10-08,8.0,0.0,130.0,50,50,
Mueller #1,2024-10-08,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-10-08,2.0,33.0,3.0,750,0,Sales reading not sure chart was normal 
CL Moore 12,2024-10-07,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-10-07,0.0,0.0,0.0,1200,0,S.I.
JM Moore,2024-10-07,51.0,0.0,1013.0,50,50,192:  178: Venting gas 111 mcf
Lottie #1,2024-10-07,13.0,0.0,122.0,50,50,
Mueller #1,2024-10-07,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-10-07,2.0,26.0,2.0,750,0,
CL Moore 12,2024-10-06,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-10-06,0.0,0.0,0.0,1200,0,S.I.
JM Moore,2024-10-06,45.0,0.0,1044.0,50,50,192:  178: Venting gas 115 mcf
Lottie #1,2024-10-06,7.0,0.0,111.0,50,50,
Mueller #1,2024-10-06,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-10-06,2.0,36.0,3.0,750,0,
CL Moore 12,2024-10-05,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-10-05,0.0,0.0,0.0,1200,0,S.I.
JM Moore,2024-10-05,53.0,0.0,1032.0,50,50,192:  178: Venting gas 116 mcf
Lottie #1,2024-10-05,8.0,0.0,153.0,50,50,
Mueller #1,2024-10-05,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-10-05,2.0,30.0,2.0,750,0,
CL Moore 12,2024-10-04,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-10-04,0.0,0.0,0.0,1200,0,S.I.
JM Moore,2024-10-04,51.0,0.0,1125.0,50,50,192:  178: Venting gas 114 mcf
Lottie #1,2024-10-04,8.0,0.0,122.0,50,50,
Mueller #1,2024-10-04,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-10-04,1.0,26.0,3.0,750,0,
CL Moore 12,2024-10-03,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-10-03,0.0,0.0,0.0,1200,0,S.I.
JM Moore,2024-10-03,54.0,0.0,1022.0,50,50,192:  178: Venting gas 115 mcf
Lottie #1,2024-10-03,7.0,0.0,106.0,50,50,
Mueller #1,2024-10-03,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-10-03,2.0,21.0,2.0,775,0,
CL Moore 12,2024-10-02,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-10-02,0.0,0.0,0.0,1200,0,S.I.
JM Moore,2024-10-02,52.0,0.0,989.0,50,50,192: C.t. Yest 178: Venting gas 111 mcf
Lottie #1,2024-10-02,8.0,0.0,122.0,50,50,C.t. Yest
Mueller #1,2024-10-02,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-10-02,2.0,27.0,2.0,775,0,
CL Moore 12,2024-10-01,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-10-01,0.0,0.0,0.0,1200,0,S.I.
JM Moore,2024-10-01,50.0,0.0,1045.0,50,50,192:  178: Venting gas 115 mcf
Lottie #1,2024-10-01,8.0,0.0,130.0,50,50,
Mueller #1,2024-10-01,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-10-01,2.0,25.0,3.0,775,0,
CL Moore 12,2024-09-30,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-09-30,0.0,0.0,0.0,1200,0,S.I.
JM Moore,2024-09-30,50.0,0.0,1051.0,50,50,192:  178: Venting gas 112 mcf
Lottie #1,2024-09-30,7.0,0.0,127.0,50,50,
Mueller #1,2024-09-30,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-09-30,2.0,28.0,3.0,775,0,
CL Moore 12,2024-09-29,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-09-29,0.0,0.0,0.0,1200,0,S.I.
