Well Name,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Date
CL Moore 12,4321.0,2315.0,30791.0,0.0,0.0,2002-08-01
Dyer 'D' #5,369.0,21634.0,170.0,23380.0,0.0,2002-08-01
Lottie #1,1355.0,420.0,2816.0,1500.0,0.0,2002-08-01
Gulf Coast Total,11293.0,41543.0,47417.0,24880.0,0.0,2002-08-01
JM Moore,5248.0,17174.0,13640.0,0.0,0.0,2002-08-01
Gulf Coast Total,14106.0,41114.0,35803.0,23910.0,0.0,2002-09-01
Lottie #1,801.0,372.0,2582.0,1200.0,0.0,2002-09-01
JM Moore,9515.0,18057.0,9094.0,0.0,0.0,2002-09-01
CL Moore 12,3412.0,1801.0,23968.0,0.0,0.0,2002-09-01
Dyer 'D' #5,378.0,20884.0,159.0,22710.0,0.0,2002-09-01
Lottie #1,1134.0,620.0,3208.0,1510.0,0.0,2002-10-01
CL Moore 12,4371.0,2863.0,26485.0,0.0,0.0,2002-10-01
Gulf Coast Total,18939.0,40938.0,42042.0,21880.0,0.0,2002-10-01
JM Moore,12820.0,16333.0,12146.0,0.0,0.0,2002-10-01
Dyer 'D' #5,614.0,21122.0,203.0,20370.0,0.0,2002-10-01
Dyer 'D' #5,435.0,19582.0,149.0,22900.0,0.0,2002-11-01
CL Moore 12,3959.0,3654.0,27879.0,126.0,0.0,2002-11-01
Lottie #1,1170.0,628.0,3186.0,1500.0,0.0,2002-11-01
JM Moore,12030.0,14334.0,11757.0,0.0,0.0,2002-11-01
Gulf Coast Total,17594.0,38198.0,42971.0,24526.0,0.0,2002-11-01
Dyer 'D' #5,784.0,19919.0,136.0,22260.0,0.0,2002-12-01
Lottie #1,1174.0,592.0,3220.0,1550.0,0.0,2002-12-01
CL Moore 12,4647.0,3264.0,34760.0,0.0,0.0,2002-12-01
JM Moore,9273.0,15949.0,8723.0,0.0,0.0,2002-12-01
Gulf Coast Total,15878.0,39724.0,46839.0,23810.0,0.0,2002-12-01
JM Moore,9943.0,16613.0,8842.0,0.0,0.0,2003-01-01
Dyer 'D' #5,540.0,10707.0,155.0,21680.0,0.0,2003-01-01
CL Moore 12,4292.0,3960.0,30845.0,0.0,0.0,2003-01-01
Gulf Coast Total,15886.0,31765.0,43092.0,23220.0,0.0,2003-01-01
Lottie #1,1111.0,485.0,3250.0,1540.0,0.0,2003-01-01
Gulf Coast Total,17655.0,31664.0,39947.0,20270.0,0.0,2003-02-01
Dyer 'D' #5,436.0,13286.0,161.0,18870.0,0.0,2003-02-01
CL Moore 12,4061.0,3275.0,29333.0,0.0,0.0,2003-02-01
Lottie #1,931.0,392.0,2971.0,1400.0,0.0,2003-02-01
JM Moore,12227.0,14711.0,7482.0,0.0,0.0,2003-02-01
Gulf Coast Total,18271.0,40140.0,44712.0,22250.0,0.0,2003-03-01
Lottie #1,633.0,342.0,2518.0,1790.0,0.0,2003-03-01
Dyer 'D' #5,665.0,17728.0,169.0,20460.0,0.0,2003-03-01
JM Moore,12564.0,16955.0,9982.0,0.0,0.0,2003-03-01
CL Moore 12,4409.0,5115.0,32043.0,0.0,0.0,2003-03-01
JM Moore,14126.0,16355.0,10034.0,0.0,0.0,2003-04-01
Dyer 'D' #5,417.0,15957.0,142.0,21440.0,0.0,2003-04-01
Lottie #1,649.0,351.0,2763.0,1350.0,0.0,2003-04-01
Gulf Coast Total,18536.0,36368.0,38145.0,22790.0,0.0,2003-04-01
CL Moore 12,3344.0,3705.0,25206.0,0.0,0.0,2003-04-01
Gulf Coast Total,14669.0,36402.0,39270.0,22510.0,0.0,2003-05-01
Lottie #1,888.0,397.0,3066.0,1450.0,0.0,2003-05-01
Dyer 'D' #5,277.0,17839.0,141.0,21060.0,0.0,2003-05-01
CL Moore 12,2233.0,2001.0,27403.0,0.0,0.0,2003-05-01
JM Moore,11271.0,16165.0,8660.0,0.0,0.0,2003-05-01
Dyer 'D' #5,311.0,14112.0,116.0,22550.0,0.0,2003-06-01
Gulf Coast Total,14246.0,26420.0,45304.0,24050.0,0.0,2003-06-01
Lottie #1,909.0,390.0,3177.0,1500.0,0.0,2003-06-01
CL Moore 12,3633.0,2438.0,34271.0,0.0,0.0,2003-06-01
JM Moore,9393.0,9480.0,7740.0,0.0,0.0,2003-06-01
Lottie #1,914.0,350.0,3521.0,1550.0,0.0,2003-07-01
JM Moore,9496.0,12737.0,7785.0,0.0,0.0,2003-07-01
CL Moore 12,4376.0,4680.0,37412.0,0.0,0.0,2003-07-01
Gulf Coast Total,15060.0,36980.0,48929.0,20720.0,0.0,2003-07-01
Dyer 'D' #5,274.0,19213.0,211.0,19170.0,0.0,2003-07-01
Dyer 'D' #5,240.0,18855.0,144.0,19330.0,0.0,2003-08-01
JM Moore,8052.0,11597.0,8653.0,0.0,0.0,2003-08-01
Lottie #1,861.0,372.0,3306.0,1550.0,0.0,2003-08-01
Gulf Coast Total,13224.0,35626.0,49156.0,20880.0,0.0,2003-08-01
CL Moore 12,4071.0,4802.0,37053.0,0.0,0.0,2003-08-01
Gulf Coast Total,12671.0,26459.0,49506.0,21766.0,0.0,2003-09-01
JM Moore,8011.0,10995.0,11797.0,316.0,0.0,2003-09-01
CL Moore 12,3909.0,2214.0,34435.0,0.0,0.0,2003-09-01
Lottie #1,533.0,163.0,3140.0,1450.0,0.0,2003-09-01
Dyer 'D' #5,218.0,13087.0,134.0,20000.0,0.0,2003-09-01
Lottie #1,870.0,452.0,3693.0,1450.0,0.0,2003-10-01
Gulf Coast Total,12969.0,32014.0,45681.0,11390.0,0.0,2003-10-01
Dyer 'D' #5,302.0,19545.0,264.0,9940.0,0.0,2003-10-01
CL Moore 12,4049.0,3274.0,30665.0,0.0,0.0,2003-10-01
JM Moore,7748.0,8743.0,11059.0,0.0,0.0,2003-10-01
CL Moore 12,3796.0,2856.0,31039.0,0.0,0.0,2003-11-01
Lottie #1,872.0,450.0,3619.0,1500.0,0.0,2003-11-01
Gulf Coast Total,12482.0,27088.0,45837.0,13210.0,0.0,2003-11-01
Dyer 'D' #5,220.0,15031.0,203.0,11710.0,0.0,2003-11-01
JM Moore,7594.0,8751.0,10976.0,0.0,0.0,2003-11-01
Dyer 'D' #5,230.0,14911.0,165.0,13990.0,0.0,2003-12-01
CL Moore 12,3728.0,2724.0,30130.0,0.0,0.0,2003-12-01
Lottie #1,648.0,332.0,2534.0,1190.0,0.0,2003-12-01
JM Moore,7584.0,8319.0,10714.0,0.0,0.0,2003-12-01
Gulf Coast Total,12190.0,26286.0,43543.0,15180.0,0.0,2003-12-01
Gulf Coast Total,11386.0,28802.0,42227.0,14805.0,0.0,2004-01-01
Dyer 'D' #5,104.0,14762.0,186.0,12645.0,0.0,2004-01-01
Lottie #1,835.0,262.0,4175.0,2160.0,0.0,2004-01-01
JM Moore,6719.0,11521.0,11167.0,0.0,0.0,2004-01-01
CL Moore 12,3728.0,2257.0,26699.0,0.0,0.0,2004-01-01
Gulf Coast Total,10304.0,27404.0,34661.0,11010.0,0.0,2004-02-01
Lottie #1,868.0,260.0,3817.0,2030.0,0.0,2004-02-01
CL Moore 12,3324.0,1770.0,19836.0,0.0,0.0,2004-02-01
Dyer 'D' #5,233.0,16164.0,204.0,8980.0,0.0,2004-02-01
