Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Comments,Sales Pressure,Flow Rate Sales,Flow Rate Flare
Moreland #1,2/16/2025,0,1428,0,70,120,,852.99,1414.98,
Moreland #1,2/15/2025,0,1469,0,70,120,,810.32,1449.89,
Moreland #1,2/14/2025,0,1305,0,70,120,,816.98,1471.57,
Moreland #1,2/13/2025,0,1201,0,70,120,,875.02,1220.23,
Moreland #1,2/12/2025,0,1203,0,70,120,,940.54,1214.97,
Moreland #1,2/11/2025,0,1151,0,0,20,,894.83,1159.08,
Moreland #1,2/10/2025,0,1234,0,0,20,,851.53,1216.01,
Pecan Grove #1,2/10/2025,0,0,0,50,20,,,,
Pfeiffer #2,2/10/2025,0,0,0,50,5,,,,
Moreland #1,2/9/2025,0,0,0,0,20,,870.51,1236.66,
Pecan Grove #1,2/9/2025,0,0,0,50,20,,,,
Pfeiffer #2,2/9/2025,0,0,0,50,5,,,,
Moreland #1,2/8/2025,0,0,0,0,20,,844.11,1239.56,
Pecan Grove #1,2/8/2025,0,0,0,50,20,,,,
Pfeiffer #2,2/8/2025,0,0,0,50,5,,,,
Moreland #1,2/7/2025,0,0,0,0,20,,817.44,1241.98,
Moreland #1,2/6/2025,0,0,0,0,20,,836.15,1234.52,
Moreland #1,2/5/2025,0,0,0,0,20,,845.27,1187.47,
Moreland #1,2/4/2025,0,0,0,0,20,,833.65,1239.18,
Moreland #1,2/3/2025,0,0,0,0,20,,809.54,1294.94,
Moreland #1,2/2/2025,0,0,0,0,20,,803.09,1305.41,
Pecan Grove #1,2/2/2025,0,0,0,50,20,,,,
Moreland #1,2/1/2025,0,0,0,0,0,,801.27,1332.43,
Pecan Grove #1,2/1/2025,0,0,0,50,20,,,,
Pfeiffer #2,2/1/2025,0,0,0,50,5,,,,
Moreland #1,1/31/2025,0,0,0,0,0,,797,1516.19,
Pecan Grove #1,1/31/2025,0,0,0,50,20,,,,
Pfeiffer #2,1/31/2025,0,0,0,50,5,,,,
Moreland #1,1/30/2025,0,0,0,0,0,,789.12,1329.98,
Pecan Grove #1,1/30/2025,0,0,0,50,20,,,,
Pfeiffer #2,1/30/2025,0,0,0,50,5,,,,
Moreland #1,1/29/2025,0,0,0,0,0,,811.51,1488.09,
Moreland #1,1/28/2025,0,0,0,0,0,,908.4,1125.72,
Moreland #1,1/27/2025,0,0,0,0,0,,908.4,1125.72,
Moreland #1,1/26/2025,0,0,0,0,0,,908.4,1125.72,
Moreland #1,1/25/2025,0,0,0,0,0,,908.4,1125.72,
Moreland #1,1/24/2025,0,0,0,0,0,,908.4,1125.72,
Moreland #1,1/23/2025,0,0,0,0,0,,,,
Moreland #1,1/22/2025,0,0,0,0,0,,,,
Moreland #1,1/21/2025,0,0,0,0,0,,,,
VRE Minerals #1,1/21/2025,0,0,0,0,0,Off,20.39,0.67,0
Moreland #1,1/20/2025,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,1/20/2025,0,0,0,0,0,,16.9,0.04,0
Moreland #1,1/19/2025,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,1/19/2025,0,1,0,0,0,,21.86,0.17,0
Moreland #1,1/18/2025,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,1/18/2025,0,1,0,0,0,,32.72,1.11,0
Moreland #1,1/17/2025,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,1/17/2025,0,1,0,0,0,Off,28.25,0.76,0
Moreland #1,1/16/2025,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,1/16/2025,0,1,0,0,0,Off,22.65,0.37,0
Moreland #1,1/15/2025,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,1/15/2025,0,1,0,0,0,Off,34.55,0.87,0
Moreland #1,1/14/2025,0,0,0,0,0,,,,
VRE Minerals #1,1/14/2025,0,1,0,0,0,Off,51.97,0.78,0
Moreland #1,1/13/2025,0,0,0,0,0,,,,
VRE Minerals #1,1/13/2025,0,1,0,0,0,Off,52.37,0.58,0
Moreland #1,1/12/2025,0,0,0,0,0,,,,
VRE Minerals #1,1/12/2025,0,1,0,0,0,Off,41.77,0.74,0
Moreland #1,1/11/2025,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,1/11/2025,0,0,0,0,0,,19.9,0.51,0
Moreland #1,1/10/2025,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,1/10/2025,0,0,0,0,0,,21.45,0.53,0
Moreland #1,1/9/2025,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,1/9/2025,0,0,0,0,0,,21.25,0.04,0
Moreland #1,1/8/2025,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,1/8/2025,0,0,0,0,0,Off,21.7,0.06,0
Moreland #1,1/7/2025,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,1/7/2025,0,0,0,0,0,Off,21.7,0.26,0
Moreland #1,1/6/2025,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,1/6/2025,0,1,0,0,0,Off,22.03,0.15,0
