Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Comments
Blair TXL 7 #1,2024-03-31,1.38,12,0.0,0,0,
Blair TXL 7 #2,2024-03-31,8.37,13,0.0,0,0,
Blair TXL 7 #3,2024-03-31,2.0,0,0.0,0,0,
Davis Lease,2024-03-31,0.0,0,20.5,0,0,
JM Moore 178,2024-03-31,5.01,0,1.67,0,0,Venting gas 115 mcf
JM Moore 192,2024-03-31,13.36,0,141.0,0,0,
MCWF #1,2024-03-31,0.0,0,93.56,0,0,
Paddy 19 State #1 & #5,2024-03-31,5.52,0,49.5,0,0,Air compressor down at Cooper. Water flowing
Palm #1,2024-03-31,0.0,0,0.0,0,0,
White Marlin #1,2024-03-31,0.0,0,0.0,0,0,
Blair TXL 7 #1,2024-03-30,2.75,79,0.0,0,0,
Blair TXL 7 #2,2024-03-30,8.37,12,0.0,0,0,
Blair TXL 7 #3,2024-03-30,3.0,0,0.0,0,0,
Davis Lease,2024-03-30,0.0,0,18.25,0,0,Gauge 5’ 7”
JM Moore 178,2024-03-30,6.68,0,1.67,0,0,Venting gas 112 mcf
JM Moore 192,2024-03-30,11.69,0,140.0,0,0,
MCWF #1,2024-03-30,0.0,0,250.44,0,0,
Paddy 19 State #1 & #5,2024-03-30,0.0,0,5.5,0,0,
Palm #1,2024-03-30,0.0,0,0.0,0,0,
White Marlin #1,2024-03-30,0.0,0,0.0,0,0,
Blair TXL 7 #1,2024-03-29,28.19,89,135.5,0,0,#1 is off- bridle is broke
Blair TXL 7 #2,2024-03-29,8.37,13,0.0,0,0,
Blair TXL 7 #3,2024-03-29,3.0,0,0.0,0,0,
Davis Lease,2024-03-29,0.0,0,33.0,0,0,Gauge 5’ 7”
JM Moore 178,2024-03-29,5.01,0,0.0,0,0,Venting gas 113 mcf
JM Moore 192,2024-03-29,11.69,0,145.0,0,0,
Kleimann #3,2024-03-29,0.0,0,0.0,0,0,
MCWF #1,2024-03-29,0.0,0,104.31,0,0,
Paddy 19 State #1 & #5,2024-03-29,0.0,0,5.5,0,0,
Palm #1,2024-03-29,0.0,0,0.0,0,0,
Preston #1,2024-03-29,0.0,0,0.0,0,0,
White Marlin #1,2024-03-29,-153.64,0,0.0,0,0,Production has been adjusted in the GRT system (from 1/2023 through 3/2024) to zero out BS&W. B. Milam
Blair TXL 7 #1,2024-03-28,27.5,90,137.5,0,0,
Blair TXL 7 #2,2024-03-28,5.58,12,0.0,0,0,
Blair TXL 7 #3,2024-03-28,3.0,0,0.0,0,0,
Davis Lease,2024-03-28,0.0,0,27.5,0,0,Gauge 5’ 6”
JM Moore 178,2024-03-28,5.01,0,1.67,0,0,Venting gas 111 mcf
JM Moore 192,2024-03-28,11.69,0,142.0,0,0,
Kleimann #3,2024-03-28,0.0,0,0.0,0,0,
MCWF #1,2024-03-28,0.0,0,30.52,0,0,
Paddy 19 State #1 & #5,2024-03-28,2.76,0,2.75,0,0,
Palm #1,2024-03-28,0.0,0,0.0,0,0,
Preston #1,2024-03-28,0.0,0,0.0,0,0,
White Marlin #1,2024-03-28,0.24,0,0.0,0,0,
Blair TXL 7 #1,2024-03-27,38.5,88,136.0,0,0,
Blair TXL 7 #2,2024-03-27,8.37,12,0.0,0,0,
Blair TXL 7 #3,2024-03-27,8.0,0,0.0,0,0,
Davis Lease,2024-03-27,0.0,0,90.5,0,0,Gauge 5’ 6”
JM Moore 178,2024-03-27,5.01,0,1.67,0,0,Venting gas 112 mcf
JM Moore 192,2024-03-27,11.27,0,140.0,0,0,
Kleimann #3,2024-03-27,0.0,0,0.0,0,0,
MCWF #1,2024-03-27,0.0,0,105.95,0,0,
