Well Name,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Flow Rate Sales,Flow Rate Flare,Date
Lloyd #1,170.0,741.0,1265.0,0.0,0.0,0.0,0.0,2018-10-01
Rhodes #1,265.0,30.0,118.0,0.0,0.0,0.0,0.0,2018-10-01
Betty #1,13.0,0.0,28.0,0.0,0.0,0.0,0.0,2018-10-01
Dyer Unit #10,0.0,772.0,355.0,0.0,0.0,0.0,0.0,2018-10-01
Montemayor #1,126.0,0.0,2.0,0.0,0.0,0.0,0.0,2018-10-01
Terrell #1,0.0,1731.0,810.0,0.0,0.0,0.0,0.0,2018-10-01
Thalmann #1,236.0,0.0,65.0,577.0,739.0,0.0,0.0,2018-10-01
Wittig Sisters #1,0.0,5.0,29.0,0.0,0.0,0.0,0.0,2018-10-01
Mclean #1,152.0,0.0,57.0,0.0,0.0,0.0,0.0,2018-10-01
Lansford #1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-01
Cornette #1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-01
Kresta #1,0.0,976.0,1241.0,0.0,0.0,0.0,0.0,2018-10-01
Kirby #1,173.0,5339.0,195.0,0.0,0.0,0.0,0.0,2018-10-01
Vermillion #1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-01
Buck #1,167.0,1175.0,493.0,0.0,0.0,0.0,0.0,2018-10-01
White Marlin #1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-01
Cl Moore 6,333.0,2733.0,2741.0,0.0,0.0,0.0,0.0,2018-10-01
Wayne #1,0.0,4379.0,835.0,0.0,0.0,0.0,0.0,2018-10-01
Joe #1,100.0,0.0,181.0,0.0,0.0,0.0,0.0,2018-10-01
Clayton 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-01
Huber #1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-01
Heitz #1,207.0,0.0,9059.0,0.0,0.0,0.0,0.0,2018-10-01
Haby #1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-01
Fridel #1,111.0,480.0,105.0,0.0,0.0,0.0,0.0,2018-10-01
Moreland #1,34.0,10.0,7.0,400.0,527.0,0.0,0.0,2018-10-01
Wendel Unit #1,203.0,0.0,8329.0,0.0,0.0,0.0,0.0,2018-10-01
Flying G #1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-01
Pierce Ranch #4,0.0,680.0,177.0,0.0,0.0,0.0,0.0,2018-10-01
Pecan Grove #1,846.0,4470.0,4295.0,2700.0,3308.0,0.0,0.0,2018-10-01
Palm #1,1760.0,58922.0,0.0,0.0,0.0,0.0,0.0,2018-10-01
Preston #1,268.0,0.0,1715.0,0.0,0.0,0.0,0.0,2018-10-01
Inactive Wells Total,5164.0,82443.0,32102.0,3677.0,4574.0,0.0,0.0,2018-10-01
Flying G #1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-01
Joe #1,242.0,0.0,226.0,0.0,0.0,0.0,0.0,2018-11-01
Clayton 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-01
Thalmann #1,246.0,18.0,92.0,580.0,380.0,0.0,0.0,2018-11-01
Wayne #1,0.0,6660.0,1450.0,0.0,0.0,0.0,0.0,2018-11-01
Cl Moore 6,287.0,18182.0,2910.0,0.0,0.0,0.0,0.0,2018-11-01
Inactive Wells Total,13250.0,122348.0,27204.0,8010.0,5015.0,0.0,0.0,2018-11-01
White Marlin #1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-01
Wittig Sisters #1,0.0,4.0,21.0,0.0,0.0,0.0,0.0,2018-11-01
Vermillion #1,489.0,3232.0,1008.0,0.0,0.0,0.0,0.0,2018-11-01
Mclean #1,297.0,0.0,70.0,0.0,0.0,0.0,0.0,2018-11-01
Pierce Ranch #4,0.0,835.0,268.0,0.0,0.0,0.0,0.0,2018-11-01
Kirby #1,282.0,6302.0,230.0,0.0,0.0,0.0,0.0,2018-11-01
Kresta #1,0.0,649.0,928.0,0.0,0.0,0.0,0.0,2018-11-01
Lansford #1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-01
Lloyd #1,215.0,808.0,1629.0,0.0,0.0,0.0,0.0,2018-11-01
Terrell #1,0.0,1958.0,612.0,0.0,0.0,0.0,0.0,2018-11-01
Huber #1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-01
Wendel Unit #1,236.0,0.0,10118.0,0.0,0.0,0.0,0.0,2018-11-01
Cornette #1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-01
Preston #1,416.0,3840.0,2265.0,0.0,0.0,0.0,0.0,2018-11-01
Palm #1,8345.0,61572.0,137.0,0.0,0.0,0.0,0.0,2018-11-01
Pecan Grove #1,800.0,6311.0,4125.0,3575.0,4080.0,0.0,0.0,2018-11-01
