Well Name,Last Production,Days since 2023-09-07
AB Pad State #1,,
Ab Pad State #1,2023-08-23,15.0
Abenaki 10 State #1,2023-08-31,7.0
Abenaki 10 State #2,2023-08-31,7.0
Abenaki 10 State #2 & #3,,
Abenaki 10 State #3,2023-08-31,7.0
Beams 15 State #1,2023-08-31,7.0
Beams 15 State #2,2023-08-31,7.0
Beams 15 State #2 & 4,,
Beams 15 State #3,2020-08-01,1132.0
Beams 15 State #4,2023-08-30,8.0
Beams 15 State #5,2023-08-31,7.0
Bougainvillea 33 State #1,2023-08-31,7.0
CW 14 State #1,2023-08-23,15.0
Cameron 22 State #1,2023-08-31,7.0
Cooper 24 Federal Com #1,2020-08-01,1132.0
Hawkeye 30 State #1,2023-08-31,7.0
Henry 24 #1,2023-08-31,7.0
Henry 24 #2,2023-08-31,7.0
Martin 11 State #1,2023-08-31,7.0
North Twinberry 5 State #1,2020-09-01,1101.0
Paddy 13 State #1,2023-08-31,7.0
Paddy 15 State #1,2023-08-28,10.0
Paddy 15 State #2,2023-08-31,7.0
Paddy 15 State #3,2023-08-31,7.0
Paddy 18 State #1,2023-08-31,7.0
Paddy 18 State #1 & #3,,
Paddy 18 State #2,2023-08-31,7.0
Paddy 18 State #3,2023-08-31,7.0
Paddy 19 State #1,2023-08-22,16.0
Paddy 19 State #1 #4 #5,,
Paddy 19 State #2,2023-08-31,7.0
Paddy 19 State #2 & #3,,
Paddy 19 State #3,2023-08-31,7.0
Paddy 19 State #4,2023-08-31,7.0
Paddy 19 State #5,2023-08-30,8.0
Paddy 20 State #1,2023-08-31,7.0
Paddy 23 State #1,2023-08-23,15.0
Raider 9 St #1,2023-08-31,7.0
Raider 9 St #2,2020-08-01,1132.0
Raider 9 St #3,2023-08-31,7.0
"Raider 9 St. #1, #3",,
Tech 16 State #1,2023-08-31,7.0
Triple A Fed # 3,2023-08-30,8.0
Triple A Federal #3,2023-07-16,53.0
