Well Name,Last Production
Ab Pad 10 St. #1,2023-07-26
Abenaki 10 State #1,2023-08-03
Abenaki 10 State #2,2023-08-03
Abenaki 10 State #3,2023-08-03
Beams 15 State #1,2023-07-31
Beams 15 State #2,2023-08-03
Beams 15 State #3,2020-08-01
Beams 15 State #4,2023-08-02
Beams 15 State #5,2023-08-03
Bougainvillea 33 State #1,2023-08-03
Cameron 22 State #1,2023-08-03
Cooper 24 Federal Com #1,2020-08-01
Cw 14 State #1,2023-07-26
Hawkeye 30 State #1,2023-08-03
Henry 24 #1,2023-08-03
Henry 24 #2,2023-08-03
Martin 11 State #1,2023-08-03
Mcwf #1,
North Twinberry 5 State #1,2020-09-01
Paddy 13 State #1,2023-08-03
Paddy 15 State #1,2023-08-03
Paddy 15 State #2,2023-08-03
Paddy 15 State #3,2023-08-02
Paddy 18 State #1,2023-08-02
Paddy 18 State #2,2023-08-03
Paddy 18 State #3,2023-08-03
Paddy 19 State #1,2023-07-29
Paddy 19 State #2,2023-08-03
Paddy 19 State #3,2023-08-02
Paddy 19 State #4,2023-08-03
Paddy 19 State #5,2023-08-01
Paddy 20 State #1,2023-08-03
Paddy 23 State #1,2023-07-25
Raider 9 St #1,2023-08-03
Raider 9 St #2,2020-08-01
Raider 9 St #3,2023-08-03
Tech 16 State #1,2023-08-03
Triple A Federal #3,2023-07-16
