Well Name,Last Production
Aaron #1,2023-08-03
Allen #1,2016-03-27
Anhaiser #1,2016-09-02
Aniken #1,2023-08-03
Anna Louisa #1,2020-09-25
Annpick #1,2023-08-02
BMMP #1,2023-08-03
Balfour #1,2023-08-03
Barrier #1,2023-08-03
Beeler Ranch #1,2023-08-03
Bermuda #1,2023-08-03
Betty #1,2019-02-17
Big Sonny #1,2023-08-03
Blackmon #1,2023-08-03
Blas Reyes #1,2023-08-03
Bond #1,2023-08-03
Bowman #1,2017-03-26
Box #1,2016-12-08
Branton #1,2022-12-13
Bruce Weaver #1,2023-08-03
Bruce Weaver #2 RE,2023-08-03
Buck #1,
Burns Ranch #2,2023-08-03
Burns Ranch Gt #1,2023-01-13
CR #101,2023-08-03
CR #201,2023-08-03
CR #301,2023-08-03
CR #302,2023-08-03
CR #401,2023-08-02
CR #501,2023-08-02
CR #939,2023-08-03
CT #1,2023-08-03
Cannan #1,2023-08-03
Carolpick #1,2023-08-03
Carolyn #1,2023-08-03
Caza #1,2013-08-25
Cenizo #1,2023-08-02
Chad #1,2023-08-03
Charles B #1,2023-08-03
Circle T #1,2023-08-03
Clayton #1,2018-11-06
Cornett #1,2018-06-12
Cornett #1 Swd,2023-07-20
Cross S #1,2023-08-03
Dale #1,2023-08-03
Dial #1,2022-09-03
Dial #1 ST,2023-08-02
Dillard #1,2023-08-03
Drinkard #1,2023-08-03
Dunkle #1,2012-12-12
Dunkle #2,2023-08-03
Dunlap #1,2023-08-02
Dyess #1,2023-08-03
Eileen #1,2023-08-03
Elaine #1,2011-09-22
Evergreen #1,2023-07-26
Fatheree #1,2023-08-03
Fgp #1,2012-04-26
Flower #1,2023-08-03
Flying G #1,2018-09-20
Gail #1,2023-08-03
Gil #1,2023-08-03
Grissom #1,2023-08-02
Haby #1,2018-07-18
Harold #1,2013-07-27
Heitz #1,2019-06-08
Huber #1,2020-07-29
J Beeler #1,2023-08-03
JIC #1,2023-08-02
JIC Buda #1,2023-08-03
JJ #1,2023-08-03
Jessica #1,2023-08-03
Joe #1,2023-07-05
Joseph #1,2023-08-03
Jred #1,2023-08-03
Kay #1,2023-08-03
Kiley #1,2023-08-03
Kincaid #1,2021-12-27
Kirby #1,2021-04-19
Kleimann #1,2023-08-03
Kleimann #3,2023-06-09
LT #1,2023-08-03
La Rosita #1,2023-08-01
Lackey Five #1,2023-08-03
Lander #1,2023-08-03
Lansford #1,2018-09-01
Leary Trust #1,2023-08-01
Lisa #1,2016-09-20
Little 179 #1,2023-08-03
Lochte #1,2023-08-03
MDB #1,2023-08-03
Marguerite #1,2023-08-03
Marpick #1,2023-08-01
Marrs #1,2023-08-03
Mclean #1,2020-11-29
Molak #1,2023-08-03
Montemayor #1,2023-04-14
Moreland #1,2023-07-30
Opa #1,2012-01-16
PC #1,2023-08-03
Palm #1,2023-08-03
Parkway #1,2023-08-03
Pecan Grove #1,2023-06-02
Pfeiffer #1,2023-08-03
Pfeiffer #2,2022-09-01
Pickens #1,2023-08-03
Pickens Ranch #2H,2013-05-20
Pickens Weaver #1,2023-08-03
Pickwill #1,2023-08-01
Preston #1,2023-08-03
Pritchett #1,2016-03-25
RAB #1,2023-08-03
RAB #2,2023-08-03
RAB #3,2023-08-03
Rhodes #1,2022-11-05
Richard #1,2023-08-03
Richardson #1,2023-08-03
Rio Nueces #1,2013-08-23
Ronald #1,2023-08-03
Russell #1,2023-08-03
Ruth #1,2023-08-03
Ruthpick #1,2023-08-03
Sansom #1,2023-08-03
Solansky #1,2023-08-01
Sugarland #1,2023-08-01
Tebo #1,2012-11-18
Teel #1,2013-07-29
Thalmann #1,2023-08-03
Thompson #1,2020-06-21
Thompson #2,2023-08-02
Thuss #1,2023-08-03
Tlapek #1,2023-08-03
Tortuga Ranch #1H,2012-03-16
Triple J #1,2011-06-02
Triple J #2,2023-08-03
Triplitt Unit #1H,2011-10-31
Trotter #1,2023-07-30
VRE Minerals #1,2023-08-03
Vermillion #1,2023-08-03
Verna #1,2023-07-22
Wagner Farms #1,2012-10-23
White Marlin #1,2023-08-03
Whittington #1,2023-08-02
Woodward #1,2012-12-12
