Well Name,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Sales Pressure,Flow Rate Sales,Flow Rate Flare,Date
SOUTH TEXAS Total,18880.0,14580.0,0.0,28625.0,0.0,0.0,0.0,0.0,2006-03-01
Cannan #1,18880.0,14580.0,0.0,28625.0,0.0,0.0,0.0,0.0,2006-03-01
SOUTH TEXAS Total,25745.0,20063.0,0.0,30230.0,0.0,0.0,0.0,0.0,2006-04-01
Cannan #1,25745.0,20063.0,0.0,30230.0,0.0,0.0,0.0,0.0,2006-04-01
SOUTH TEXAS Total,26026.0,16501.0,0.0,30350.0,0.0,0.0,0.0,0.0,2006-05-01
Cannan #1,26026.0,16501.0,0.0,30350.0,0.0,0.0,0.0,0.0,2006-05-01
SOUTH TEXAS Total,24927.0,16241.0,0.0,25850.0,0.0,0.0,0.0,0.0,2006-06-01
Cannan #1,24927.0,16241.0,0.0,25850.0,0.0,0.0,0.0,0.0,2006-06-01
Cannan #1,25162.0,16033.0,0.0,24700.0,0.0,0.0,0.0,0.0,2006-07-01
SOUTH TEXAS Total,25162.0,16033.0,0.0,24700.0,0.0,0.0,0.0,0.0,2006-07-01
SOUTH TEXAS Total,25178.0,15824.0,0.0,24215.0,0.0,0.0,0.0,0.0,2006-08-01
Cannan #1,25178.0,15824.0,0.0,24215.0,0.0,0.0,0.0,0.0,2006-08-01
Cannan #1,24497.0,14599.0,0.0,23630.0,0.0,0.0,0.0,0.0,2006-09-01
SOUTH TEXAS Total,24497.0,14599.0,0.0,23630.0,0.0,0.0,0.0,0.0,2006-09-01
SOUTH TEXAS Total,43175.0,25957.0,76.0,45590.0,0.0,0.0,0.0,0.0,2006-10-01
Cannan #1,25194.0,15763.0,0.0,23440.0,0.0,0.0,0.0,0.0,2006-10-01
Thompson #1,17981.0,10194.0,76.0,22150.0,0.0,0.0,0.0,0.0,2006-10-01
SOUTH TEXAS Total,50938.0,28065.0,86.0,50140.0,0.0,0.0,0.0,0.0,2006-11-01
Thompson #1,26971.0,14127.0,86.0,29060.0,0.0,0.0,0.0,0.0,2006-11-01
Cannan #1,23967.0,13938.0,0.0,21080.0,0.0,0.0,0.0,0.0,2006-11-01
SOUTH TEXAS Total,53520.0,28333.0,119.0,47455.0,0.0,0.0,0.0,0.0,2006-12-01
Thompson #1,29085.0,17171.0,116.0,26605.0,0.0,0.0,0.0,0.0,2006-12-01
Cannan #1,24435.0,11162.0,3.0,20850.0,0.0,0.0,0.0,0.0,2006-12-01
SOUTH TEXAS Total,45496.0,27434.0,326.0,43390.0,0.0,0.0,0.0,0.0,2007-01-01
Cannan #1,17858.0,7934.0,48.0,18940.0,0.0,0.0,0.0,0.0,2007-01-01
Thompson #1,27638.0,19500.0,278.0,24450.0,0.0,0.0,0.0,0.0,2007-01-01
SOUTH TEXAS Total,51561.0,35640.0,593.0,54125.0,0.0,0.0,0.0,0.0,2007-02-01
Thompson #1,22058.0,24003.0,229.0,31725.0,0.0,0.0,0.0,0.0,2007-02-01
Triple J #2,7444.0,1662.0,327.0,4730.0,0.0,0.0,0.0,0.0,2007-02-01
Cannan #1,22059.0,9975.0,37.0,17670.0,0.0,0.0,0.0,0.0,2007-02-01
Thompson #1,25949.0,24881.0,279.0,35260.0,0.0,0.0,0.0,0.0,2007-03-01
Thompson #2,852.0,0.0,3607.0,1870.0,0.0,0.0,0.0,0.0,2007-03-01
SOUTH TEXAS Total,47218.0,49018.0,4182.0,77240.0,0.0,0.0,0.0,0.0,2007-03-01
Triple J #2,3168.0,0.0,241.0,755.0,0.0,0.0,0.0,0.0,2007-03-01
Cannan #1,17249.0,24137.0,55.0,39355.0,0.0,0.0,0.0,0.0,2007-03-01
Cannan #1,19302.0,45740.0,64.0,37160.0,0.0,0.0,0.0,0.0,2007-04-01
SOUTH TEXAS Total,62546.0,96383.0,13242.0,77785.0,0.0,0.0,0.0,0.0,2007-04-01
Thompson #1,25542.0,39565.0,214.0,31610.0,0.0,0.0,0.0,0.0,2007-04-01
Triple J #2,4945.0,0.0,635.0,3925.0,0.0,0.0,0.0,0.0,2007-04-01
Thompson #2,12757.0,11078.0,12329.0,5090.0,0.0,0.0,0.0,0.0,2007-04-01
Thompson #2,13134.0,5051.0,6179.0,4140.0,0.0,0.0,0.0,0.0,2007-05-01
Thompson #1,25441.0,56583.0,79.0,33180.0,0.0,0.0,0.0,0.0,2007-05-01
Cannan #1,17925.0,43451.0,29.0,36920.0,0.0,0.0,0.0,0.0,2007-05-01
Triple J #2,2197.0,0.0,651.0,2845.0,0.0,0.0,0.0,0.0,2007-05-01
SOUTH TEXAS Total,58697.0,105085.0,6938.0,77085.0,0.0,0.0,0.0,0.0,2007-05-01
Thompson #2,9840.0,11588.0,4584.0,4410.0,0.0,0.0,0.0,0.0,2007-06-01
Thompson #1,21205.0,59239.0,0.0,31200.0,0.0,0.0,0.0,0.0,2007-06-01
SOUTH TEXAS Total,50160.0,110101.0,5157.0,72060.0,0.0,0.0,0.0,0.0,2007-06-01
Cannan #1,17969.0,39274.0,0.0,34300.0,0.0,0.0,0.0,0.0,2007-06-01
Triple J #2,1146.0,0.0,573.0,2150.0,0.0,0.0,0.0,0.0,2007-06-01
Thompson #1,18225.0,61686.0,298.0,30540.0,0.0,0.0,0.0,0.0,2007-07-01
SOUTH TEXAS Total,43404.0,113160.0,6913.0,69910.0,0.0,0.0,0.0,0.0,2007-07-01
Thompson #2,6573.0,4010.0,5958.0,4630.0,0.0,0.0,0.0,0.0,2007-07-01
Cannan #1,17916.0,47464.0,0.0,33190.0,0.0,0.0,0.0,0.0,2007-07-01
Triple J #2,690.0,0.0,657.0,1550.0,0.0,0.0,0.0,0.0,2007-07-01
SOUTH TEXAS Total,41055.0,117740.0,6784.0,66740.0,0.0,0.0,0.0,0.0,2007-08-01
Thompson #1,17877.0,64296.0,603.0,26910.0,0.0,0.0,0.0,0.0,2007-08-01
Thompson #2,5404.0,4443.0,5920.0,6020.0,0.0,0.0,0.0,0.0,2007-08-01
Triple J #2,554.0,0.0,261.0,1550.0,0.0,0.0,0.0,0.0,2007-08-01
Cannan #1,17220.0,49001.0,0.0,32260.0,0.0,0.0,0.0,0.0,2007-08-01
SOUTH TEXAS Total,35814.0,113208.0,6185.0,56710.0,0.0,0.0,0.0,0.0,2007-09-01
Cannan #1,16684.0,48598.0,0.0,28980.0,0.0,0.0,0.0,0.0,2007-09-01
Thompson #1,14656.0,60080.0,932.0,21300.0,0.0,0.0,0.0,0.0,2007-09-01
Thompson #2,4434.0,4530.0,5253.0,4930.0,0.0,0.0,0.0,0.0,2007-09-01
Triple J #2,40.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,2007-09-01
Thompson #1,11967.0,69748.0,1400.0,15810.0,0.0,0.0,0.0,0.0,2007-10-01
Triple J #2,0.0,0.0,0.0,1550.0,0.0,0.0,0.0,0.0,2007-10-01
SOUTH TEXAS Total,32409.0,122350.0,6753.0,49480.0,0.0,0.0,0.0,0.0,2007-10-01
Thompson #2,4175.0,6463.0,5353.0,4300.0,0.0,0.0,0.0,0.0,2007-10-01
Cannan #1,16267.0,46139.0,0.0,27820.0,0.0,0.0,0.0,0.0,2007-10-01
Triple J #2,456.0,0.0,6343.0,1525.0,0.0,0.0,0.0,0.0,2007-11-01
Cannan #1,11573.0,50839.0,496.0,26280.0,0.0,0.0,0.0,0.0,2007-11-01
SOUTH TEXAS Total,23993.0,119780.0,14422.0,44700.0,0.0,0.0,0.0,0.0,2007-11-01
Thompson #2,3983.0,2375.0,4620.0,4555.0,0.0,0.0,0.0,0.0,2007-11-01
Thompson #1,7981.0,66566.0,2963.0,12340.0,0.0,0.0,0.0,0.0,2007-11-01
Thompson #2,1983.0,2937.0,3392.0,4400.0,0.0,0.0,0.0,0.0,2007-12-01
Thompson #1,6674.0,63359.0,4851.0,12310.0,0.0,0.0,0.0,0.0,2007-12-01
Cannan #1,6971.0,24911.0,6579.0,18010.0,0.0,0.0,0.0,0.0,2007-12-01
SOUTH TEXAS Total,16570.0,91207.0,26135.0,36270.0,0.0,0.0,0.0,0.0,2007-12-01
Triple J #2,942.0,0.0,11313.0,1550.0,0.0,0.0,0.0,0.0,2007-12-01
Cannan #1,6263.0,23010.0,4570.0,15500.0,0.0,0.0,0.0,0.0,2008-01-01
Triple J #2,2418.0,0.0,9138.0,1550.0,0.0,0.0,0.0,0.0,2008-01-01
Thompson #2,821.0,1551.0,4817.0,5050.0,0.0,0.0,0.0,0.0,2008-01-01
SOUTH TEXAS Total,14577.0,83888.0,23348.0,33950.0,0.0,0.0,0.0,0.0,2008-01-01
Thompson #1,5075.0,59327.0,4823.0,11850.0,0.0,0.0,0.0,0.0,2008-01-01
Cannan #1,4703.0,21050.0,3951.0,14500.0,0.0,0.0,0.0,0.0,2008-02-01
SOUTH TEXAS Total,11062.0,81364.0,21821.0,29790.0,0.0,0.0,0.0,0.0,2008-02-01
Thompson #2,1174.0,5315.0,4939.0,4150.0,0.0,0.0,0.0,0.0,2008-02-01
Triple J #2,1231.0,0.0,8807.0,1450.0,0.0,0.0,0.0,0.0,2008-02-01
Thompson #1,3954.0,54999.0,4124.0,9690.0,0.0,0.0,0.0,0.0,2008-02-01
Thompson #2,1187.0,4978.0,5409.0,3850.0,0.0,0.0,0.0,0.0,2008-03-01
Triple J #2,1164.0,0.0,8845.0,1550.0,0.0,0.0,0.0,0.0,2008-03-01
SOUTH TEXAS Total,10745.0,84457.0,22750.0,31030.0,0.0,0.0,0.0,0.0,2008-03-01
Thompson #1,3906.0,59371.0,4349.0,10130.0,0.0,0.0,0.0,0.0,2008-03-01
Cannan #1,4488.0,20108.0,4147.0,15500.0,0.0,0.0,0.0,0.0,2008-03-01
Triple J #2,1137.0,0.0,8324.0,1500.0,0.0,0.0,0.0,0.0,2008-04-01
SOUTH TEXAS Total,21034.0,74186.0,23708.0,31720.0,0.0,0.0,0.0,0.0,2008-04-01
Thompson #2,2085.0,3865.0,5692.0,4500.0,0.0,0.0,0.0,0.0,2008-04-01
Leary Trust #1,9740.0,0.0,0.0,2290.0,0.0,0.0,0.0,0.0,2008-04-01
Cannan #1,4599.0,20497.0,5919.0,14720.0,0.0,0.0,0.0,0.0,2008-04-01
Thompson #1,3473.0,49824.0,3773.0,8710.0,0.0,0.0,0.0,0.0,2008-04-01
SOUTH TEXAS Total,19101.0,78244.0,24799.0,31380.0,0.0,0.0,0.0,0.0,2008-05-01
Cannan #1,4155.0,21360.0,7431.0,15180.0,0.0,0.0,0.0,0.0,2008-05-01
Triple J #2,1749.0,0.0,7310.0,1550.0,0.0,0.0,0.0,0.0,2008-05-01
Leary Trust #1,8076.0,0.0,0.0,1310.0,0.0,0.0,0.0,0.0,2008-05-01
Thompson #2,1611.0,6310.0,6606.0,4650.0,0.0,0.0,0.0,0.0,2008-05-01
Thompson #1,3510.0,50574.0,3452.0,8690.0,0.0,0.0,0.0,0.0,2008-05-01
