Date,New Prod,Tot Prod,percent
2006-03-05,55.0,55.0,100
2006-03-06,406.0,406.0,100
2006-03-07,531.0,531.0,100
2006-03-08,503.0,503.0,100
2006-03-09,541.0,541.0,100
2006-03-10,685.0,685.0,100
2006-03-11,812.0,812.0,100
2006-03-12,750.0,750.0,100
2006-03-13,805.0,805.0,100
2006-03-14,744.0,744.0,100
2006-03-15,768.0,768.0,100
2006-03-16,766.0,766.0,100
2006-03-17,827.0,827.0,100
2006-03-18,773.0,773.0,100
2006-03-19,717.0,717.0,100
2006-03-20,780.0,780.0,100
2006-03-21,784.0,784.0,100
2006-03-22,750.0,750.0,100
2006-03-23,760.0,760.0,100
2006-03-24,846.0,846.0,100
2006-03-25,807.0,807.0,100
2006-03-26,742.0,742.0,100
2006-03-27,714.0,714.0,100
2006-03-28,739.0,739.0,100
2006-03-29,742.0,742.0,100
2006-03-30,758.0,758.0,100
2006-03-31,775.0,775.0,100
2006-04-01,728.0,728.0,100
2006-04-02,667.0,667.0,100
2006-04-03,750.0,750.0,100
2006-04-04,815.0,815.0,100
2006-04-05,865.0,865.0,100
2006-04-06,906.0,906.0,100
2006-04-07,866.0,866.0,100
2006-04-08,898.0,898.0,100
2006-04-09,838.0,838.0,100
2006-04-10,873.0,873.0,100
2006-04-11,880.0,880.0,100
2006-04-12,892.0,892.0,100
2006-04-13,889.0,889.0,100
2006-04-14,847.0,847.0,100
2006-04-15,884.0,884.0,100
2006-04-16,899.0,899.0,100
2006-04-17,880.0,880.0,100
2006-04-18,877.0,877.0,100
2006-04-19,872.0,872.0,100
2006-04-20,885.0,885.0,100
2006-04-21,891.0,891.0,100
2006-04-22,887.0,887.0,100
2006-04-23,824.0,824.0,100
2006-04-24,868.0,868.0,100
2006-04-25,893.0,893.0,100
2006-04-26,893.0,893.0,100
2006-04-27,905.0,905.0,100
2006-04-28,898.0,898.0,100
2006-04-29,829.0,829.0,100
2006-04-30,846.0,846.0,100
2006-05-01,847.0,847.0,100
2006-05-02,847.0,847.0,100
2006-05-03,864.0,864.0,100
2006-05-04,861.0,861.0,100
2006-05-05,869.0,869.0,100
2006-05-06,868.0,868.0,100
2006-05-07,868.0,868.0,100
2006-05-08,854.0,854.0,100
2006-05-09,827.0,827.0,100
2006-05-10,859.0,859.0,100
2006-05-11,842.0,842.0,100
2006-05-12,810.0,810.0,100
2006-05-13,826.0,826.0,100
2006-05-14,831.0,831.0,100
2006-05-15,837.0,837.0,100
2006-05-16,873.0,873.0,100
2006-05-17,851.0,851.0,100
2006-05-18,828.0,828.0,100
2006-05-19,874.0,874.0,100
2006-05-20,871.0,871.0,100
2006-05-21,861.0,861.0,100
2006-05-22,833.0,833.0,100
2006-05-23,838.0,838.0,100
2006-05-24,791.0,791.0,100
2006-05-25,843.0,843.0,100
2006-05-26,818.0,818.0,100
2006-05-27,802.0,802.0,100
2006-05-28,853.0,853.0,100
2006-05-29,839.0,839.0,100
2006-05-30,768.0,768.0,100
