well,id,run_ticket_number,date,date_string,updated_at,type,total
Aaron #1,1973878,,1704434400,2024-01-05,1704434400,OIL,80.16
Aaron #1,1974700,13171,1704434400,2024-01-05,1704434400,WATER,120.0
Aaron #1,1973880,2929711,1704348000,2024-01-04,1704348000,OIL,190.0
Aaron #1,1973879,13754,1704348000,2024-01-04,1704348000,WATER,120.0
Aaron #1,1973045,14117,1704261600,2024-01-03,1704261600,WATER,120.0
Aaron #1,1971413,013701,1704175200,2024-01-02,1704175200,WATER,120.0
Aaron #1,1970466,2913431,1704088800,2024-01-01,1704088800,OIL,186.0
Aaron #1,1970464,,1704088800,2024-01-01,1704088800,OIL,66.8
Aaron #1,1970465,013999,1704088800,2024-01-01,1704088800,WATER,130.0
Aaron #1,1969473,014190,1704002400,2023-12-31,1704002400,WATER,130.0
Aaron #1,1966305,14174,1703743200,2023-12-28,1703743200,WATER,130.0
Aaron #1,1963885,13963,1703570400,2023-12-26,1703570400,WATER,120.0
Aaron #1,1962609,2900471,1703397600,2023-12-24,1703397600,OIL,183.0
Aaron #1,1962610,,1703397600,2023-12-24,1703397600,OIL,73.48
Aaron #1,1962608,014987,1703397600,2023-12-24,1703397600,WATER,120.0
Aaron #1,1961683,2900461,1703311200,2023-12-23,1703311200,OIL,191.0
Aaron #1,1961685,,1703311200,2023-12-23,1703311200,OIL,68.47
Aaron #1,1961684,014294,1703311200,2023-12-23,1703311200,WATER,95.0
Aaron #1,1959544,14931,1703138400,2023-12-21,1703138400,WATER,60.0
Aaron #1,1958444,14976,1703052000,2023-12-20,1703052000,WATER,120.0
Aaron #1,1957262,121823,1702965600,2023-12-19,1702965600,WATER,120.0
Aaron #1,1954814,14262,1702706400,2023-12-16,1702706400,WATER,120.0
Aaron #1,1952504,2874981,1702533600,2023-12-14,1702533600,OIL,173.0
Aaron #1,1952503,,1702533600,2023-12-14,1702533600,OIL,85.17
Aaron #1,1951333,12296,1702447200,2023-12-13,1702447200,WATER,120.0
Aaron #1,1950118,14883,1702274400,2023-12-11,1702274400,WATER,120.0
Aaron #1,1948514,14879,1702188000,2023-12-10,1702188000,WATER,120.0
Aaron #1,1947458,14875,1702101600,2023-12-09,1702101600,WATER,120.0
Aaron #1,1945581,,1702015200,2023-12-08,1702015200,OIL,76.82
Aaron #1,1945582,2856631,1701928800,2023-12-07,1701928800,OIL,192.0
Aaron #1,1945580,12272,1701928800,2023-12-07,1701928800,WATER,120.0
Aniken #1,1954815,14912,1702706400,2023-12-16,1702706400,WATER,120.0
Aniken #1,1945583,2856641,1701928800,2023-12-07,1701928800,OIL,181.0
Annpick #1,1963915,2900481,1703570400,2023-12-26,1703570400,OIL,180.0
Balfour #1,1973881,,1704434400,2024-01-05,1704434400,OIL,70.14
Balfour #1,1973883,2929721,1704348000,2024-01-04,1704348000,OIL,186.0
Balfour #1,1973882,132846,1704348000,2024-01-04,1704348000,WATER,100.0
Balfour #1,1966308,,1703743200,2023-12-28,1703743200,OIL,70.14
Balfour #1,1966306,2913441,1703656800,2023-12-27,1703656800,OIL,191.0
Balfour #1,1966307,13970,1703656800,2023-12-27,1703656800,WATER,120.0
Balfour #1,1960580,2900491,1703224800,2023-12-22,1703224800,OIL,180.1
Balfour #1,1960579,,1703224800,2023-12-22,1703224800,OIL,71.81
Balfour #1,1957263,,1702965600,2023-12-19,1702965600,OIL,90.18
Balfour #1,1957264,2886571,1702879200,2023-12-18,1702879200,OIL,190.0
Balfour #1,1953438,2879532,1702620000,2023-12-15,1702620000,OIL,62.0
Balfour #1,1952507,2874991,1702533600,2023-12-14,1702533600,OIL,190.0
Balfour #1,1952506,,1702533600,2023-12-14,1702533600,OIL,71.81
Balfour #1,1950119,146401,1702274400,2023-12-11,1702274400,WATER,65.0
Balfour #1,1945585,,1702015200,2023-12-08,1702015200,OIL,86.84
Balfour #1,1945584,2856651,1701928800,2023-12-07,1701928800,OIL,188.0
Barrier #1,1954727,,1702792800,2023-12-17,1702792800,OIL,20.43
Barrier #1,1954168,,1702706400,2023-12-16,1702706400,OIL,54.48
Barrier #1,1946694,2856661,1702015200,2023-12-08,1702015200,OIL,190.9
Beeler Ranch #1,1974702,1524,1704434400,2024-01-05,1704434400,WATER,120.0
Beeler Ranch #1,1973053,2929731,1704261600,2024-01-03,1704261600,OIL,183.0
Beeler Ranch #1,1972215,13705,1704175200,2024-01-02,1704175200,WATER,100.0
Beeler Ranch #1,1971420,014113,1704175200,2024-01-02,1704175200,WATER,120.0
Beeler Ranch #1,1970471,014111,1704088800,2024-01-01,1704088800,WATER,120.0
Beeler Ranch #1,1968357,122924,1703829600,2023-12-29,1703829600,WATER,120.0
Beeler Ranch #1,1967409,13982,1703743200,2023-12-28,1703743200,WATER,120.0
Beeler Ranch #1,1964976,14999,1703570400,2023-12-26,1703570400,WATER,120.0
Beeler Ranch #1,1963177,122423,1703397600,2023-12-24,1703397600,WATER,120.0
Beeler Ranch #1,1962614,014943,1703397600,2023-12-24,1703397600,WATER,130.0
Beeler Ranch #1,1958455,14280,1702965600,2023-12-19,1702965600,WATER,120.0
Beeler Ranch #1,1954818,14910,1702706400,2023-12-16,1702706400,WATER,120.0
Beeler Ranch #1,1954188,121523,1702620000,2023-12-15,1702620000,WATER,120.0
Beeler Ranch #1,1952519,014952,1702533600,2023-12-14,1702533600,WATER,130.0
Beeler Ranch #1,1951335,014886,1702447200,2023-12-13,1702447200,WATER,120.0
Beeler Ranch #1,1948523,12287,1702188000,2023-12-10,1702188000,WATER,120.0
Beeler Ranch #1,1946626,13478,1702015200,2023-12-08,1702015200,WATER,120.0
Bermuda #1,1960640,2886581,1703224800,2023-12-22,1703224800,OIL,185.0
Big Sonny #1,1961542,014296,1703224800,2023-12-22,1703224800,WATER,120.0
Big Sonny #1,1948534,12286,1702188000,2023-12-10,1702188000,WATER,130.0
Big Sonny #1,1946695,2856671,1702015200,2023-12-08,1702015200,OIL,190.5
Blackmon #1,1973890,2913491,1704434400,2024-01-05,1704434400,OIL,188.0
Blackmon #1,1973891,,1704434400,2024-01-05,1704434400,OIL,73.48
Blackmon #1,1968355,,1703916000,2023-12-30,1703916000,OIL,76.82
Blackmon #1,1968356,2908031,1703829600,2023-12-29,1703829600,OIL,191.0
Blackmon #1,1960586,2886591,1703224800,2023-12-22,1703224800,OIL,185.5
Blackmon #1,1960587,,1703224800,2023-12-22,1703224800,OIL,80.16
Blackmon #1,1959549,,1703138400,2023-12-21,1703138400,OIL,88.51
Blackmon #1,1947463,2837681,1702101600,2023-12-09,1702101600,OIL,191.0
Bruce Weaver #1,1965880,014153,1703743200,2023-12-28,1703743200,WATER,100.0
Bruce Weaver #2 Re,1974542,2942131,1704520800,2024-01-06,1704520800,OIL,190.0
Bruce Weaver #2 Re,1974540,2942141,1704520800,2024-01-06,1704520800,OIL,180.0
Bruce Weaver #2 Re,1974541,,1704520800,2024-01-06,1704520800,OIL,59.02
Bruce Weaver #2 Re,1974060,2939491,1704434400,2024-01-05,1704434400,OIL,190.0
Bruce Weaver #2 Re,1974058,,1704434400,2024-01-05,1704434400,OIL,20.43
Bruce Weaver #2 Re,1974057,,1704434400,2024-01-05,1704434400,OIL,20.43
Bruce Weaver #2 Re,1973163,2932811,1704348000,2024-01-04,1704348000,OIL,192.0
Bruce Weaver #2 Re,1972274,2913511,1704261600,2024-01-03,1704261600,OIL,191.0
Bruce Weaver #2 Re,1972275,,1704261600,2024-01-03,1704261600,OIL,172.52
Bruce Weaver #2 Re,1972270,,1704261600,2024-01-03,1704261600,OIL,172.52
Bruce Weaver #2 Re,1972276,013158,1704261600,2024-01-03,1704261600,WATER,130.0
Bruce Weaver #2 Re,1970886,2917841,1704175200,2024-01-02,1704175200,OIL,190.0
Bruce Weaver #2 Re,1969833,2913541,1704088800,2024-01-01,1704088800,OIL,189.0
Bruce Weaver #2 Re,1969835,014109,1704088800,2024-01-01,1704088800,WATER,130.0
Bruce Weaver #2 Re,1968765,2910131,1704002400,2023-12-31,1704002400,OIL,182.0
Bruce Weaver #2 Re,1968766,013991,1704002400,2023-12-31,1704002400,WATER,130.0
Bruce Weaver #2 Re,1967025,2913521,1703829600,2023-12-29,1703829600,OIL,180.0
Bruce Weaver #2 Re,1967027,2913531,1703829600,2023-12-29,1703829600,OIL,180.0
Bruce Weaver #2 Re,1967026,,1703829600,2023-12-29,1703829600,OIL,63.56
Bruce Weaver #2 Re,1963241,2905821,1703484000,2023-12-25,1703484000,OIL,188.0
Bruce Weaver #2 Re,1963243,,1703484000,2023-12-25,1703484000,OIL,56.75
Bruce Weaver #2 Re,1963242,,1703484000,2023-12-25,1703484000,OIL,56.75
Bruce Weaver #2 Re,1962048,2905831,1703397600,2023-12-24,1703397600,OIL,192.0
Bruce Weaver #2 Re,1962047,014942,1703397600,2023-12-24,1703397600,WATER,130.0
Bruce Weaver #2 Re,1961194,2897831,1703311200,2023-12-23,1703311200,OIL,183.0
Bruce Weaver #2 Re,1960088,2886621,1703224800,2023-12-22,1703224800,OIL,190.0
Bruce Weaver #2 Re,1960090,2894461,1703224800,2023-12-22,1703224800,OIL,185.0
Bruce Weaver #2 Re,1960089,,1703224800,2023-12-22,1703224800,OIL,24.97
Bruce Weaver #2 Re,1958948,014927,1703138400,2023-12-21,1703138400,WATER,130.0
Bruce Weaver #2 Re,1957876,2889901,1703052000,2023-12-20,1703052000,OIL,182.0
Bruce Weaver #2 Re,1957877,2889911,1703052000,2023-12-20,1703052000,OIL,181.0
Bruce Weaver #2 Re,1957875,,1703052000,2023-12-20,1703052000,OIL,81.72
Bruce Weaver #2 Re,1957874,014970,1703052000,2023-12-20,1703052000,WATER,130.0
Bruce Weaver #2 Re,1956759,2886601,1702965600,2023-12-19,1702965600,OIL,190.0
Bruce Weaver #2 Re,1956760,,1702965600,2023-12-19,1702965600,OIL,31.78
Bruce Weaver #2 Re,1956758,,1702965600,2023-12-19,1702965600,OIL,31.78
Bruce Weaver #2 Re,1955982,2886611,1702879200,2023-12-18,1702879200,OIL,185.2
Bruce Weaver #2 Re,1955259,014265,1702792800,2023-12-17,1702792800,WATER,120.0
Bruce Weaver #2 Re,1954254,2879471,1702706400,2023-12-16,1702706400,OIL,190.0
Bruce Weaver #2 Re,1954255,,1702706400,2023-12-16,1702706400,OIL,34.05
Bruce Weaver #2 Re,1954252,,1702706400,2023-12-16,1702706400,OIL,34.05
Bruce Weaver #2 Re,1952817,2877301,1702620000,2023-12-15,1702620000,OIL,186.0
Bruce Weaver #2 Re,1951792,2875001,1702533600,2023-12-14,1702533600,OIL,192.0
Bruce Weaver #2 Re,1950786,2871111,1702447200,2023-12-13,1702447200,OIL,190.0
Bruce Weaver #2 Re,1950787,2871121,1702447200,2023-12-13,1702447200,OIL,170.0
