Well Name,Loads,Type,Tank,As of
Aaron #1,1,OIL,138168 138169,2024-05-29 16:54:56
Aaron #1,1,WATER,Aaron 1 Water,2024-05-29 16:54:55
Balfour #1,1,OIL, Oil 1  Oil 2,2024-05-29 16:54:56
Barrier #1,1,OIL,269719,2024-05-29 16:22:46
Beeler #16 RE,1,OIL,600702 600703,2024-05-30 08:09:01
Beeler #16 RE,1,WATER,Beeler 16 Water,2024-05-30 08:09:01
Beeler Ranch #1,1,OIL,138158,2024-05-29 16:54:54
Beeler Ranch #1,1,WATER,Beeler 1H Water 1,2024-05-29 16:54:54
Big Sonny #1,1,OIL,269631,2024-05-29 16:22:49
Bruce Weaver #2 Re,1,OIL,Bruce Weaver 2 Oil 1 Bruce Weaver 2 Oil 2 Bruce Weaver 2 Oil 3,2024-05-30 08:25:56
CMWW #2,1,OIL,2 Oil 1 2 Oil 2,2024-05-29 16:22:44
CR #201,1,WATER,CR 201 Water,2024-05-29 17:25:46
CR #301,1,WATER,CR 301 Water,2024-05-29 17:25:46
CR #939,1,OIL, 939 Oil Tank 1  939 Oil Tank 2,2024-05-29 17:25:46
Cannan #1,1,OIL,261004,2024-05-29 17:25:45
Cross S #1,1,OIL,264110,2024-05-29 17:25:46
Dixondale #1,4,OIL, Oil 1  Oil 2  Oil 3,2024-05-29 16:54:55
Drinkard #1,1,OIL, Oil 1  Oil 2,2024-05-29 16:54:56
Drinkard #1,1,WATER,Drinkard Water 1,2024-05-29 16:54:56
Fatheree #1,1,OIL, 1 Oil 1  1 Oil 2,2024-05-29 15:29:33
Gil #1,1,OIL,262046,2024-05-29 17:25:45
Gil #1,1,WATER,Gil 1 Water,2024-05-29 17:25:45
Grissom #1,1,WATER,Grissom 1 Water,2024-05-29 17:25:46
J Beeler #1,1,OIL,272214 272215 272216,2024-05-30 09:17:43
JIC #1,1,OIL, Oil 2  OIl 3,2024-05-29 16:54:56
JJ #1,1,OIL,272482 272483 272484,2024-05-30 08:56:43
Jessica #1,1,OIL,268925,2024-05-30 10:17:33
Jred #1,1,OIL,269085,2024-05-30 06:02:08
Jred #1,1,OIL,269068,2024-05-29 17:25:45
Kiley #1,1,OIL,271924 271925,2024-05-30 11:58:20
Kleimann #1,1,OIL,271784 271785,2024-05-29 16:54:53
Lander #1,1,OIL,138151 138154,2024-05-30 10:44:33
Lander #1,1,WATER,Landers Water,2024-05-30 10:44:33
Little 179 #1,1,OIL, 179 Oil 1  179 Oil 2  179 Oil 3  179 Oil 4,2024-05-29 15:29:33
Lochte #1,1,WATER,Lochte 1 Water 1,2024-05-29 17:25:45
MDB #1,1,OIL,MDB Oil 1,2024-05-29 16:54:55
Marrs #1,1,OIL, Oil 1  Oil 2,2024-05-29 15:29:33
Marrs #1,1,WATER,Marrs Wtr 1,2024-05-29 15:29:33
Molak #1,1,OIL,261132,2024-05-29 16:22:45
PC #1,1,OIL,269694,2024-05-29 15:29:33
RAB #1,1,OIL, 1 Oil 1  1 Oil 2  1 Oil 3  1 Oil 4,2024-05-30 12:10:16
RAB #1,1,WATER,RAB 1 Water 1,2024-05-30 12:10:16
RAB #2,1,OIL,Rab 2 Oil 1 Rab 2 Oil 2 Rab 2 Oil 3 Rab 2 Oil 4,2024-05-30 13:22:34
RAB #3,1,OIL,Rab 3 Oil 1 Rab 3 Oil 2,2024-05-30 13:22:34
RAB #3,1,WATER,Rab 3 Water,2024-05-30 13:22:34
Richardson #1,1,OIL,263182,2024-05-29 16:22:46
Ruthpick #1,1,OIL,269439,2024-05-30 11:49:17
VRE Minerals #1,1,WATER,VRE Minerals 1 Wtr 1,2024-05-29 17:25:47
