Well Name,Loads,Type,Dayts to Fill,Equalized,Tank,As of
Aaron #1,1,WATER,1.52,,Aaron 1 Water,2024-06-02 19:06:26
Barrier #1,1,OIL,169.88,,269719,2024-06-02 16:43:10
Beeler #16 RE,1,OIL,2.56,2,"600702, 600703",2024-06-03 07:58:42
Beeler #16 RE,1,WATER,6.68,,Beeler 16 Water,2024-06-03 07:58:42
Beeler #17,1,WATER,58.86,,Beeler 17 H Water,2024-06-03 07:58:42
Blackmon #1,1,OIL,58.77,,269760,2024-06-02 19:06:28
Bruce Weaver #2 Re,3,OIL,7.6499999999999995,3,"Bruce Weaver 2 Oil 1, Bruce Weaver 2 Oil 2, Bruce Weaver 2 Oil 3",2024-06-03 08:21:26
Burns Ranch #2,1,OIL,27.96,,BR2 Tank 2,2024-06-02 16:43:10
CMWW #2,3,OIL,2.33,2,"CMWW2 Oil 1, CMWW2 Oil 2",2024-06-02 16:43:10
CMWW #2,1,WATER,8.32,,CMWW2 Water 1,2024-06-02 16:43:10
CR #201,1,WATER,410.6,,CR 201 Water,2024-06-02 15:44:12
CR #301,1,WATER,154.65,,CR 301 Water,2024-06-02 15:44:12
CR #939,1,OIL,18.86,2,"CR 939 Oil Tank 1, CR 939 Oil Tank 2",2024-06-02 15:44:12
Carolpick #1,1,OIL,72.93,,268919,2024-06-03 11:58:37
Carolyn #1,1,WATER,10.57,,Carolyn Water,2024-06-02 16:55:19
Cenizo #1,1,OIL,59.21,,269396,2024-06-02 19:06:28
Charles B #1,1,OIL,29.8,,271218,2024-06-02 16:43:11
Circle T #1,1,OIL,25.4,,261039,2024-06-02 16:43:10
Cross S #1,1,OIL,98.38,,264110,2024-06-02 15:44:13
Dixondale #1,1,OIL,3.69,3,"Dixondale Oil 1, Dixondale Oil 2, Dixondale Oil 3",2024-06-02 19:06:26
Flower #1,1,OIL,95.08,,264294,2024-06-02 19:06:25
Gil #1,1,OIL,227.89,,262046,2024-06-02 15:44:13
Gil #1,1,WATER,-1.0,,Gil 1 Water,2024-06-02 15:44:13
Grissom #1,1,WATER,-1.0,,Grissom 1 Water,2024-06-02 15:44:13
J Beeler #1,1,OIL,42.5,3,"272214, 272215, 272216",2024-06-03 11:58:37
JIC Buda #1,1,OIL,134.23,,JIC Buda 1,2024-06-02 19:06:27
JJ #1,1,OIL,66.33,3,"272482, 272483, 272484",2024-06-03 09:00:14
Jessica #1,1,OIL,57.92,,268925,2024-06-02 11:56:54
Jred #1,1,OIL,136.66,,269085,2024-06-02 15:44:13
Jred #1,1,OIL,136.66,,269068,2024-06-02 15:44:12
Kiley #1,1,OIL,50.660000000000004,2,"271924, 271925",2024-06-03 12:28:31
Kleimann #1,1,OIL,19.59,2,"271784, 271785",2024-06-02 19:06:28
Kleimann #1,1,WATER,24.64,,Kleinman #1 Water,2024-06-02 19:06:28
La Rosita #1 RE,1,OIL,16.89,,261011,2024-06-02 16:43:11
Lander #1,1,OIL,165.13,2,"138151, 138154",2024-06-03 11:58:38
Leary Trust #1,1,OIL,134.43,,261015,2024-06-02 19:06:27
Little 179 #1,1,OIL,39.24,4,"Little 179 Oil 1, Little 179 Oil 2, Little 179 Oil 3, Little 179 Oil 4",2024-06-02 16:55:19
Lochte #1,1,WATER,341.73,,Lochte 1 Water 1,2024-06-02 15:44:12
Marrs #1,1,OIL,35.14,2,"Marrs Oil 1, Marrs Oil 2",2024-06-02 16:55:19
Molak #1,1,OIL,329.05,,261132,2024-06-02 16:43:10
Pfeiffer-Byrd #1,4,OIL,1.7999999999999998,3,"Pfeiffer Byrd Oil 1, Pfeiffer Byrd Oil 2, Pfeiffer Byrd Oil 3",2024-06-02 19:06:25
Pickens Weaver #1,1,WATER,12.03,,Pickens Water,2024-06-02 16:55:20
Pickwill #1,1,OIL,72.53,2,"264629, 264630",2024-06-02 11:56:54
RAB #1,2,OIL,30.76,4,"RAB 1 Oil 1, RAB 1 Oil 2, RAB 1 Oil 3, RAB 1 Oil 4",2024-06-03 12:28:31
RAB #2,2,OIL,16.96,4,"Rab 2 Oil 1, Rab 2 Oil 2, Rab 2 Oil 3, Rab 2 Oil 4",2024-06-02 16:55:19
Richard #1,1,OIL,75.75999999999999,2,"269534, 269535",2024-06-02 19:06:29
VRE Minerals #1,1,WATER,-1.0,,VRE Minerals 1 Wtr 1,2024-06-02 15:44:12
