Well Name,Loads,Type,Dayts to Fill,Tank,Equalized,As of
Aaron #1,1,OIL,33.25,"138168, 138169",2,2024-06-05 15:57:28
Aaron #1,1,WATER,1.57,Aaron 1 Water,,2024-06-05 15:57:28
Barrier #1,1,OIL,166.51,269719,,2024-06-06 07:39:44
Beeler #17,1,WATER,52.37,Beeler 17 H Water,,2024-06-05 19:19:05
Bruce Weaver #2 Re,1,OIL,10.23,"Bruce Weaver 2 Oil 1, Bruce Weaver 2 Oil 2, Bruce Weaver 2 Oil 3",3,2024-06-05 19:19:05
CMWW #1,1,OIL,16.259999999999998,CMWW1 Oil 1,,2024-06-06 07:39:42
CMWW #1,1,WATER,8.88,CMWW1 Water 1,,2024-06-06 07:39:42
CR #201,1,WATER,410.6,CR 201 Water,,2024-06-05 15:37:49
CR #939,1,OIL,15.24,"CR 939 Oil Tank 1, CR 939 Oil Tank 2",2,2024-06-05 15:37:49
Cannan #1,1,OIL,75.71,261004,,2024-06-05 15:37:50
Carolpick #1,1,OIL,71.9,268919,,2024-06-05 19:19:05
Carolyn #1,1,OIL,72.13,"138142, 138141",2,2024-06-05 19:19:05
Carolyn #1,1,WATER,11.6,Carolyn Water,,2024-06-05 19:19:05
Chad #1,1,OIL,355.72,"138165, 138164",2,2024-06-05 19:19:05
Dial #1 ST,1,OIL,300.72,ST265609,,2024-06-05 15:57:29
Dixondale #1,2,OIL,3.0300000000000002,"Dixondale Oil 1, Dixondale Oil 2, Dixondale Oil 3",3,2024-06-05 15:57:28
Drinkard #1,1,OIL,17.060000000000002,"Drinkard Oil 1, Drinkard Oil 2",2,2024-06-05 15:57:29
Evergreen #1,1,OIL,117.8,263287,,2024-06-05 15:37:51
Fatheree #1,2,OIL,14.14,"Fatheree 1 Oil 1, Fatheree 1 Oil 2",2,2024-06-05 19:19:06
Gil #1,1,OIL,311.21000000000004,262046,,2024-06-05 15:37:51
Gil #1,1,WATER,-1.0,Gil 1 Water,,2024-06-05 15:37:51
Grissom #1,1,WATER,-1.0,Grissom 1 Water,,2024-06-05 15:37:50
J Beeler #1,1,OIL,41.32,"272214, 272215, 272216",3,2024-06-05 19:19:06
J Beeler #1,1,WATER,1.45,J Beeler Water 1,,2024-06-05 19:19:06
JJ #1,1,OIL,62.97,"272482, 272483, 272484",3,2024-06-05 19:19:06
JJ #1,1,WATER,1.77,JJ 1 Water 1,,2024-06-05 19:19:06
Jessica #1,1,OIL,55.73,268925,,2024-06-05 19:19:06
Jred #1,1,OIL,145.07,269085,,2024-06-05 15:37:51
Jred #1,1,OIL,145.07,269068,,2024-06-05 15:37:51
Kay #1,1,OIL,46.36,272285,,2024-06-05 15:57:30
Kiley #1,1,OIL,45.44,"271924, 271925",2,2024-06-05 19:19:06
Kiley #1,1,WATER,4.64,Kylie Water,,2024-06-05 19:19:06
Kleimann #1,1,OIL,19.37,"271784, 271785",2,2024-06-05 15:57:30
La Rosita #1 RE,1,WATER,0.58,La Rosita 1 Water,,2024-06-06 07:39:44
Lackey Five #1,1,OIL,85.45,Lackey 5 Oil 1,,2024-06-05 15:57:31
Little 179 #1,1,OIL,40.56,"Little 179 Oil 1, Little 179 Oil 2, Little 179 Oil 3, Little 179 Oil 4",4,2024-06-05 19:19:07
Lochte #1,1,WATER,320.52,Lochte 1 Water 1,,2024-06-05 15:37:50
MDB #1,1,OIL,47.68,MDB Oil 1,,2024-06-05 15:57:31
Marguerite #1,1,WATER,25.33,Marguerite 1 Water,,2024-06-05 19:19:07
Marrs #1,1,OIL,34.34,"Marrs Oil 1, Marrs Oil 2",2,2024-06-05 19:19:07
Molak #1,1,OIL,333.27,261132,,2024-06-06 07:39:43
Parkway #1,1,OIL,23.880000000000003,"271277, 271278",2,2024-06-05 15:57:29
Parkway #1,1,WATER,11.17,Parkway Water,,2024-06-05 15:57:29
Pickens Weaver #1,1,WATER,10.72,Pickens Water,,2024-06-05 19:19:08
RAB #1,2,OIL,29.4,"RAB 1 Oil 1, RAB 1 Oil 2, RAB 1 Oil 3, RAB 1 Oil 4",4,2024-06-05 19:19:08
RAB #1,1,WATER,0.99,RAB 1 Water 1,,2024-06-05 19:19:08
RAB #2,2,OIL,15.8,"Rab 2 Oil 1, Rab 2 Oil 2, Rab 2 Oil 3, Rab 2 Oil 4",4,2024-06-05 19:19:08
RAB #2,1,WATER,55.09,Rab 2 Water,,2024-06-05 19:19:08
RAB #3,1,OIL,35.66,"Rab 3 Oil 1, Rab 3 Oil 2",2,2024-06-05 19:19:08
RAB #3,1,WATER,3.69,Rab 3 Water,,2024-06-05 19:19:09
Ronald #1,1,WATER,2.71,Ronald Water,,2024-06-05 15:57:31
Solansky #1,1,OIL,40.28,263166,,2024-06-05 15:37:50
VRE Minerals #1,1,WATER,-1.0,VRE Minerals 1 Wtr 1,,2024-06-05 15:37:50
