Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Comments
Beck Unit #1,2023-09-24,5.0,0.0,0.0,60,,
Blair TXL #1,2023-09-24,24.8,96.0,138.0,100,,
Blair TXL #2,2023-09-24,8.4,13.0,0.0,100,,
Blair TXL #3,2023-09-24,0.0,0.0,0.0,0,,
Blair Txl #6,2023-09-24,0.0,0.0,0.0,50,,
Brothers Horizon,2023-09-24,16.7,0.0,961.0,,,
Brothers Horizon Unit 1,2023-09-24,11.2,0.0,0.0,50,,
Brumley,2023-09-24,23.4,0.0,203.0,,,
Bullard,2023-09-24,33.5,0.0,306.0,,,
Davis 3,2023-09-24,5.6,0.0,44.0,,,
EE 12 #1,2023-09-24,0.0,0.0,0.0,0,,
Edwards 12 #1,2023-09-24,0.0,0.0,0.0,100,,
Everett Unit #1,2023-09-24,5.0,0.0,232.0,80,,
Kim,2023-09-24,16.7,0.0,0.0,,,
Koonsman 677,2023-09-24,8.4,0.0,36.0,,,
LLB 15 #1,2023-09-24,5.6,0.0,75.0,60,,
Muleshoe Ranch #1,2023-09-24,8.4,0.0,153.0,180,,Early gauge
North JUWF,2023-09-24,86.5,18.0,688.0,,,
Slaughter B,2023-09-24,14.0,0.0,317.0,,,
South JUWF,2023-09-24,104.0,13.0,647.0,,,No test test heater leak
Beck Unit #1,2023-09-23,5.0,0.0,0.0,60,,
Blair TXL #1,2023-09-23,24.8,91.0,139.0,50,,
Blair TXL #2,2023-09-23,8.4,14.0,0.0,100,,
Blair TXL #3,2023-09-23,0.0,0.0,0.0,0,,
Blair Txl #6,2023-09-23,0.0,0.0,0.0,50,,
Brothers Horizon,2023-09-23,16.7,0.0,1207.0,,,
Brothers Horizon Unit 1,2023-09-23,11.2,0.0,0.0,50,,
Brumley,2023-09-23,26.7,0.0,134.0,,,
Bullard,2023-09-23,39.1,0.0,318.0,,,
Davis 3,2023-09-23,5.6,0.0,38.0,,,
EE 12 #1,2023-09-23,0.0,0.0,0.0,0,,
Edwards 12 #1,2023-09-23,0.0,0.0,0.0,100,,
Everett Unit #1,2023-09-23,3.3,0.0,205.0,80,,
Kim,2023-09-23,19.5,0.0,0.0,,,
Koonsman 677,2023-09-23,6.7,0.0,60.0,,,
LLB 15 #1,2023-09-23,5.6,0.0,96.0,60,,
Muleshoe Ranch #1,2023-09-23,16.7,0.0,266.0,180,,
North JUWF,2023-09-23,97.9,17.0,764.0,,,
Slaughter B,2023-09-23,16.7,0.0,216.0,,,
South JUWF,2023-09-23,111.6,16.0,636.0,,,
Beck Unit #1,2023-09-22,5.0,0.0,0.0,60,,
Blair TXL #1,2023-09-22,26.1,93.0,134.0,50,,
Blair TXL #2,2023-09-22,8.4,14.0,0.0,100,,
Blair TXL #3,2023-09-22,0.0,0.0,0.0,0,,
Blair Txl #6,2023-09-22,0.0,0.0,0.0,50,,
Brothers Horizon,2023-09-22,16.7,0.0,1013.0,,,
Brothers Horizon Unit 1,2023-09-22,11.2,0.0,0.0,50,,
Brumley,2023-09-22,26.7,0.0,221.0,,,
Bullard,2023-09-22,37.6,0.0,404.0,,,
Davis 3,2023-09-22,5.6,0.0,38.0,,,
EE 12 #1,2023-09-22,0.0,0.0,0.0,0,,
Edwards 12 #1,2023-09-22,0.0,0.0,0.0,100,,
Everett Unit #1,2023-09-22,5.0,0.0,231.0,80,,
Kim,2023-09-22,16.7,0.0,0.0,,,
Koonsman 677,2023-09-22,3.4,0.0,11.0,,,#2 reset
LLB 15 #1,2023-09-22,5.6,0.0,107.0,60,,
Muleshoe Ranch #1,2023-09-22,16.7,0.0,240.0,180,,
North JUWF,2023-09-22,109.3,16.0,771.0,,,
Slaughter B,2023-09-22,14.0,0.0,218.0,,,
South JUWF,2023-09-22,130.1,15.0,771.0,,,
Beck Unit #1,2023-09-21,5.0,0.0,0.0,60,,
Brothers Horizon,2023-09-21,13.9,0.0,1169.0,,,
Brothers Horizon Unit 1,2023-09-21,11.2,0.0,0.0,50,,
Brumley,2023-09-21,28.7,0.0,197.0,,,
Bullard,2023-09-21,36.3,0.0,338.0,,,
Davis 3,2023-09-21,5.6,0.0,39.0,,,
Everett Unit #1,2023-09-21,5.0,0.0,274.0,80,,
Kim,2023-09-21,25.0,0.0,0.0,,,
Koonsman 677,2023-09-21,8.4,0.0,33.0,,,
LLB 15 #1,2023-09-21,2.8,0.0,91.0,60,,
Muleshoe Ranch #1,2023-09-21,14.0,0.0,256.0,180,,
North JUWF,2023-09-21,114.4,15.0,798.0,,,
Slaughter B,2023-09-21,16.7,0.0,316.0,,,
South JUWF,2023-09-21,117.2,17.0,710.0,,,#5 down 1hr #2 reset
Beck Unit #1,2023-09-20,5.0,0.0,0.0,60,,
Blair TXL #1,2023-09-20,22.0,89.0,132.0,50,,
Blair TXL #2,2023-09-20,8.4,13.0,0.0,100,,
Blair TXL #3,2023-09-20,0.0,0.0,0.0,0,,
Blair Txl #6,2023-09-20,0.0,0.0,0.0,50,,
Brothers Horizon,2023-09-20,16.4,0.0,1164.0,,,
Brothers Horizon Unit 1,2023-09-20,11.2,0.0,0.0,50,,
Brumley,2023-09-20,25.0,0.0,200.0,,,
Bullard,2023-09-20,33.5,0.0,339.0,,,
Davis 3,2023-09-20,5.6,0.0,30.0,,,
EE 12 #1,2023-09-20,0.0,20.0,0.0,0,,
Edwards 12 #1,2023-09-20,0.0,0.0,0.0,100,,
Everett Unit #1,2023-09-20,5.0,0.0,250.0,80,,
Kim,2023-09-20,22.2,0.0,0.0,,,
Koonsman 677,2023-09-20,8.4,0.0,30.0,,,
LLB 15 #1,2023-09-20,2.8,0.0,93.0,60,,
Muleshoe Ranch #1,2023-09-20,16.7,0.0,232.0,180,,
North JUWF,2023-09-20,94.6,13.0,774.0,,,#14 is running
Slaughter B,2023-09-20,11.2,0.0,234.0,,,
South JUWF,2023-09-20,120.0,17.0,702.0,,,
Beck Unit #1,2023-09-19,5.0,0.0,0.0,60,,
Blair TXL #1,2023-09-19,22.0,85.0,132.0,150,,
Blair TXL #2,2023-09-19,11.2,14.0,0.0,100,,
Blair TXL #3,2023-09-19,1.0,0.0,0.0,0,,
Blair Txl #6,2023-09-19,0.0,0.0,0.0,50,,
Brothers Horizon,2023-09-19,22.2,0.0,914.0,,,
Brothers Horizon Unit 1,2023-09-19,8.4,0.0,0.0,50,,
Brumley,2023-09-19,25.0,0.0,215.0,,,
Bullard,2023-09-19,33.5,0.0,325.0,,,
Davis 3,2023-09-19,2.8,0.0,50.0,,,
EE 12 #1,2023-09-19,2.8,28.0,8.0,0,,
Edwards 12 #1,2023-09-19,0.0,0.0,8.0,100,,
Everett Unit #1,2023-09-19,5.0,0.0,256.0,80,,
Kim,2023-09-19,17.8,0.0,0.0,,,
Koonsman 677,2023-09-19,8.4,0.0,43.0,,,
LLB 15 #1,2023-09-19,2.8,0.0,85.0,60,,
Muleshoe Ranch #1,2023-09-19,14.0,0.0,223.0,180,,
North JUWF,2023-09-19,53.0,14.0,594.0,,,Rig is pulling #14
Slaughter B,2023-09-19,14.0,0.0,175.0,,,
South JUWF,2023-09-19,110.3,19.0,689.0,,,
Beck Unit #1,2023-09-18,5.0,0.0,0.0,60,,
Brothers Horizon,2023-09-18,0.0,0.0,159.0,,,"Hot oiled #4, started well #1"
Brothers Horizon Unit 1,2023-09-18,0.0,0.0,0.0,50,,Started #1
Brumley,2023-09-18,26.7,0.0,206.0,,,
Bullard,2023-09-18,36.3,0.0,377.0,,,
Davis 3,2023-09-18,5.6,0.0,42.0,,,
Everett Unit #1,2023-09-18,0.0,0.0,293.0,80,,
Kim,2023-09-18,0.0,0.0,0.0,,,Hot oiling #2
Koonsman 677,2023-09-18,25.2,0.0,94.0,,,
LLB 15 #1,2023-09-18,2.8,0.0,96.0,60,,
Muleshoe Ranch #1,2023-09-18,14.0,0.0,229.0,180,,
North JUWF,2023-09-18,89.3,15.0,575.0,,,#16 is pumping
Slaughter B,2023-09-18,14.0,0.0,374.0,,,
South JUWF,2023-09-18,127.5,16.0,728.0,,,
Beck Unit #1,2023-09-17,5.0,0.0,0.0,60,,
Blair TXL #1,2023-09-17,30.2,88.0,122.0,150,,
Blair TXL #2,2023-09-17,11.2,13.0,0.0,100,,
Blair TXL #3,2023-09-17,1.0,0.0,0.0,0,,
Blair Txl #6,2023-09-17,0.0,0.0,0.0,50,,
Brothers Horizon,2023-09-17,2.8,0.0,137.0,,,
Brothers Horizon Unit 1,2023-09-17,0.0,0.0,0.0,50,,
Brumley,2023-09-17,23.4,0.0,208.0,,,
Bullard,2023-09-17,33.5,0.0,342.0,,,
Davis 3,2023-09-17,8.4,0.0,41.0,,,
EE 12 #1,2023-09-17,2.8,8.0,16.0,0,,
Edwards 12 #1,2023-09-17,0.0,0.0,8.0,100,,
Everett Unit #1,2023-09-17,0.0,0.0,269.0,80,,
Kim,2023-09-17,16.7,0.0,0.0,,,
Koonsman 677,2023-09-17,0.0,0.0,0.0,,,No gauge
LLB 15 #1,2023-09-17,2.8,0.0,95.0,60,,
Muleshoe Ranch #1,2023-09-17,16.7,0.0,231.0,180,,
North JUWF,2023-09-17,94.9,14.0,604.0,,,
Slaughter B,2023-09-17,8.4,0.0,194.0,,,
South JUWF,2023-09-17,136.7,15.0,716.0,,,
Beck Unit #1,2023-09-16,5.0,0.0,0.0,60,,
Blair TXL #1,2023-09-16,30.2,87.0,152.0,700,,
Blair TXL #2,2023-09-16,8.4,13.0,0.0,100,,
Blair TXL #3,2023-09-16,1.0,0.0,0.0,0,,
Blair Txl #6,2023-09-16,0.0,0.0,0.0,50,,
Brothers Horizon,2023-09-16,11.1,0.0,683.0,,,"#1 down, electrical"
Brothers Horizon Unit 1,2023-09-16,8.4,0.0,0.0,50,,"#1 down, motor"
Brumley,2023-09-16,18.4,0.0,180.0,,,
Bullard,2023-09-16,33.5,0.0,334.0,,,
Davis 3,2023-09-16,5.6,0.0,41.0,,,
EE 12 #1,2023-09-16,0.0,14.0,3.0,0,,
Edwards 12 #1,2023-09-16,0.0,0.0,8.0,100,,
Everett Unit #1,2023-09-16,0.0,0.0,261.0,80,,
Kim,2023-09-16,11.1,0.0,0.0,,,
Koonsman 677,2023-09-16,0.0,0.0,0.0,,,No gauge
LLB 15 #1,2023-09-16,5.6,0.0,85.0,60,,
Muleshoe Ranch #1,2023-09-16,14.0,0.0,222.0,180,,
North JUWF,2023-09-16,111.2,13.0,584.0,,,
Slaughter B,2023-09-16,14.0,0.0,216.0,,,
South JUWF,2023-09-16,125.4,14.0,633.0,,,
Beck Unit #1,2023-09-15,5.9,0.0,0.0,60,,
Blair TXL #1,2023-09-15,24.8,89.0,135.0,50,,
Blair TXL #2,2023-09-15,8.4,13.0,0.0,100,,
Blair TXL #3,2023-09-15,1.0,0.0,0.0,0,,
Blair Txl #6,2023-09-15,0.0,0.0,0.0,50,,
Brothers Horizon,2023-09-15,16.7,0.0,1146.0,,,
Brothers Horizon Unit 1,2023-09-15,11.2,0.0,0.0,50,,
Brumley,2023-09-15,21.0,0.0,201.0,,,
Bullard,2023-09-15,30.7,0.0,343.0,,,
Davis 3,2023-09-15,5.6,0.0,44.0,,,
EE 12 #1,2023-09-15,0.0,30.0,16.0,0,,
Edwards 12 #1,2023-09-15,0.0,0.0,8.0,100,,
Everett Unit #1,2023-09-15,6.7,0.0,321.0,80,,
Kim,2023-09-15,11.1,0.0,0.0,,,
Koonsman 677,2023-09-15,8.4,0.0,42.0,,,
LLB 15 #1,2023-09-15,2.8,0.0,102.0,60,,
Muleshoe Ranch #1,2023-09-15,16.7,0.0,270.0,180,,
North JUWF,2023-09-15,0.0,14.0,624.0,,,Hot oiling #25
Slaughter B,2023-09-15,11.2,0.0,321.0,,,
South JUWF,2023-09-15,86.5,15.0,751.0,,,Hot oiled #7
Beck Unit #1,2023-09-14,5.0,0.0,0.0,60,,
