Well Name,Last Production
Beck Unit #1,2023-08-03
Blair Txl 7 #1,2023-07-23
Blair Txl 7 #3,2023-07-21
Blair-Txl  #4,2020-05-01
Blair-Txl #6,2023-07-16
Blair-Txl '7' #2,2023-07-16
Brothers Horizon,2023-08-03
Brothers Horizon Unit 1,2023-08-03
Brumley,2023-08-03
Bullard,2023-08-03
Davis 3,2023-08-03
East Lott,2022-08-01
Edwards 12 #1,2023-07-21
Ee 12 #1,2023-07-23
Everett Unit #1,2023-08-03
Kim,2023-08-03
Koonsman 677,2023-08-03
Llb 15 #1,2023-08-03
Muleshoe Ranch #1,2023-08-03
North Juwf,2023-08-03
Slaughter B,2023-08-03
South Juwf,2023-08-03
