Well Name,Last Production,Days since 2023-09-07
Beck Unit #1,2023-09-07,0
Blair TXL #1,2023-09-07,0
Blair TXL #2,2023-09-07,0
Blair TXL #3,2023-09-07,0
Blair Txl #6,2023-09-02,5
Blair-Txl  #4,2020-05-01,1224
Brothers Horizon,2023-09-07,0
Brothers Horizon Unit 1,2023-09-07,0
Brumley,2023-09-07,0
Bullard,2023-09-07,0
Davis 3,2023-09-07,0
EE 12 #1,2023-09-07,0
East Lott,2022-08-01,402
Edwards 12 #1,2023-09-07,0
Everett Unit #1,2023-09-06,1
Kim,2023-09-07,0
Koonsman 677,2023-09-07,0
LLB 15 #1,2023-09-07,0
Muleshoe Ranch #1,2023-09-07,0
North JUWF,2023-09-07,0
Slaughter B,2023-09-07,0
South JUWF,2023-09-07,0
