Well Name,Last Production,Days since 2023-09-07
Ab Pad State #1,9/6/2023,1
Abenaki 10 State #1,9/7/2023,0
Abenaki 10 State #2,9/7/2023,0
Abenaki 10 State #3,9/7/2023,0
Beams 15 State #1,9/7/2023,0
Beams 15 State #2,9/7/2023,0
Beams 15 State #3,8/1/2020,1132
Beams 15 State #4,9/6/2023,1
Beams 15 State #5,9/7/2023,0
Bougainvillea 33 State #1,9/7/2023,0
CW 14 State #1,9/6/2023,1
Cameron 22 State #1,9/7/2023,0
Cooper 24 Federal Com #1,8/1/2020,1132
Hawkeye 30 State #1,9/7/2023,0
Henry 24 #1,9/7/2023,0
Henry 24 #2,9/7/2023,0
Martin 11 State #1,9/7/2023,0
North Twinberry 5 State #1,9/1/2020,1101
Paddy 13 State #1,9/7/2023,0
Paddy 15 State #1,9/7/2023,0
Paddy 15 State #2,9/7/2023,0
Paddy 15 State #3,9/7/2023,0
Paddy 18 State #1,9/7/2023,0
Paddy 18 State #2,9/7/2023,0
Paddy 18 State #3,9/7/2023,0
Paddy 19 State #1,8/10/2023,28
Paddy 19 State #2,9/7/2023,0
Paddy 19 State #3,9/6/2023,1
Paddy 19 State #4,9/7/2023,0
Paddy 19 State #5,9/7/2023,0
Paddy 20 State #1,9/7/2023,0
Paddy 23 State #1,9/6/2023,1
Raider 9 St #1,9/7/2023,0
Raider 9 St #2,8/1/2020,1132
Raider 9 St #3,9/7/2023,0
Tech 16 State #1,9/7/2023,0
Triple A Fed #3,9/7/2023,0
