Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),MTD Oil,MTD Gas,MTD Water,TP,CP,Comments
Kleimann #3 RE,2025-02-11,770,122,0,5859.0,1103.0,18.0,220.0,720.0,Flowing
Kleimann #3 RE,2025-02-10,741,130,0,5089.0,981.0,18.0,0.0,0.0,Compressor on
Kleimann #3 RE,2025-02-09,713,107,0,4348.0,851.0,18.0,0.0,0.0,Compressor on
Kleimann #3 RE,2025-02-08,710,118,0,3635.0,744.0,18.0,180.0,600.0,Compressor on
Kleimann #3 RE,2025-02-07,735,220,0,2925.0,626.0,18.0,180.0,600.0,Flowing
Kleimann #3 RE,2025-02-06,307,42,0,2190.0,406.0,18.0,180.0,600.0,Compressor down mechanic on site
Kleimann #3 RE,2025-02-05,316,0,0,1883.0,364.0,18.0,180.0,600.0,Compressor down again it was on for 11 hours
Kleimann #3 RE,2025-02-04,515,161,0,1567.0,364.0,18.0,180.0,600.0,Compressor down again mechanic are working on it down on high suction
Kleimann #3 RE,2025-02-03,295,42,0,1052.0,203.0,18.0,180.0,600.0,Compressor down again mechanic is going to check into it
Kleimann #3 RE,2025-02-02,266,0,0,757.0,161.0,18.0,180.0,600.0,Compressor down working on it
Kleimann #3 RE,2025-02-01,491,161,18,491.0,161.0,18.0,180.0,600.0,Compressor on
Kleimann #3 RE,2025-01-31,288,0,0,22514.0,3792.0,44.0,0.0,0.0,Compressor was down put BOL
Kleimann #3 RE,2025-01-30,471,80,0,22226.0,3792.0,44.0,250.0,780.0,Compressor on
Kleimann #3 RE,2025-01-29,709,154,0,21755.0,3712.0,44.0,250.0,780.0,Well flowing
Kleimann #3 RE,2025-01-28,695,57,0,21046.0,3558.0,44.0,250.0,780.0,On
Kleimann #3 RE,2025-01-27,792,123,0,20351.0,3501.0,44.0,250.0,780.0,Well flowing
Kleimann #3 RE,2025-01-26,750,131,7,19559.0,3378.0,44.0,250.0,780.0,Well flowing
Kleimann #3 RE,2025-01-25,684,104,0,18809.0,3247.0,37.0,250.0,780.0,Compressor down putting it BOL
Kleimann #3 RE,2025-01-24,826,150,0,18125.0,3143.0,37.0,250.0,780.0,Well flowing
Kleimann #3 RE,2025-01-23,831,136,0,17299.0,2993.0,37.0,230.0,790.0,Compressor on
Kleimann #3 RE,2025-01-22,704,120,0,16468.0,2857.0,37.0,0.0,0.0,"Compressor was temporarily shut down for maintenance 
Compressor on"
Kleimann #3 RE,2025-01-21,809,122,0,15764.0,2737.0,37.0,230.0,790.0,Compressor on
Kleimann #3 RE,2025-01-20,853,145,0,14955.0,2615.0,37.0,230.0,790.0,Well flowing
Kleimann #3 RE,2025-01-19,805,152,0,14102.0,2470.0,37.0,230.0,790.0,Well flowing
Kleimann #3 RE,2025-01-18,842,125,5,13297.0,2318.0,37.0,230.0,790.0,Well flowing
Kleimann #3 RE,2025-01-17,825,128,0,12455.0,2193.0,32.0,230.0,790.0,Well flowing
Kleimann #3 RE,2025-01-16,881,136,0,11630.0,2065.0,32.0,230.0,790.0,Well flowing
Kleimann #3 RE,2025-01-15,690,122,0,10749.0,1929.0,32.0,250.0,800.0,Well flowing
Kleimann #3 RE,2025-01-14,471,144,3,10059.0,1807.0,32.0,250.0,800.0,Compressor on
Kleimann #3 RE,2025-01-13,0,0,0,9588.0,1663.0,29.0,0.0,0.0,Compressor shut down not building pressure mechanical issues
Kleimann #3 RE,2025-01-12,0,19,0,9588.0,1663.0,29.0,190.0,690.0,"Compressor on
Well was shut in due to high liquid levels in heater put BOL"
Kleimann #3 RE,2025-01-11,804,102,0,9588.0,1644.0,29.0,190.0,690.0,Well flowing compressor on
Kleimann #3 RE,2025-01-10,852,154,0,8784.0,1542.0,29.0,190.0,690.0,Well flowing
Kleimann #3 RE,2025-01-09,867,140,0,7932.0,1388.0,29.0,240.0,780.0,Well flowing
Kleimann #3 RE,2025-01-08,840,137,0,7065.0,1248.0,29.0,240.0,780.0,Well flowing
Kleimann #3 RE,2025-01-07,908,140,25,6225.0,1111.0,29.0,250.0,790.0,Well flowing
Kleimann #3 RE,2025-01-06,944,150,0,5317.0,971.0,4.0,250.0,790.0,Well flowing
Kleimann #3 RE,2025-01-05,865,166,2,4373.0,821.0,4.0,240.0,760.0,Compressor on
Kleimann #3 RE,2025-01-04,871,160,2,3508.0,655.0,2.0,240.0,760.0,Compressor on
Kleimann #3 RE,2025-01-03,864,167,0,2637.0,495.0,0.0,240.0,760.0,Compressor on
Kleimann #3 RE,2025-01-02,875,193,0,1773.0,328.0,0.0,250.0,780.0,Well flowing
Kleimann #3 RE,2025-01-01,898,135,0,898.0,135.0,0.0,250.0,780.0,Well flowing
Kleimann #3 RE,2024-12-31,906,203,0,24316.0,4255.0,74.0,250.0,780.0,Well flowing
Kleimann #3 RE,2024-12-30,933,174,13,23410.0,4052.0,74.0,250.0,780.0,Well flowing
Kleimann #3 RE,2024-12-29,915,174,0,22477.0,3878.0,61.0,250.0,780.0,Well flowing
Kleimann #3 RE,2024-12-28,967,178,0,21562.0,3704.0,61.0,250.0,780.0,Well flowing
Kleimann #3 RE,2024-12-27,939,182,0,20595.0,3526.0,61.0,250.0,780.0,Compressor on
Kleimann #3 RE,2024-12-26,954,180,0,19656.0,3344.0,61.0,250.0,780.0,Compressor on
Kleimann #3 RE,2024-12-25,884,186,0,18702.0,3164.0,61.0,250.0,780.0,Compressor on
Kleimann #3 RE,2024-12-24,985,180,0,17818.0,2978.0,61.0,250.0,780.0,Flowing
Kleimann #3 RE,2024-12-23,976,185,0,16833.0,2798.0,61.0,250.0,780.0,Well flowing
Kleimann #3 RE,2024-12-22,977,176,0,15857.0,2613.0,61.0,250.0,830.0,Well flowing
Kleimann #3 RE,2024-12-21,987,191,0,14880.0,2437.0,61.0,250.0,830.0,Well flowing
Kleimann #3 RE,2024-12-20,987,100,0,13893.0,2246.0,61.0,250.0,830.0,Flowing
Kleimann #3 RE,2024-12-19,876,215,0,12906.0,2146.0,61.0,250.0,830.0,Well flowing
Kleimann #3 RE,2024-12-18,757,107,0,12030.0,1931.0,61.0,250.0,830.0,Compressor was down it was put BOL
Kleimann #3 RE,2024-12-17,1021,188,0,11273.0,1824.0,61.0,250.0,830.0,Compressor on
Kleimann #3 RE,2024-12-16,1091,190,0,10252.0,1636.0,61.0,250.0,830.0,Compressor on
Kleimann #3 RE,2024-12-15,1002,192,0,9161.0,1446.0,61.0,250.0,830.0,Compressor on
Kleimann #3 RE,2024-12-14,964,179,0,8159.0,1254.0,61.0,250.0,830.0,Well flowing
Kleimann #3 RE,2024-12-13,923,310,5,7195.0,1075.0,61.0,250.0,830.0,Flowing injected 302
Kleimann #3 RE,2024-12-12,660,3,3,6272.0,765.0,56.0,250.0,830.0,Injected 467
Kleimann #3 RE,2024-12-11,651,274,0,5612.0,762.0,53.0,250.0,830.0,Flowing injected 243
Kleimann #3 RE,2024-12-10,205,0,0,4961.0,488.0,53.0,250.0,830.0,Well flowing
Kleimann #3 RE,2024-12-09,0,0,0,4756.0,488.0,53.0,250.0,830.0,Compressor BOL
Kleimann #3 RE,2024-12-08,11,0,0,4756.0,488.0,53.0,250.0,830.0,"Injection 0
Compressor was down mechanical problems"
Kleimann #3 RE,2024-12-07,241,0,3,4745.0,488.0,53.0,250.0,830.0,"Compressor was down put BOL 
Injection 271.3"
Kleimann #3 RE,2024-12-06,603,209,5,4504.0,488.0,50.0,250.0,830.0,Well flowing injected 132
Kleimann #3 RE,2024-12-05,529,0,0,3901.0,279.0,45.0,250.0,830.0,Well not flowing compressor is down Mike working on it  injected 336
Kleimann #3 RE,2024-12-04,627,26,0,3372.0,279.0,45.0,250.0,830.0,Flowing injected 468
Kleimann #3 RE,2024-12-03,797,49,10,2745.0,253.0,45.0,250.0,830.0,Flowing injected 469
Kleimann #3 RE,2024-12-02,1031,72,22,1948.0,204.0,35.0,250.0,830.0,Flowing injected 458
Kleimann #3 RE,2024-12-01,917,132,13,917.0,132.0,13.0,250.0,830.0,On injected 440
Kleimann #3 RE,2024-11-30,883,91,8,26072.0,6532.0,1808.0,250.0,830.0,"Injection 446.9
Compressor on"
Kleimann #3 RE,2024-11-29,897,241,0,25189.0,6441.0,1800.0,250.0,830.0,"Injection 423.0
Compressor on"
Kleimann #3 RE,2024-11-28,834,224,0,24292.0,6200.0,1800.0,250.0,830.0,"Injection 413.2
Compressor on"
Kleimann #3 RE,2024-11-27,944,246,0,23458.0,5976.0,1800.0,250.0,830.0,Flowing injected 418
Kleimann #3 RE,2024-11-26,895,220,0,22514.0,5730.0,1800.0,250.0,830.0,Flowing injected 393
Kleimann #3 RE,2024-11-25,904,230,0,21619.0,5510.0,1800.0,250.0,830.0,Well flowing injected 403
Kleimann #3 RE,2024-11-24,901,251,0,20715.0,5280.0,1800.0,250.0,830.0,Well flowing injected 409
Kleimann #3 RE,2024-11-23,1019,250,3,19814.0,5029.0,1800.0,250.0,860.0,Well flowing injected 413
Kleimann #3 RE,2024-11-22,691,251,10,18795.0,4779.0,1797.0,250.0,860.0,Well flowing injected 407
Kleimann #3 RE,2024-11-21,961,262,10,18104.0,4528.0,1787.0,250.0,860.0,"Injection 416
Compressor on"
Kleimann #3 RE,2024-11-20,956,241,122,17143.0,4266.0,1777.0,250.0,860.0,"Injection 424.9
Compressor on"
Kleimann #3 RE,2024-11-19,917,250,89,16187.0,4025.0,1655.0,250.0,860.0,"Injection 414.3
Compressor on"
Kleimann #3 RE,2024-11-18,677,237,103,15270.0,3775.0,1566.0,250.0,890.0,Well flowing injected 406
Kleimann #3 RE,2024-11-17,752,232,105,14593.0,3538.0,1463.0,250.0,890.0,Well flowing injected 399
Kleimann #3 RE,2024-11-16,895,229,80,13841.0,3306.0,1358.0,250.0,890.0,Well flowing injected 405
Kleimann #3 RE,2024-11-15,812,229,80,12946.0,3077.0,1278.0,250.0,890.0,Well flowing injected 406
Kleimann #3 RE,2024-11-14,812,225,143,12134.0,2848.0,1198.0,250.0,890.0,Flowing injected 412
Kleimann #3 RE,2024-11-13,882,216,75,11322.0,2623.0,1055.0,250.0,890.0,Well flowing injected 409
Kleimann #3 RE,2024-11-12,1009,227,85,10440.0,2407.0,980.0,250.0,890.0,"Injection 405.05
Compressor on"
Kleimann #3 RE,2024-11-11,940,261,53,9431.0,2180.0,895.0,240.0,860.0,"Injection 409.0
Compressor on"
Kleimann #3 RE,2024-11-10,972,256,57,8491.0,1919.0,842.0,250.0,900.0,"Injection 407.5 
Compressor on"
Kleimann #3 RE,2024-11-09,936,218,53,7519.0,1663.0,785.0,250.0,900.0,Well flowing injected 382
Kleimann #3 RE,2024-11-08,1174,195,40,6583.0,1445.0,732.0,250.0,900.0,Well flowing injected gas 306  330 oil bbs transfer from frack tk to production tks by frank.
Kleimann #3 RE,2024-11-07,345,246,60,5409.0,1250.0,692.0,190.0,880.0,Well flowing
Kleimann #3 RE,2024-11-06,660,117,90,5064.0,1004.0,632.0,190.0,880.0,Injected gas 335
Kleimann #3 RE,2024-11-05,948,182,105,4404.0,887.0,542.0,240.0,880.0,Well flowing injected gas 331
Kleimann #3 RE,2024-11-04,886,172,123,3456.0,705.0,437.0,240.0,880.0,"Injection 315.4
Compressor on"
Kleimann #3 RE,2024-11-03,879,2,63,2570.0,533.0,314.0,250.0,880.0,"Injection 325.7
Compressor on"
Kleimann #3 RE,2024-11-02,770,60,88,1691.0,531.0,251.0,250.0,880.0,"Compressor on 
Injection 266.6"
Kleimann #3 RE,2024-11-01,921,471,163,921.0,471.0,163.0,250.0,880.0,Compressor on
Kleimann #3 RE,2024-10-31,920,391,40,22478.0,3126.0,4257.0,250.0,900.0, 
Kleimann #3 RE,2024-10-30,974,72,104,21558.0,2735.0,4217.0,250.0,900.0,Well flowing gas injected 368
Kleimann #3 RE,2024-10-29,1014,498,177,20584.0,2663.0,4113.0,250.0,900.0, 
Kleimann #3 RE,2024-10-28,968,128,67,19570.0,2165.0,3936.0,250.0,900.0,Well flowing injected gas 365
Kleimann #3 RE,2024-10-27,1046,102,135,18602.0,2037.0,3869.0,280.0,900.0,Injected 381mcfs. Missing one oil ticket Travis will fix
Kleimann #3 RE,2024-10-26,1020,102,262,17556.0,1935.0,3734.0,280.0,900.0,Well flowing gas injected 393 mcfs
Kleimann #3 RE,2024-10-25,1027,63,318,16536.0,1833.0,3472.0,280.0,900.0,Well flowing gas injected. 387 mcfs
Kleimann #3 RE,2024-10-24,1057,0,217,15509.0,1770.0,3154.0,280.0,900.0,"Tubing 270
Casing 900"
Kleimann #3 RE,2024-10-23,937,0,210,14452.0,1770.0,2937.0,280.0,900.0,Injection gas 379
Kleimann #3 RE,2024-10-22,996,0,175,13515.0,1770.0,2727.0,280.0,900.0,Well flowing gas injected 350 mcfs
Kleimann #3 RE,2024-10-21,935,0,217,12519.0,1770.0,2552.0,280.0,900.0,Well flowing injected 280 mcfs
Kleimann #3 RE,2024-10-20,709,0,245,11584.0,1770.0,2335.0,280.0,900.0,Well  flowing injected 164  mcfs
Kleimann #3 RE,2024-10-19,498,0,229,10875.0,1770.0,2090.0,280.0,900.0,Comp dn on arrival BOL 11:30am. Injected 367 mcfs
Kleimann #3 RE,2024-10-18,766,13,396,10377.0,1770.0,1861.0,280.0,900.0,Well flowing injected gas 434 mcfs
Kleimann #3 RE,2024-10-17,961,433,294,9611.0,1757.0,1465.0,280.0,900.0,Well flowing
Kleimann #3 RE,2024-10-16,873,69,12,8650.0,1324.0,1171.0,280.0,0.0, 
Kleimann #3 RE,2024-10-15,65,3,15,7777.0,1255.0,1159.0,280.0,0.0,R/U gas lift
Kleimann #3 RE,2024-10-14,336,2,43,7712.0,1252.0,1144.0,180.0,0.0, 
Kleimann #3 RE,2024-10-13,386,106,47,7376.0,1250.0,1101.0,280.0,0.0,Well flowing
Kleimann #3 RE,2024-10-12,383,124,53,6990.0,1144.0,1054.0,280.0,0.0,Well flowing
Kleimann #3 RE,2024-10-11,398,125,32,6607.0,1020.0,1001.0,280.0,0.0,Well flowing
Kleimann #3 RE,2024-10-10,424,142,112,6209.0,895.0,969.0,280.0,0.0,Well flowing
Kleimann #3 RE,2024-10-09,460,152,45,5785.0,753.0,857.0,280.0,0.0,Unit on
Kleimann #3 RE,2024-10-08,471,147,13,5325.0,601.0,812.0,280.0,0.0,Unit on
Kleimann #3 RE,2024-10-07,289,71,12,4854.0,454.0,799.0,250.0,0.0, 
Kleimann #3 RE,2024-10-06,381,98,40,4565.0,383.0,787.0,250.0,0.0, 
Kleimann #3 RE,2024-10-05,454,127,38,4184.0,285.0,747.0,250.0,0.0, 
Kleimann #3 RE,2024-10-04,859,0,189,3730.0,158.0,709.0,250.0,0.0,Well flowing
Kleimann #3 RE,2024-10-03,1076,0,130,2871.0,158.0,520.0,250.0,0.0,Well flowing
Kleimann #3 RE,2024-10-02,711,158,390,1795.0,158.0,390.0,250.0,0.0,Well flowing
Kleimann #3 RE,2024-10-01,1084,0,0,1084.0,0.0,0.0,250.0,0.0,Well flowing
Kleimann #3 RE,2024-09-30,935,0,0,9769.0,0.0,0.0,0.0,0.0,Well flowing
Kleimann #3 RE,2024-09-29,731,0,0,8834.0,0.0,0.0,0.0,0.0,Well flowing flow back crew on site
Kleimann #3 RE,2024-09-28,0,0,0,8103.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-27,0,0,0,8103.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-26,0,0,0,8103.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-25,0,0,0,8103.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-24,0,0,0,8103.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-23,0,0,0,8103.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-22,0,0,0,8103.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-21,530,0,0,8103.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-20,567,0,0,7573.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-19,0,0,0,7006.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-18,0,0,0,7006.0,0.0,0.0,0.0,0.0, 
