Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),MTD Oil,MTD Gas,MTD Water,TP,CP,Comments
Kleimann #3 RE,2024-10-16,873,69,12,8650.0,1324.0,1171.0,280.0,0.0, 
Kleimann #3 RE,2024-10-15,65,3,15,7777.0,1255.0,1159.0,280.0,0.0,R/U gas lift
Kleimann #3 RE,2024-10-14,336,2,43,7712.0,1252.0,1144.0,180.0,0.0, 
Kleimann #3 RE,2024-10-13,386,106,47,7376.0,1250.0,1101.0,280.0,0.0,Well flowing
Kleimann #3 RE,2024-10-12,383,124,53,6990.0,1144.0,1054.0,280.0,0.0,Well flowing
Kleimann #3 RE,2024-10-11,398,125,32,6607.0,1020.0,1001.0,280.0,0.0,Well flowing
Kleimann #3 RE,2024-10-10,424,142,112,6209.0,895.0,969.0,280.0,0.0,Well flowing
Kleimann #3 RE,2024-10-09,460,152,45,5785.0,753.0,857.0,280.0,0.0,Unit on
Kleimann #3 RE,2024-10-08,471,147,13,5325.0,601.0,812.0,280.0,0.0,Unit on
Kleimann #3 RE,2024-10-07,289,71,12,4854.0,454.0,799.0,250.0,0.0, 
Kleimann #3 RE,2024-10-06,381,98,40,4565.0,383.0,787.0,250.0,0.0, 
Kleimann #3 RE,2024-10-05,454,127,38,4184.0,285.0,747.0,250.0,0.0, 
Kleimann #3 RE,2024-10-04,859,0,189,3730.0,158.0,709.0,250.0,0.0,Well flowing
Kleimann #3 RE,2024-10-03,1076,0,130,2871.0,158.0,520.0,250.0,0.0,Well flowing
Kleimann #3 RE,2024-10-02,711,158,390,1795.0,158.0,390.0,250.0,0.0,Well flowing
Kleimann #3 RE,2024-10-01,1084,0,0,1084.0,0.0,0.0,250.0,0.0,Well flowing
Kleimann #3 RE,2024-09-30,935,0,0,9769.0,0.0,0.0,0.0,0.0,Well flowing
Kleimann #3 RE,2024-09-29,731,0,0,8834.0,0.0,0.0,0.0,0.0,Well flowing flow back crew on site
Kleimann #3 RE,2024-09-28,0,0,0,8103.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-27,0,0,0,8103.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-26,0,0,0,8103.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-25,0,0,0,8103.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-24,0,0,0,8103.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-23,0,0,0,8103.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-22,0,0,0,8103.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-21,530,0,0,8103.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-20,567,0,0,7573.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-19,0,0,0,7006.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-18,0,0,0,7006.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-17,0,0,0,7006.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-16,0,0,0,7006.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-15,0,0,0,7006.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-14,0,0,0,7006.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-13,0,0,0,7006.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-12,377,0,0,7006.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-11,170,0,0,6629.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-10,1249,0,0,6459.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-09,1293,0,0,5210.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-08,526,0,0,3917.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-07,0,0,0,3391.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-06,911,0,0,3391.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-05,360,0,0,2480.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-04,0,0,0,2120.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-03,173,0,0,2120.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-02,707,0,0,1947.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-01,1240,0,0,1240.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-08-31,0,0,0,25355.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-08-30,904,0,0,25355.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-08-29,2176,0,0,24451.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-08-28,0,0,0,22275.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-08-27,0,0,0,22275.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-08-26,2193,0,0,22275.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-08-25,2199,0,0,20082.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-08-24,1446,0,0,17883.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-08-23,530,0,0,16437.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-08-22,0,0,0,15907.0,0.0,0.0,80.0,40.0, 
Kleimann #3 RE,2024-08-22,0,0,0,15907.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-08-21,0,0,0,15907.0,0.0,0.0,80.0,40.0, 
Kleimann #3 RE,2024-08-21,0,0,0,15907.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-08-20,708,0,0,15199.0,0.0,0.0,80.0,40.0, 
Kleimann #3 RE,2024-08-20,708,0,0,15907.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-08-19,0,0,0,14491.0,0.0,0.0,80.0,40.0, 
Kleimann #3 RE,2024-08-19,0,0,0,14491.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-08-18,558,0,0,13933.0,0.0,0.0,80.0,40.0, 
Kleimann #3 RE,2024-08-18,558,0,0,14491.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-08-17,0,0,0,13375.0,0.0,0.0,80.0,40.0, 
Kleimann #3 RE,2024-08-17,0,0,0,13375.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-08-16,885,0,0,13375.0,0.0,0.0,80.0,40.0, 
Kleimann #3 RE,2024-08-15,2370,0,0,12490.0,0.0,0.0,80.0,40.0, 
Kleimann #3 RE,2024-08-14,2555,0,0,10120.0,0.0,0.0,80.0,40.0, 
Kleimann #3 RE,2024-08-13,513,0,0,7565.0,0.0,0.0,80.0,40.0, 
Kleimann #3 RE,2024-08-12,2169,0,0,7052.0,0.0,0.0,80.0,40.0, 
Kleimann #3 RE,2024-08-11,1045,0,0,4883.0,0.0,0.0,80.0,40.0, 
Kleimann #3 RE,2024-08-10,353,0,0,3838.0,0.0,0.0,80.0,40.0,Well flowing
Kleimann #3 RE,2024-08-09,2557,0,0,3485.0,0.0,0.0,80.0,40.0, 
Kleimann #3 RE,2024-08-08,928,0,0,928.0,0.0,0.0,80.0,40.0,Well flowing
Total, ,43774,1324,1171, , , , , , 
