Well Name,Oil (BBLS),Gas (MCF),Water (BBLS),MTD Oil,MTD Gas,MTD Water,TP,CP,Comments
Buchanan Unit #1,0,0,0,9.0,0.0,9.0,0.0,10.0,OFF
Caldwell #1,2,0,50,86.0,0.0,1174.0,200.0,20.0,
Carroll Unit #1,9,41,26,281.0,1050.0,1282.0,300.0,60.0,
Eva #1,18,0,10,242.0,0.0,244.0,0.0,0.0,
Feather Crest Farms #1,18,53,20,384.0,695.0,358.0,300.0,60.0,
Herbich #1H,7,22,52,124.0,455.0,1157.0,200.0,60.0,
Jones #1,2,0,2,24.0,0.0,40.0,200.0,30.0,SHUT OFF
Kadav #1,9,0,10,185.0,0.0,391.0,0.0,0.0,
Knotts-Yeager Unit #1,5,19,90,170.0,380.0,1509.0,250.0,60.0,
Leon T-Bar-X Unit 1,2,0,10,50.0,0.0,262.0,0.0,0.0,
McDuffie Unit #1,0,0,0,28.0,89.0,20.0,60.0,60.0,OFF
Mosley #1,14,20,10,242.0,504.0,228.0,300.0,60.0,
Murphey-Smith #1,11,14,60,228.0,528.0,1112.0,300.0,60.0,
Ortiz Unit #1,2,0,10,50.0,0.0,252.0,0.0,0.0,
Owen #1,14,50,10,217.0,926.0,148.0,100.0,0.0,
Peters #5,11,17,66,137.0,367.0,1484.0,300.0,60.0,
RB Clary #1,25,58,10,555.0,1457.0,364.0,300.0,60.0,
Sandifer Unit #1,7,0,13,214.0,0.0,472.0,0.0,0.0,
Smith Georgette #1,2,0,8,50.0,0.0,258.0,0.0,0.0,
Soell #1,0,0,0,0.0,0.0,0.0,0.0,0.0,
Spiller T-Bar-X #1,0,0,0,0.0,0.0,0.0,0.0,0.0,
Timothy #1,2,0,6,50.0,0.0,264.0,0.0,0.0,
Urso #1,0,0,0,0.0,0.0,5.0,80.0,0.0,SI
Warren #1H,14,54,51,552.0,1139.0,932.0,300.0,60.0,
Wilson #1,7,14,13,203.0,378.0,390.0,300.0,60.0,
Total,181,362,527, , , , , , 
