Well Name,Oil (BBLS),Gas (MCF),Water (BBLS),MTD Oil,MTD Gas,MTD Water,TP,Comments
AB Pad 10 State #1,3,0,17,46.0,0.0,543.0,50.0,
Abenaki 10 State #1,6,0,22,86.0,130.0,526.0,50.0,
Abenaki 10 State #2,6,16,0,125.0,419.0,20.0,0.0,
Abenaki 10 State #3,11,0,0,182.0,582.0,14.0,0.0,
Beams 15 State #1,0,1,193,42.0,20.0,3952.0,50.0,
Beams 15 State #2,10,19,0,123.0,391.0,30.0,0.0,
Beams 15 State #4,0,0,0,79.0,78.0,69.0,0.0,
Beams 15 State #5,6,0,36,139.0,236.0,1010.0,50.0,
Bougainvillea 33 State #1,0,0,0,3.0,321.0,0.0,800.0,
CW 14 State #1,0,0,0,53.0,0.0,52.0,0.0,
Cameron 22 State #1,17,0,36,195.0,264.0,670.0,50.0,14236400
Hawkeye 30 State #1,3,0,10,72.0,0.0,343.0,50.0,
Henry 24 #1,7,0,20,137.0,0.0,571.0,0.0,
Henry 24 #2,7,0,22,87.0,0.0,362.0,0.0,
Ivy 4 State ,3,0,0,58.0,0.0,3.0,0.0,8 MCF
Martin 11 State #1,17,5,0,411.0,739.0,12.0,50.0,
Paddy 13 State #1,3,0,52,72.0,0.0,1424.0,0.0,
Paddy 15 State #1,4,0,48,179.0,11.0,1085.0,0.0,
Paddy 15 State #2,9,1,0,200.0,24.0,0.0,0.0,
Paddy 15 State #3,3,0,9,75.0,0.0,587.0,0.0,
Paddy 18 State #1,3,1,53,51.0,62.0,1349.0,0.0,
Paddy 18 State #2,3,3,22,105.0,147.0,845.0,50.0,14236395
Paddy 18 State #3,6,1,31,87.0,121.0,1106.0,0.0,
Paddy 19 State #1,0,0,0,6.0,0.0,342.0,0.0,
Paddy 19 State #2,3,0,29,85.0,138.0,700.0,0.0,
Paddy 19 State #3,3,0,100,98.0,18.0,2438.0,0.0,
Paddy 19 State #5,3,0,33,69.0,0.0,826.0,0.0,
Paddy 20 State #1,6,0,0,85.0,0.0,63.0,50.0,
Paddy 23 State #1,0,0,0,25.0,0.0,244.0,0.0,
Raider 9 St #1,28,109,0,676.0,3141.0,9.0,0.0,14236393
Raider 9 St #3,31,61,0,507.0,1461.0,36.0,0.0,14236393
Tech 16 State #1,11,1,31,79.0,26.0,482.0,50.0,
Total,212,218,764, , , , , 
