Well Name,Oil (BBLS),Gas (MCF),Water (BBLS),MTD Oil,MTD Gas,MTD Water,TP,CP,Comments
Aaron #1,23,124,122,325.0,3529.0,2287.0,100.0,50.0,Unit on
Aniken #1,0,0,0,22.0,0.0,41.0,40.0,20.0,Unit on
Annpick #1,0,0,0,105.0,0.0,47.0,80.0,20.0,Unit on
Balfour #1,30,8,37,594.0,406.0,347.0,69.0,40.0,Unit on
Barrier #1,0,48,0,176.0,1267.0,90.0,20.0,10.0,Turned on unit per schedule
Beeler #16 RE,146,15,0,1381.0,646.0,1363.0,25.0,0.0,
Beeler #17,8,80,21,226.0,1743.0,187.0,50.0,35.0,
Beeler Ranch #1,25,186,144,178.0,2070.0,2227.0,100.0,45.0,Unit on
Bermuda #1,0,0,0,75.0,0.0,22.0,5.0,20.0,Off
Big Sonny #1,3,33,5,57.0,669.0,118.0,80.0,30.0,Turned off per schedule
Blackmon #1,0,24,0,553.0,1498.0,151.0,80.0,15.0,Unit on
Blas Reyes #1,0,14,0,0.0,822.0,0.0,0.0,0.0,"Gas jack down on low suction, left off
A0
F51"
Bond #1,0,0,0,43.0,0.0,0.0,40.0,40.0,Off
Bruce Weaver #1,7,36,10,257.0,793.0,292.0,125.0,30.0,
Bruce Weaver #2 RE,109,26,33,875.0,967.0,981.0,50.0,40.0,
Burns Ranch #2,27,485,20,976.0,12979.0,353.0,80.0,70.0,Online
CMWW #1,42,187,5,495.0,2126.0,99.0,25.0,25.0,Online
CMWW #2,77,560,10,3143.0,15493.0,543.0,120.0,125.0,Unit & gas jack online
CR #101,7,8,0,155.0,962.0,10.0,10.0,20.0,"Rig on location, unit off"
CR #201,0,79,0,346.0,1454.0,10.0,25.0,30.0,"Unit on per schedule 
Comp on"
CR #301,22,366,0,452.0,9708.0,23.0,30.0,70.0,Unit on
CR #302,16,0,0,421.0,0.0,0.0,40.0,30.0,Unit on
CR #401,0,0,0,97.0,0.0,0.0,0.0,0.0,Off
CR #501,0,0,0,112.0,0.0,3.0,20.0,20.0,Off
CR #939,27,0,0,789.0,0.0,0.0,40.0,0.0,Unit on
CT #1,2,295,2,401.0,8788.0,142.0,20.0,28.0,Un& gas jack online
Cannan #1,73,0,0,1939.0,0.0,0.0,280.0,0.0,Unit on
Carolpick #1,0,70,0,342.0,1191.0,80.0,100.0,40.0,Off per schedule
Carolyn #1,23,40,7,513.0,935.0,512.0,50.0,30.0,
Cenizo #1,13,0,4,159.0,0.0,15.0,100.0,15.0,Unit on
Chad #1,3,0,30,50.0,202.0,1233.0,45.0,15.0,
Charles B #1,0,57,0,132.0,1119.0,0.0,20.0,20.0,Turned on per schedule
Circle T #1,11,0,0,224.0,0.0,53.0,25.0,20.0,Online
Cross S #1,7,0,0,84.0,0.0,20.0,80.0,20.0,Unit off per schedule
Dale #1,5,25,0,254.0,939.0,82.0,50.0,5.0,
Dillard #1,0,86,0,28.0,2076.0,2.0,80.0,80.0,Gas jack online
Dixondale #1,17,253,13,1755.0,6059.0,76.0,80.0,50.0,Unit on
Drinkard #1,37,122,8,1483.0,3572.0,1117.0,-2.0,4.0,Unit on
Dunkle #2,5,0,3,54.0,0.0,22.0,60.0,20.0,Unit on
Dunlap #1,0,0,0,120.0,0.0,20.0,40.0,20.0,Off
Dyess #1,3,0,0,41.0,0.0,18.0,50.0,20.0,
Eileen #1,0,0,0,226.0,105.0,233.0,40.0,50.0,Unit off per schedule
Evergreen #1,0,0,0,155.0,0.0,0.0,10.0,25.0,Off
Fatheree #1,13,2,2,614.0,1311.0,19.0,50.0,20.0,Compressor was down put bol
Flower #1,13,0,32,111.0,0.0,285.0,100.0,20.0,Unit off per schedule
Gail #1,33,52,25,364.0,579.0,366.0,50.0,20.0,
Gil #1,2,0,0,53.0,0.0,0.0,5.0,20.0,Unit off per schedule
Grissom #1,15,0,0,339.0,0.0,18.0,270.0,30.0,Unit off per schedule
J Beeler #1,35,102,223,587.0,1875.0,2456.0,120.0,45.0,
JIC #1,52,106,33,579.0,2389.0,407.0,80.0,35.0,Unit on
JIC Buda #1,12,72,7,187.0,1935.0,22.0,80.0,40.0,Unit off per schedule
JJ #1,5,97,190,408.0,2311.0,3821.0,125.0,46.0,
Jessica #1,25,46,6,409.0,1030.0,76.0,100.0,30.0,
Joseph #1,2,0,3,29.0,0.0,127.0,60.0,25.0,Unit on
Jred #1,7,0,0,179.0,0.0,71.0,40.0,20.0,Unit on
Kay #1,42,0,2,654.0,128.0,85.0,80.0,25.0,Unit off per schedule
Kiley #1,20,107,20,685.0,2591.0,772.0,70.0,40.0,
Kleimann #1,9,0,0,1060.0,104.0,103.0,100.0,25.0,Unit on
Kleimann #3 RE,550,84,0,15140.0,2501.0,18.0,229.0,700.0,Compressor on
LT #1,0,0,0,163.0,0.0,5.0,60.0,20.0,Unit on
La Rosita #1 RE,5,9,0,247.0,191.0,62.0,40.0,20.0,Online
Lackey Five #1,5,0,3,251.0,0.0,26.0,60.0,20.0,Unit on
Lander #1,25,115,99,606.0,2381.0,2614.0,170.0,80.0,
Leary Trust #1,0,0,0,149.0,0.0,140.0,80.0,20.0,Unit on
Little 179 #1,130,48,0,1078.0,632.0,78.0,55.0,55.0,
Lochte #1,16,61,0,320.0,1163.0,15.0,80.0,35.0,Unit on comp on
MDB #1,18,0,22,420.0,215.0,84.0,80.0,20.0,Unit off per schedule
Marguerite #1,3,0,20,149.0,0.0,45.0,50.0,30.0,
Marpick #1,0,0,0,141.0,0.0,91.0,70.0,20.0,
Marrs #1,20,3,2,712.0,1792.0,478.0,100.0,31.0,Need to pull bottoms in production tanks. Compressor was down put bol
Molak #1,0,0,0,58.0,0.0,14.0,20.0,20.0,Off
Moreland #1,0,0,0,0.0,16352.0,0.0,100.0,150.0,Off
PC #1,0,0,0,243.0,639.0,224.0,100.0,50.0,Off per schedule
Parkway #1 RE,23,65,20,1216.0,1766.0,678.0,60.0,40.0,Unit on
Pecan Grove #1,0,0,0,0.0,0.0,0.0,50.0,20.0,
Pfeiffer #1,12,0,0,154.0,0.0,12.0,60.0,20.0,Unit off per schedule
Pfeiffer #2,0,0,0,0.0,0.0,0.0,50.0,5.0,
Pfeiffer-Byrd #1,0,74,0,824.0,76.0,70.0,200.0,50.0,Unit on
Pickens #1,37,0,7,258.0,0.0,152.0,300.0,20.0,
Pickens Weaver #1,8,0,45,113.0,0.0,900.0,80.0,10.0,
