Well Name,Oil (BBLS),Gas (MCF),Water (BBLS),MTD Oil,MTD Gas,MTD Water,TP,Comments
Beck Unit #1,7,0,0,118.0,0.0,0.0,0.0,
Blair TXL #1,33,95,144,451.0,1461.0,2164.0,800.0,
Blair TXL #2,8,15,0,124.0,229.0,0.0,50.0,
Blair TXL #3,3,0,0,17.0,0.0,0.0,0.0,
Blair Txl #6,0,0,0,19.0,0.0,0.0,50.0,
Brothers Horizon,8,0,1029,295.0,0.0,23228.0,0.0,
Brothers Horizon Unit 1,3,0,0,230.0,0.0,0.0,50.0,"Not pumping, shut down"
Brumley,29,0,182,459.0,0.0,3227.0,0.0,
Bullard,28,0,494,632.0,0.0,7523.0,0.0,
Davis 3,14,0,58,137.0,0.0,1287.0,0.0,
EE 12 #1,0,0,0,27.0,289.0,190.0,0.0,
Edwards 12 #1,0,0,0,6.0,30.0,15.0,100.0,
Everett Unit #1,3,0,239,101.0,0.0,5204.0,80.0,
Kim,8,0,218,355.0,0.0,6471.0,0.0,Hot oiled #2
Koonsman 677,7,0,28,108.0,0.0,737.0,0.0,
LLB 15 #1,6,0,94,84.0,0.0,2215.0,60.0,
Muleshoe Ranch #1,8,5,263,142.0,78.0,5642.0,60.0,
North JUWF,106,3,761,2120.0,79.0,17169.0,0.0,
Slaughter B,0,0,0,240.0,0.0,0.0,0.0,Made 11.16
South JUWF,86,0,861,1989.0,204.0,21068.0,0.0,
Total,357,118,4371, , , , , 
