Well Name,Oil (BBLS),Gas (MCF),Water (BBLS),MTD Oil,MTD Gas,MTD Water,TP,CP,Comments
Beal #1,14,37,8,334.0,904.0,332.0,300.0,60.0,
Benge Unit #1H,9,16,2,282.0,423.0,100.0,200.0,60.0,
Bradshaw #1,9,39,0,154.0,914.0,236.0,300.0,60.0,
CK #1,11,13,2,327.0,388.0,131.0,200.0,60.0,
Coffman #1H,25,30,7,577.0,966.0,252.0,300.0,60.0,
Della #1,16,39,25,396.0,826.0,712.0,300.0,60.0,
Drake #1,8,20,2,208.0,445.0,44.0,300.0,60.0,
Drake #2,18,110,5,464.0,1851.0,135.0,300.0,60.0,
Flora #1,14,197,30,534.0,5340.0,927.0,300.0,60.0,
Floyd #1,11,20,3,271.0,451.0,81.0,60.0,60.0,
Harrison #1H,5,24,2,99.0,629.0,67.0,300.0,60.0,
Harrison #2H,16,99,10,307.0,2497.0,246.0,300.0,60.0,
Hayes #1,16,84,25,420.0,1839.0,828.0,300.0,60.0,
Hayes #2,20,70,30,457.0,1509.0,679.0,300.0,60.0,
Herbich #2H,14,12,2,333.0,296.0,70.0,300.0,40.0,
Isbell #1,0,27,15,254.0,667.0,405.0,300.0,60.0,H.O.
Jam #1,14,24,3,358.0,588.0,72.0,300.0,60.0,
Joyce #1,2,20,15,222.0,378.0,429.0,300.0,60.0,DUMP WAS PLUGGED
Kagg #1,5,30,8,180.0,1162.0,232.0,300.0,60.0,
Kagg #2,7,47,8,191.0,1031.0,262.0,300.0,60.0,
Kennedy #1,18,15,3,444.0,324.0,103.0,300.0,60.0,
MT Unit #1H,27,19,10,418.0,484.0,260.0,300.0,60.0,
Myrtle #1,11,7,12,144.0,152.0,167.0,300.0,60.0,
Nevill #1,20,71,28,237.0,1153.0,220.0,300.0,60.0,
Peters #6,14,47,22,335.0,1109.0,557.0,300.0,80.0,
Peters #7,16,40,30,340.0,945.0,570.0,300.0,60.0,
Post Oak #1,9,215,20,281.0,4705.0,491.0,300.0,60.0,
Post Oak #2,18,464,25,402.0,9874.0,648.0,300.0,60.0,
RA #1,3,2,5,109.0,50.0,130.0,250.0,60.0,
Ruen #1,14,69,5,347.0,1712.0,259.0,300.0,60.0,
Ruen #2,11,91,20,271.0,1834.0,643.0,300.0,60.0,
Ruen #3X,7,48,17,164.0,843.0,487.0,300.0,60.0,
Sutton #1,7,118,15,151.0,2946.0,474.0,300.0,60.0,
Sutton #2,7,182,40,214.0,4253.0,658.0,300.0,60.0,
Sutton #3,0,0,2,9.0,36.0,6.0,60.0,60.0,
WS #1,14,71,12,270.0,1758.0,323.0,300.0,60.0,
Watson-Buck #1H,2,5,2,63.0,169.0,109.0,60.0,60.0,DN; RESTARTED
Webb #1,5,86,7,114.0,1844.0,198.0,300.0,60.0,
White-Springer #1,14,20,3,261.0,468.0,129.0,300.0,60.0,
Wiese #1H,7,15,32,330.0,810.0,150.0,300.0,60.0,H.O. YESTERDAY
William #1,14,98,5,306.0,1269.0,138.0,300.0,60.0,
Willie #1,11,29,12,297.0,728.0,365.0,300.0,60.0,
Total,483,2670,529, , , , , , 
