Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),MTD Oil,MTD Gas,MTD Water,TP,CP,Comments
Kleimann #3 RE,2024-12-22,977,176,0,15857.0,5792.0,61.0,250.0,830.0,Well flowing
Kleimann #3 RE,2024-12-21,987,191,0,14880.0,5616.0,61.0,250.0,830.0,Well flowing
Kleimann #3 RE,2024-12-20,987,100,0,13893.0,5425.0,61.0,250.0,830.0,Flowing
Kleimann #3 RE,2024-12-19,876,215,0,12906.0,5325.0,61.0,250.0,830.0,Well flowing
Kleimann #3 RE,2024-12-18,757,107,0,12030.0,5110.0,61.0,250.0,830.0,Compressor was down it was put BOL
Kleimann #3 RE,2024-12-17,1021,188,0,11273.0,5003.0,61.0,250.0,830.0,Compressor on
Kleimann #3 RE,2024-12-16,1091,190,0,10252.0,4815.0,61.0,250.0,830.0,Compressor on
Kleimann #3 RE,2024-12-15,1002,192,0,9161.0,4625.0,61.0,250.0,830.0,Compressor on
Kleimann #3 RE,2024-12-14,964,179,0,8159.0,4433.0,61.0,250.0,830.0,Well flowing
Kleimann #3 RE,2024-12-13,923,310,5,7195.0,4254.0,61.0,250.0,830.0,Flowing injected 302
Kleimann #3 RE,2024-12-12,660,470,3,6272.0,3944.0,56.0,250.0,830.0,Injected 467
Kleimann #3 RE,2024-12-11,651,517,0,5612.0,3474.0,53.0,250.0,830.0,Flowing injected 243
Kleimann #3 RE,2024-12-10,205,0,0,4961.0,2957.0,53.0,250.0,830.0,Well flowing
Kleimann #3 RE,2024-12-09,0,0,0,4756.0,2957.0,53.0,250.0,830.0,Compressor BOL
Kleimann #3 RE,2024-12-08,11,0,0,4756.0,2957.0,53.0,250.0,830.0,"Injection 0
Compressor was down mechanical problems"
Kleimann #3 RE,2024-12-07,241,237,3,4745.0,2957.0,53.0,250.0,830.0,"Compressor was down put BOL 
Injection 271.3"
Kleimann #3 RE,2024-12-06,603,341,5,4504.0,2720.0,50.0,250.0,830.0,Well flowing injected 132
Kleimann #3 RE,2024-12-05,529,265,0,3901.0,2379.0,45.0,250.0,830.0,Well not flowing compressor is down Mike working on it  injected 336
Kleimann #3 RE,2024-12-04,627,494,0,3372.0,2114.0,45.0,250.0,830.0,Flowing injected 468
Kleimann #3 RE,2024-12-03,797,518,10,2745.0,1620.0,45.0,250.0,830.0,Flowing injected 469
Kleimann #3 RE,2024-12-02,1031,530,22,1948.0,1102.0,35.0,250.0,830.0,Flowing injected 458
Kleimann #3 RE,2024-12-01,917,572,13,917.0,572.0,13.0,250.0,830.0,On injected 440
Kleimann #3 RE,2024-11-30,883,535,8,25171.0,9421.0,1808.0,250.0,830.0,"Injection 446.9
Compressor on"
Kleimann #3 RE,2024-11-29,897,664,0,24288.0,8886.0,1800.0,250.0,830.0,"Injection 423.0
Compressor on"
Kleimann #3 RE,2024-11-28,834,637,0,23391.0,8222.0,1800.0,250.0,830.0,"Injection 413.2
Compressor on"
Kleimann #3 RE,2024-11-27,944,664,0,22557.0,7585.0,1800.0,250.0,830.0,Flowing injected 418
Kleimann #3 RE,2024-11-26,895,613,0,21613.0,6921.0,1800.0,250.0,830.0,Flowing injected 393
Kleimann #3 RE,2024-11-25,904,633,0,20718.0,6308.0,1800.0,250.0,830.0,Well flowing injected 403
Kleimann #3 RE,2024-11-23,1019,250,3,19814.0,5675.0,1800.0,250.0,860.0,Well flowing injected 413
Kleimann #3 RE,2024-11-22,691,251,10,18795.0,5425.0,1797.0,250.0,860.0,Well flowing injected 407
Kleimann #3 RE,2024-11-21,961,262,10,18104.0,5174.0,1787.0,250.0,860.0,"Injection 416
Compressor on"
Kleimann #3 RE,2024-11-20,956,241,122,17143.0,4912.0,1777.0,250.0,860.0,"Injection 424.9
Compressor on"
Kleimann #3 RE,2024-11-19,917,250,89,16187.0,4671.0,1655.0,250.0,860.0,"Injection 414.3
Compressor on"
Kleimann #3 RE,2024-11-18,677,237,103,15270.0,4421.0,1566.0,250.0,890.0,Well flowing injected 406
Kleimann #3 RE,2024-11-17,752,232,105,14593.0,4184.0,1463.0,250.0,890.0,Well flowing injected 399
Kleimann #3 RE,2024-11-16,895,229,80,13841.0,3952.0,1358.0,250.0,890.0,Well flowing injected 405
Kleimann #3 RE,2024-11-15,812,229,80,12946.0,3723.0,1278.0,250.0,890.0,Well flowing injected 406
Kleimann #3 RE,2024-11-14,812,225,143,12134.0,3494.0,1198.0,250.0,890.0,Flowing injected 412
Kleimann #3 RE,2024-11-13,882,216,75,11322.0,3269.0,1055.0,250.0,890.0,Well flowing injected 409
Kleimann #3 RE,2024-11-12,1009,227,85,10440.0,3053.0,980.0,250.0,890.0,"Injection 405.05
Compressor on"
Kleimann #3 RE,2024-11-11,940,261,53,9431.0,2826.0,895.0,240.0,860.0,"Injection 409.0
Compressor on"
Kleimann #3 RE,2024-11-10,972,256,57,8491.0,2565.0,842.0,250.0,900.0,"Injection 407.5 
Compressor on"
Kleimann #3 RE,2024-11-09,936,218,53,7519.0,2309.0,785.0,250.0,900.0,Well flowing injected 382
Kleimann #3 RE,2024-11-08,1174,195,40,6583.0,2091.0,732.0,250.0,900.0,Well flowing injected gas 306  330 oil bbs transfer from frack tk to production tks by frank.
Kleimann #3 RE,2024-11-07,345,246,60,5409.0,1896.0,692.0,190.0,880.0,Well flowing
Kleimann #3 RE,2024-11-06,660,117,90,5064.0,1650.0,632.0,190.0,880.0,Injected gas 335
Kleimann #3 RE,2024-11-05,948,513,105,4404.0,1533.0,542.0,240.0,880.0,Well flowing injected gas 331
Kleimann #3 RE,2024-11-04,886,487,123,3456.0,1020.0,437.0,240.0,880.0,"Injection 315.4
Compressor on"
Kleimann #3 RE,2024-11-03,879,2,63,2570.0,533.0,314.0,250.0,880.0,"Injection 325.7
Compressor on"
Kleimann #3 RE,2024-11-02,770,60,88,1691.0,531.0,251.0,250.0,880.0,"Compressor on 
Injection 266.6"
Kleimann #3 RE,2024-11-01,921,471,163,921.0,471.0,163.0,250.0,880.0,Compressor on
Kleimann #3 RE,2024-10-31,920,391,40,22478.0,3126.0,4257.0,250.0,900.0, 
Kleimann #3 RE,2024-10-30,974,72,104,21558.0,2735.0,4217.0,250.0,900.0,Well flowing gas injected 368
Kleimann #3 RE,2024-10-29,1014,498,177,20584.0,2663.0,4113.0,250.0,900.0, 
Kleimann #3 RE,2024-10-28,968,128,67,19570.0,2165.0,3936.0,250.0,900.0,Well flowing injected gas 365
Kleimann #3 RE,2024-10-27,1046,102,135,18602.0,2037.0,3869.0,280.0,900.0,Injected 381mcfs. Missing one oil ticket Travis will fix
Kleimann #3 RE,2024-10-26,1020,102,262,17556.0,1935.0,3734.0,280.0,900.0,Well flowing gas injected 393 mcfs
Kleimann #3 RE,2024-10-25,1027,63,318,16536.0,1833.0,3472.0,280.0,900.0,Well flowing gas injected. 387 mcfs
Kleimann #3 RE,2024-10-24,1057,0,217,15509.0,1770.0,3154.0,280.0,900.0,"Tubing 270
Casing 900"
Kleimann #3 RE,2024-10-23,937,0,210,14452.0,1770.0,2937.0,280.0,900.0,Injection gas 379
Kleimann #3 RE,2024-10-22,996,0,175,13515.0,1770.0,2727.0,280.0,900.0,Well flowing gas injected 350 mcfs
Kleimann #3 RE,2024-10-21,935,0,217,12519.0,1770.0,2552.0,280.0,900.0,Well flowing injected 280 mcfs
Kleimann #3 RE,2024-10-20,709,0,245,11584.0,1770.0,2335.0,280.0,900.0,Well  flowing injected 164  mcfs
Kleimann #3 RE,2024-10-19,498,0,229,10875.0,1770.0,2090.0,280.0,900.0,Comp dn on arrival BOL 11:30am. Injected 367 mcfs
Kleimann #3 RE,2024-10-18,766,13,396,10377.0,1770.0,1861.0,280.0,900.0,Well flowing injected gas 434 mcfs
Kleimann #3 RE,2024-10-17,961,433,294,9611.0,1757.0,1465.0,280.0,900.0,Well flowing
Kleimann #3 RE,2024-10-16,873,69,12,8650.0,1324.0,1171.0,280.0,0.0, 
Kleimann #3 RE,2024-10-15,65,3,15,7777.0,1255.0,1159.0,280.0,0.0,R/U gas lift
Kleimann #3 RE,2024-10-14,336,2,43,7712.0,1252.0,1144.0,180.0,0.0, 
Kleimann #3 RE,2024-10-13,386,106,47,7376.0,1250.0,1101.0,280.0,0.0,Well flowing
Kleimann #3 RE,2024-10-12,383,124,53,6990.0,1144.0,1054.0,280.0,0.0,Well flowing
Kleimann #3 RE,2024-10-11,398,125,32,6607.0,1020.0,1001.0,280.0,0.0,Well flowing
Kleimann #3 RE,2024-10-10,424,142,112,6209.0,895.0,969.0,280.0,0.0,Well flowing
Kleimann #3 RE,2024-10-09,460,152,45,5785.0,753.0,857.0,280.0,0.0,Unit on
Kleimann #3 RE,2024-10-08,471,147,13,5325.0,601.0,812.0,280.0,0.0,Unit on
Kleimann #3 RE,2024-10-07,289,71,12,4854.0,454.0,799.0,250.0,0.0, 
Kleimann #3 RE,2024-10-06,381,98,40,4565.0,383.0,787.0,250.0,0.0, 
Kleimann #3 RE,2024-10-05,454,127,38,4184.0,285.0,747.0,250.0,0.0, 
Kleimann #3 RE,2024-10-04,859,0,189,3730.0,158.0,709.0,250.0,0.0,Well flowing
Kleimann #3 RE,2024-10-03,1076,0,130,2871.0,158.0,520.0,250.0,0.0,Well flowing
Kleimann #3 RE,2024-10-02,711,158,390,1795.0,158.0,390.0,250.0,0.0,Well flowing
Kleimann #3 RE,2024-10-01,1084,0,0,1084.0,0.0,0.0,250.0,0.0,Well flowing
Kleimann #3 RE,2024-09-30,935,0,0,9769.0,0.0,0.0,0.0,0.0,Well flowing
Kleimann #3 RE,2024-09-29,731,0,0,8834.0,0.0,0.0,0.0,0.0,Well flowing flow back crew on site
Kleimann #3 RE,2024-09-28,0,0,0,8103.0,0.0,0.0,0.0,0.0, 
