Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),MTD Oil,MTD Gas,MTD Water,TP,CP,Comments
Kleimann #3 RE,2024-10-28,968,493,67,19570.0,5158.0,3936.0,250.0,900.0,Well flowing injected gas 365
Kleimann #3 RE,2024-10-27,1046,483,135,18602.0,4665.0,3869.0,280.0,900.0,Well flowing injected 381mcfs
Kleimann #3 RE,2024-10-26,1020,495,262,17556.0,4182.0,3734.0,280.0,900.0,Well flowing gas injected 393 mcfs
Kleimann #3 RE,2024-10-25,1027,450,318,16536.0,3687.0,3472.0,280.0,900.0,Well flowing gas injected. 387 mcfs
Kleimann #3 RE,2024-10-24,1057,0,217,15509.0,3237.0,3154.0,280.0,900.0,"Tubing 270
Casing 900"
Kleimann #3 RE,2024-10-23,937,315,210,14452.0,3237.0,2937.0,280.0,900.0,Injection gas 379
Kleimann #3 RE,2024-10-22,996,150,175,13515.0,2922.0,2727.0,280.0,900.0,Well flowing gas injected 350 mcfs
Kleimann #3 RE,2024-10-21,935,140,217,12519.0,2772.0,2552.0,280.0,900.0,Well flowing injected 280 mcfs
Kleimann #3 RE,2024-10-20,709,93,245,11584.0,2632.0,2335.0,280.0,900.0,Well  flowing injected 164  mcfs
Kleimann #3 RE,2024-10-19,498,335,229,10875.0,2539.0,2090.0,280.0,900.0,Comp dn on arrival BOL 11:30am. Injected 367 mcfs
Kleimann #3 RE,2024-10-18,766,447,396,10377.0,2204.0,1861.0,280.0,900.0,Well flowing injected gas 434 mcfs
Kleimann #3 RE,2024-10-17,961,433,294,9611.0,1757.0,1465.0,280.0,900.0,Well flowing
Kleimann #3 RE,2024-10-16,873,69,12,8650.0,1324.0,1171.0,280.0,0.0, 
Kleimann #3 RE,2024-10-15,65,3,15,7777.0,1255.0,1159.0,280.0,0.0,R/U gas lift
Kleimann #3 RE,2024-10-14,336,2,43,7712.0,1252.0,1144.0,180.0,0.0, 
Kleimann #3 RE,2024-10-13,386,106,47,7376.0,1250.0,1101.0,280.0,0.0,Well flowing
Kleimann #3 RE,2024-10-12,383,124,53,6990.0,1144.0,1054.0,280.0,0.0,Well flowing
Kleimann #3 RE,2024-10-11,398,125,32,6607.0,1020.0,1001.0,280.0,0.0,Well flowing
Kleimann #3 RE,2024-10-10,424,142,112,6209.0,895.0,969.0,280.0,0.0,Well flowing
Kleimann #3 RE,2024-10-09,460,152,45,5785.0,753.0,857.0,280.0,0.0,Unit on
Kleimann #3 RE,2024-10-08,471,147,13,5325.0,601.0,812.0,280.0,0.0,Unit on
Kleimann #3 RE,2024-10-07,289,71,12,4854.0,454.0,799.0,250.0,0.0, 
Kleimann #3 RE,2024-10-06,381,98,40,4565.0,383.0,787.0,250.0,0.0, 
Kleimann #3 RE,2024-10-05,454,127,38,4184.0,285.0,747.0,250.0,0.0, 
Kleimann #3 RE,2024-10-04,859,0,189,3730.0,158.0,709.0,250.0,0.0,Well flowing
Kleimann #3 RE,2024-10-03,1076,0,130,2871.0,158.0,520.0,250.0,0.0,Well flowing
Kleimann #3 RE,2024-10-02,711,158,390,1795.0,158.0,390.0,250.0,0.0,Well flowing
Kleimann #3 RE,2024-10-01,1084,0,0,1084.0,0.0,0.0,250.0,0.0,Well flowing
Kleimann #3 RE,2024-09-30,935,0,0,9769.0,0.0,0.0,0.0,0.0,Well flowing
Kleimann #3 RE,2024-09-29,731,0,0,8834.0,0.0,0.0,0.0,0.0,Well flowing flow back crew on site
Kleimann #3 RE,2024-09-28,0,0,0,8103.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-27,0,0,0,8103.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-26,0,0,0,8103.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-25,0,0,0,8103.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-24,0,0,0,8103.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-23,0,0,0,8103.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-22,0,0,0,8103.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-21,530,0,0,8103.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-20,567,0,0,7573.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-19,0,0,0,7006.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-18,0,0,0,7006.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-17,0,0,0,7006.0,0.0,0.0,0.0,0.0, 
Kleimann #3 RE,2024-09-16,0,0,0,7006.0,0.0,0.0,0.0,0.0, 
