Well Name,Last Production,Days since 2025-01-07
Beal #1,2025-01-07,0
Benge Unit #1H,2025-01-07,0
Bradshaw #1,2025-01-07,0
Buchanan Unit #1,2024-12-31,7
CK #1,2025-01-07,0
Caldwell #1,2025-01-06,1
Carroll Unit #1,2024-11-26,42
Coffman #1H,2025-01-07,0
Della #1,2025-01-07,0
Drake #1,2025-01-07,0
Drake #2,2025-01-07,0
Eva #1,2025-01-07,0
Feather Crest Farms #1,2025-01-07,0
Flora #1,2025-01-07,0
Floyd #1,2025-01-07,0
Harrison #1H,2025-01-07,0
Harrison #2H,2025-01-07,0
Hayes #1,2025-01-07,0
Hayes #2,2025-01-07,0
Herbich #1H,2025-01-07,0
Herbich #2H,2025-01-07,0
Isbell #1,2025-01-07,0
Jam #1,2025-01-07,0
Jones #1,2025-01-07,0
Joyce #1,2025-01-07,0
Kadav #1,2025-01-07,0
Kagg #1,2025-01-07,0
Kagg #2,2025-01-07,0
Kennedy #1,2025-01-07,0
Knotts-Yeager Unit #1,2025-01-07,0
Leon T-Bar-X Unit 1,2025-01-07,0
MT Unit #1H,2025-01-07,0
McDuffie Unit #1,2025-01-07,0
Mosley #1,2025-01-07,0
Murphey-Smith #1,2025-01-07,0
Myrtle #1,2025-01-07,0
Nevill #1,2025-01-07,0
Ortiz Unit #1,2025-01-07,0
Owen #1,2024-12-16,22
Peters #5,2025-01-07,0
Peters #6,2025-01-07,0
Peters #7,2025-01-07,0
Post Oak #1,2025-01-07,0
Post Oak #2,2025-01-07,0
RA #1,2025-01-07,0
Rb Clary #1,2025-01-06,1
Ruen #1,2025-01-07,0
Ruen #2,2025-01-07,0
Ruen #3X,2025-01-07,0
Sandifer Unit #1,2025-01-07,0
Smith Georgette #1,2025-01-07,0
Soell #1,2024-12-27,11
Spiller T-Bar-X #1,2025-01-07,0
Sutton #1,2025-01-03,4
Sutton #2,2025-01-07,0
Sutton #3,2025-01-07,0
Timothy #1,2025-01-07,0
Urso #1,2024-12-18,20
WS #1,2025-01-07,0
Warren #1H,2025-01-07,0
Watson-Buck #1H,2025-01-07,0
Webb #1,2025-01-07,0
White-Springer #1,2025-01-07,0
Wiese #1H,2025-01-07,0
William #1,2025-01-07,0
Willie #1,2025-01-07,0
Wilson #1,2025-01-07,0
