Well Name,Last Production,Days since 2025-06-04
Beal #1,2025-06-04,0
Benge Unit #1H,2025-06-04,0
Bradshaw #1,2025-06-04,0
Buchanan Unit #1,2025-05-28,7
CK #1,2025-06-04,0
Caldwell #1,2025-06-04,0
Carroll Unit #1,2025-06-04,0
Christopher #1,2021-06-19,1446
Coffman #1H,2025-06-04,0
Davis Ozelle Unit 1 H,2020-10-17,1691
Della #1,2025-06-04,0
Drake #1,2025-06-04,0
Drake #2,2025-06-04,0
Eva #1,2025-06-04,0
Feather Crest Farms #1,2025-06-04,0
Flora #1,2025-06-04,0
Floyd #1,2025-06-04,0
Harrison #1H,2025-06-04,0
Harrison #2H,2025-06-04,0
Hayes #1,2025-06-04,0
Hayes #2,2025-06-04,0
Herbich #1H,2025-06-04,0
Herbich #2H,2025-06-04,0
Isbell #1,2025-06-04,0
Jam #1,2025-06-04,0
Jones #1,2025-06-02,2
Joyce #1,2025-06-04,0
Kadav #1,2025-06-04,0
Kagg #1,2025-06-04,0
Kagg #2,2025-06-04,0
Kennedy #1,2025-06-04,0
Knotts-Yeager Unit #1,2025-06-04,0
Leon T-Bar-X Unit 1,2025-06-01,3
MT Unit #1H,2025-06-04,0
McDuffie Unit #1,2025-06-03,1
Mosley #1,2025-06-04,0
Murphey-Smith #1,2025-06-04,0
Myrtle #1,2025-06-04,0
Nevill #1,2025-06-04,0
Ortiz Unit #1,2025-06-03,1
Owen #1,2025-06-04,0
Peters #5,2025-04-23,42
Peters #6,2025-06-04,0
Peters #7,2025-06-04,0
Post Oak #1,2025-06-04,0
Post Oak #2,2025-06-04,0
RA #1,2025-06-04,0
RB Clary #1,2025-06-04,0
Ruen #1,2025-06-04,0
Ruen #2,2025-06-04,0
Ruen #3X,2025-06-04,0
Sandifer Unit #1,2025-06-04,0
Smith Georgette #1,2025-06-04,0
Soell #1,2024-12-27,159
Spiller T-Bar-X #1,2025-01-26,129
Sutton #1,2025-06-04,0
Sutton #2,2025-06-04,0
Sutton #3,2025-06-04,0
Timothy #1,2025-05-25,10
Urso #1 RE,2025-05-27,8
WS #1,2025-06-04,0
Warren #1H,2025-06-04,0
Watson-Buck #1H,2025-06-04,0
Webb #1,2025-06-04,0
Wendel #1,2021-03-13,1544
White-Springer #1,2025-06-04,0
Wickson Unit #1,2024-04-27,403
Wiese #1H,2025-06-04,0
William #1,2025-06-04,0
Willie #1,2025-06-04,0
Wilson #1,2025-06-04,0
