Well Name,Last Production,Days since 2025-01-07
AB Pad 10 State #1,2025-01-07,0
Abenaki 10 State #1,2025-01-07,0
Abenaki 10 State #2,2025-01-07,0
Abenaki 10 State #3,2025-01-07,0
Beams 15 State #1,2024-11-15,53
Beams 15 State #2,2025-01-07,0
Beams 15 State #3,2020-08-01,1620
Beams 15 State #4,2025-01-07,0
Beams 15 State #5,2025-01-07,0
Bougainvillea 33 State #1,2025-01-07,0
CW 14 State #1,2025-01-07,0
Cameron 22 State #1,2025-01-07,0
Cooper 24 Federal Com #1,2020-08-01,1620
Hawkeye 30 State #1,2024-12-21,17
Henry 24 #1,2025-01-07,0
Henry 24 #2,2025-01-07,0
Ivy 4 State ,2025-01-02,5
Martin 11 State #1,2025-01-07,0
Paddy 13 State #1,2025-01-06,1
Paddy 15 State #1,2025-01-07,0
Paddy 15 State #2,2025-01-07,0
Paddy 15 State #3,2025-01-07,0
Paddy 18 State #1,2025-01-07,0
Paddy 18 State #2,2025-01-07,0
Paddy 18 State #3,2025-01-07,0
Paddy 19 State #1,2024-12-03,35
Paddy 19 State #2,2025-01-07,0
Paddy 19 State #3,2025-01-07,0
Paddy 19 State #4,2023-12-24,380
Paddy 19 State #5,2025-01-07,0
Paddy 20 State #1,2025-01-04,3
Paddy 23 State #1,2025-01-07,0
Raider 9 St #1,2025-01-07,0
Raider 9 St #3,2025-01-07,0
Tech 16 State #1,2025-01-07,0
