Well Name,Last Production,Days since 2025-01-07
Aaron #1,2025-01-07,0
Aniken #1,2025-01-07,0
Anna Louisa #1,2020-09-25,1565
Annpick #1,2025-01-06,1
BMMP #1,2024-07-31,160
Balfour #1,2025-01-07,0
Barrier #1,2025-01-07,0
Beeler #16 RE,2025-01-07,0
Beeler #17,2025-01-07,0
Beeler Ranch #1,2025-01-07,0
Bermuda #1,2025-01-07,0
Big Sonny #1,2025-01-07,0
Blackmon #1,2025-01-06,1
Blas Reyes #1,2025-01-07,0
Bond #1,2025-01-04,3
Bruce Weaver #1,2025-01-07,0
Bruce Weaver #2 RE,2025-01-07,0
Burns Ranch #2,2025-01-07,0
CMWW #1,2025-01-07,0
CMWW #2,2025-01-07,0
CR #101,2025-01-07,0
CR #201,2025-01-07,0
CR #301,2025-01-07,0
CR #302,2025-01-07,0
CR #401,2025-01-06,1
CR #501,2024-12-31,7
CR #939,2025-01-07,0
CT #1,2025-01-07,0
Cannan #1,2025-01-07,0
Carolpick #1,2025-01-07,0
Carolyn #1,2025-01-07,0
Cenizo #1,2025-01-07,0
Chad #1,2025-01-07,0
Charles B #1,2025-01-07,0
Circle T #1,2025-01-07,0
Cross S #1,2025-01-06,1
Dale #1,2025-01-03,4
Dial #1 ST,2025-01-07,0
Dillard #1,2025-01-07,0
Dixondale #1,2025-01-07,0
Drinkard #1,2025-01-07,0
Dunkle #2,2025-01-06,1
Dunlap #1,2025-01-05,2
Dyess #1,2025-01-07,0
Eileen #1,2025-01-07,0
Evergreen #1,2025-01-03,4
Fatheree #1,2025-01-07,0
Flower #1,2025-01-07,0
Gail #1,2025-01-07,0
Gil #1,2024-12-22,16
Grissom #1,2025-01-07,0
J Beeler #1,2025-01-07,0
JIC #1,2025-01-07,0
JIC Buda #1,2025-01-07,0
JJ #1,2025-01-07,0
Jessica #1,2025-01-07,0
Joseph #1,2025-01-04,3
Jred #1,2025-01-07,0
Kay #1,2024-12-25,13
Kiley #1,2025-01-07,0
Kleimann #1,2025-01-07,0
Kleimann #3 RE,2025-01-07,0
LT #1,2024-12-31,7
La Rosita #1 RE,2025-01-07,0
Lackey Five #1,2025-01-07,0
Lamb #1,2024-02-28,314
Lander #1,2025-01-07,0
Leary Trust #1,2025-01-07,0
Little 179 #1,2025-01-07,0
Lochte #1,2025-01-07,0
MDB #1,2025-01-07,0
Marguerite #1,2024-12-31,7
Marpick #1,2025-01-07,0
Marrs #1,2025-01-07,0
Molak #1,2025-01-06,1
Moreland #1,2024-07-02,189
PC #1,2025-01-07,0
Parkway #1 RE,2025-01-07,0
Pecan Grove #1,2023-06-02,585
Pfeiffer #1,2025-01-07,0
Pfeiffer-Byrd #1,2025-01-07,0
Pickens #1,2025-01-06,1
Pickens Weaver #1,2025-01-07,0
Pickwill #1,2025-01-07,0
RAB #1,2025-01-07,0
RAB #2,2025-01-07,0
RAB #3,2025-01-07,0
Richard #1,2025-01-07,0
Richardson #1,2025-01-07,0
Ronald #1,2025-01-07,0
Russell #1,2025-01-07,0
Ruth #1,2025-01-06,1
Ruthpick #1,2025-01-07,0
Sansom #1,2025-01-07,0
Solansky #1,2025-01-06,1
Sugar Ranch #1,2024-12-11,27
Sugarland #1,2025-01-05,2
TJN Unit #1,2024-12-31,7
Thalmann #1,2024-03-28,285
Thalmann #1 RE,2025-01-07,0
Thompson #1,2020-06-21,1661
Thompson #2,2024-12-20,18
Thuss #1,2025-01-07,0
Tlapek #1,2025-01-06,1
Triple J #2,2023-12-22,382
Trotter #1,2025-01-07,0
Verna #1,2025-01-06,1
Whittington #1,2025-01-07,0
