Well Name,Last Production,Days since 2025-06-04
Aaron #1,2025-06-04,0
Aniken #1,2025-06-03,1
Anna Louisa #1,2020-09-25,1713
Annpick #1,2025-06-03,1
Balfour #1,2025-06-04,0
Barrier #1,2025-06-04,0
Beeler #16 RE,2025-06-04,0
Beeler #17,2025-06-04,0
Beeler Ranch #1,2025-06-04,0
Bermuda #1,2025-06-03,1
Big Sonny #1,2025-06-04,0
Blackmon #1,2025-06-04,0
Blas REyes #1,2025-06-04,0
Bond #1,2025-05-28,7
Bruce Weaver #1,2025-06-04,0
Bruce Weaver #2 RE,2025-06-04,0
Burns Ranch #2,2025-06-04,0
CMWW #1,2025-06-04,0
CMWW #2,2025-06-04,0
CR #101,2025-06-04,0
CR #201,2025-06-04,0
CR #301,2025-06-04,0
CR #302,2025-06-04,0
CR #401,2025-05-29,6
CR #501,2025-05-31,4
CR #939,2025-06-04,0
CT #1,2025-06-04,0
Cannan #1,2025-06-04,0
Carolpick #1,2025-06-04,0
Carolyn #1,2025-06-04,0
Cenizo #1,2025-06-04,0
Chad #1,2025-06-04,0
Charles B #1,2025-06-04,0
Circle T #1,2025-06-03,1
Cross S #1,2025-06-04,0
Dale #1,2025-06-04,0
Dial #1,2022-09-03,1005
Dillard #1,2025-06-04,0
Dixondale #1,2025-06-04,0
Drinkard #1,2025-06-04,0
Dunkle #2,2025-05-26,9
Dunlap #1,2025-06-03,1
Dyess #1,2025-06-04,0
Eileen #1,2025-06-04,0
Evergreen #1,2025-05-30,5
Fatheree #1,2025-06-04,0
Flower #1,2025-06-04,0
Gail #1,2025-06-04,0
Gil #1,2025-06-01,3
Grissom #1,2025-06-03,1
J Beeler #1,2025-06-04,0
JIC #1,2025-06-04,0
JIC Buda #1,2025-06-04,0
JJ #1,2025-06-04,0
Jessica #1,2025-06-04,0
Joseph #1,2025-05-28,7
Jred #1,2025-06-04,0
Kay #1,2025-06-04,0
Kiley #1,2025-06-04,0
Kleimann #1,2025-06-04,0
LT #1,2025-05-30,5
La Rosita #1 RE,2025-06-02,2
Lackey Five #1,2025-06-04,0
Lamb #1,2025-01-21,134
Lander #1,2025-06-04,0
Leary Trust #1,2025-06-03,1
Little 179 #1,2025-05-15,20
Lochte #1,2025-06-04,0
MDB #1,2025-06-04,0
Marguerite #1,2025-05-11,24
Marpick #1,2025-05-31,4
Marrs #1,2025-06-04,0
Molak #1,2025-06-01,3
PC #1,2025-06-04,0
Parkway #1 RE,2025-06-04,0
Pfeiffer #1 RE,2025-06-04,0
Pfeiffer-Byrd #1,2025-06-04,0
Pickens #1,2025-06-01,3
Pickens Weaver #1,2025-06-04,0
Pickwill #1,2025-06-03,1
RAB #1,2025-06-04,0
RAB #2,2025-06-04,0
RAB #3,2025-06-04,0
Richard #1,2025-06-04,0
Richardson #1,2025-06-03,1
Ronald #1,2025-06-04,0
Russell #1,2025-06-04,0
Ruth #1,2025-06-04,0
Ruthpick #1,2025-06-04,0
Sansom #1,2025-06-04,0
Solansky #1,2025-06-03,1
Sugar Ranch #1,2025-06-03,1
Sugarland #1,2025-06-03,1
TJN Unit #1,2025-06-04,0
Thalmann #1 RE,2025-05-26,9
Thompson #1,2020-06-21,1809
Thompson #2,2025-06-04,0
Thuss #1,2025-06-04,0
Tlapek #1,2025-06-04,0
Tortuga Unit B 2Re,2024-08-15,293
Triple J #2,2023-12-22,530
Trotter #1,2025-03-21,75
Verna #1,2025-06-03,1
Whittington #1,2025-06-03,1
