Well Name,Last Production,Days since 2025-01-07
Beck Unit #1,2025-01-07,0
Blair TXL #1,2025-01-07,0
Blair TXL #2,2025-01-07,0
Blair TXL #3,2025-01-07,0
Blair Txl #6,2025-01-06,1
Blair-Txl  #4,2020-05-01,1712
Brothers Horizon,2025-01-07,0
Brothers Horizon Unit 1,2025-01-07,0
Brumley,2025-01-07,0
Bullard,2025-01-07,0
Davis 3,2025-01-07,0
EE 12 #1,2025-01-06,1
East Lott,2022-08-01,890
Edwards 12 #1,2025-01-04,3
Everett Unit #1,2025-01-07,0
Kim,2025-01-07,0
Koonsman 677,2025-01-07,0
LLB 15 #1,2025-01-06,1
Muleshoe Ranch #1,2025-01-07,0
North JUWF,2025-01-07,0
Slaughter B,2025-01-07,0
South JUWF,2025-01-07,0
