Well Name,Last Production,Days since 2025-05-05
Beck Unit #1,2025-05-04,1
Blair TXL #1,2025-05-04,1
Blair TXL #2,2025-05-04,1
Blair TXL #3,2025-05-04,1
Blair Txl #6,2025-04-25,10
Blair-Txl  #4,2020-05-01,1830
Brothers Horizon,2025-05-04,1
Brothers Horizon Unit 1,2025-05-04,1
Brumley,2025-05-04,1
Bullard,2025-05-04,1
Davis 3,2025-05-04,1
EE 12 #1,2025-04-22,13
East Lott,2022-08-01,1008
Edwards 12 #1,2025-04-16,19
Everett Unit #1,2025-05-04,1
Kim,2025-05-04,1
Koonsman 677,2025-05-04,1
LLB 15 #1,2025-05-04,1
Muleshoe Ranch #1,2025-05-04,1
North JUWF,2025-05-04,1
Slaughter B,2025-05-04,1
South JUWF,2025-05-04,1
