Well Name,Last Production,Days since 2024-12-08
AB Pad 10 State #1,2024-12-08,0.0
Abenaki 10 State #1,2024-12-08,0.0
Abenaki 10 State #2,2024-12-08,0.0
Abenaki 10 State #3,2024-12-08,0.0
Beams 15 State #1,2024-11-15,23.0
Beams 15 State #2,2024-12-08,0.0
Beams 15 State #3,2020-08-01,1590.0
Beams 15 State #4,2024-12-08,0.0
Beams 15 State #5,2024-12-08,0.0
Bougainvillea 33 State #1,2024-12-06,2.0
CW 14 State #1,2024-11-27,11.0
Cameron 22 State #1,2024-12-08,0.0
Cooper 24 Federal Com #1,2020-08-01,1590.0
Hawkeye 30 State #1,2024-12-08,0.0
Henry 24 #1,2024-12-08,0.0
Henry 24 #2,2024-12-08,0.0
Ivy 4 State ,2024-12-05,3.0
Martin 11 State #1,2024-12-08,0.0
North Twinberry 5 State #1,2020-09-01,1559.0
Paddy 13 State #1,2024-12-08,0.0
Paddy 15 State #1,2024-12-08,0.0
Paddy 15 State #2,2024-12-08,0.0
Paddy 15 State #3,2024-12-06,2.0
Paddy 18 State #1,2024-12-08,0.0
Paddy 18 State #2,2024-12-08,0.0
Paddy 18 State #3,2024-12-08,0.0
Paddy 19 State #1,2024-12-03,5.0
Paddy 19 State #2,2024-12-08,0.0
Paddy 19 State #3,2024-12-08,0.0
Paddy 19 State #4,2023-12-24,350.0
Paddy 19 State #5,2024-12-08,0.0
Paddy 20 State #1,2024-12-08,0.0
Paddy 23 State #1,2024-11-27,11.0
Raider 9 St #1,2024-12-08,0.0
Raider 9 St #2,2020-08-01,1590.0
Raider 9 St #3,2024-12-08,0.0
Tech 16 State #1,2024-12-08,0.0
