Well Name,Last Production,Days since 2024-12-08
Thompson #1,6/21/2020,1631
Anna Louisa #1,9/25/2020,1535
Pecan Grove #1,6/2/2023,555
Triple J #2,12/22/2023,352
Lamb #1,2/28/2024,284
Thalmann #1,3/28/2024,255
Moreland #1,7/2/2024,159
BMMP #1,7/31/2024,130
Cannan #1,11/17/2024,21
Joseph #1,11/23/2024,15
CR #401,11/25/2024,13
Grissom #1,11/25/2024,13
CR #501,12/2/2024,6
Cross S #1,12/2/2024,6
Gil #1,12/2/2024,6
Pickens #1,12/2/2024,6
Dyess #1,12/3/2024,5
Marguerite #1,12/3/2024,5
Marpick #1,12/3/2024,5
Bond #1,12/4/2024,4
Evergreen #1,12/4/2024,4
Bermuda #1,12/5/2024,3
Verna #1,12/5/2024,3
Circle T #1,12/6/2024,2
Dunlap #1,12/6/2024,2
Kay #1,12/6/2024,2
Molak #1,12/6/2024,2
Sugarland #1,12/6/2024,2
Aaron #1,12/7/2024,1
Annpick #1,12/7/2024,1
CR #201,12/7/2024,1
Dunkle #2,12/7/2024,1
JJ #1,12/7/2024,1
Pickens Weaver #1,12/7/2024,1
Solansky #1,12/7/2024,1
Tlapek #1,12/7/2024,1
Aniken #1,12/8/2024,0
Balfour #1,12/8/2024,0
Barrier #1,12/8/2024,0
Beeler #16 RE,12/8/2024,0
Beeler #17,12/8/2024,0
Beeler Ranch #1,12/8/2024,0
Big Sonny #1,12/8/2024,0
Blackmon #1,12/8/2024,0
Blas Reyes #1,12/8/2024,0
Bruce Weaver #1,12/8/2024,0
Bruce Weaver #2 RE,12/8/2024,0
Burns Ranch #2,12/8/2024,0
CMWW #1,12/8/2024,0
CMWW #2,12/8/2024,0
CR #101,12/8/2024,0
CR #301,12/8/2024,0
CR #302,12/8/2024,0
CR #939,12/8/2024,0
CT #1,12/8/2024,0
Carolpick #1,12/8/2024,0
Carolyn #1,12/8/2024,0
Cenizo #1,12/8/2024,0
Chad #1,12/8/2024,0
Charles B #1,12/8/2024,0
Dale #1,12/8/2024,0
Dial #1 ST,12/8/2024,0
Dillard #1,12/8/2024,0
Dixondale #1,12/8/2024,0
Drinkard #1,12/8/2024,0
Eileen #1,12/8/2024,0
Fatheree #1,12/8/2024,0
Flower #1,12/8/2024,0
Gail #1,12/8/2024,0
J Beeler #1,12/8/2024,0
JIC #1,12/8/2024,0
JIC Buda #1,12/8/2024,0
Jessica #1,12/8/2024,0
Jred #1,12/8/2024,0
Kiley #1,12/8/2024,0
Kleimann #1,12/8/2024,0
Kleimann #3 RE,12/8/2024,0
LT #1,12/8/2024,0
La Rosita #1 RE,12/8/2024,0
Lackey Five #1,12/8/2024,0
Lander #1,12/8/2024,0
Leary Trust #1,12/8/2024,0
Little 179 #1,12/8/2024,0
Lochte #1,12/8/2024,0
MDB #1,12/8/2024,0
Marrs #1,12/8/2024,0
PC #1,12/8/2024,0
Parkway #1 RE,12/8/2024,0
Pfeiffer #1,12/8/2024,0
Pfeiffer-Byrd #1,12/8/2024,0
Pickwill #1,12/8/2024,0
RAB #1,12/8/2024,0
RAB #2,12/8/2024,0
RAB #3,12/8/2024,0
Richard #1,12/8/2024,0
Richardson #1,12/8/2024,0
Ronald #1,12/8/2024,0
Russell #1,12/8/2024,0
Ruth #1,12/8/2024,0
Ruthpick #1,12/8/2024,0
Sansom #1,12/8/2024,0
Sugar Ranch #1,12/8/2024,0
TJN Unit #1,12/8/2024,0
Thalmann #1 RE,12/8/2024,0
Thompson #2,12/8/2024,0
Thuss #1,12/8/2024,0
Trotter #1,12/8/2024,0
Whittington #1,12/8/2024,0
