Well Name,Last Production,Days since 2024-12-08
Beck Unit #1,2024-12-08,0
Blair TXL #1,2024-12-08,0
Blair TXL #2,2024-12-08,0
Blair TXL #3,2024-12-08,0
Blair Txl #6,2024-12-06,2
Blair-Txl  #4,2020-05-01,1682
Brothers Horizon,2024-12-08,0
Brothers Horizon Unit 1,2024-12-08,0
Brumley,2024-12-08,0
Bullard,2024-12-08,0
Davis 3,2024-12-08,0
EE 12 #1,2024-12-07,1
East Lott,2022-08-01,860
Edwards 12 #1,2024-12-06,2
Everett Unit #1,2024-12-08,0
Kim,2024-12-08,0
Koonsman 677,2024-12-05,3
LLB 15 #1,2024-12-08,0
Muleshoe Ranch #1,2024-12-08,0
North JUWF,2024-12-08,0
Slaughter B,2024-12-08,0
South JUWF,2024-12-08,0
