id,name,type,capacity,multiplier,created_at,updated_at
7149,000001,OIL/WATER,400,1.67,1449522991,1687950562
8325,111144-1,OIL,500,2.79,1461077060,1676475410
8326,111144-2,OIL,500,2.79,1461077060,1676475410
8286,111145-1,OIL,500,2.79,1461009931,1610121537
8287,111145-2,OIL,500,2.79,1461009931,1610121537
8337,111149-1,OIL,300,1.67,1461078135,1615295191
8338,111149-2,OIL,300,1.67,1461078135,1615295191
8299,111151-1,OIL,500,2.76,1461011122,1687903396
8300,111151-2,OIL,500,2.76,1461011122,1687903395
8302,111152-1,OIL,500,2.79,1461017554,1687903388
8303,111152-2,OIL,500,2.76,1461017554,1687818345
8305,111153-1,OIL,500,2.79,1461076338,1687903387
8306,111153-2,OIL,500,2.79,1461076338,1682282300
8308,111154-1,OIL,500,2.76,1461076641,1687215682
8309,111154-2,OIL,500,2.76,1461076641,1687903385
8311,111155-1,OIL,300,1.64,1461076765,1676475415
8312,111155-2,OIL,300,1.68,1461076765,1687903386
8313,111155-3,OIL,300,1.67,1461076765,1687818346
8314,111155-4,OIL,300,1.64,1461076765,1676475415
8322,111156-1,OIL,500,2.79,1461076983,1520275098
8323,111156-2,OIL,500,2.79,1461076983,1520275098
8331,111289-1,OIL,500,2.79,1461077837,1687903398
8332,111289-2,OIL,500,2.79,1461077837,1683860158
8270,111365-1,OIL,500,2.77,1461009299,1676475409
8271,111365-2,OIL,500,2.77,1461009299,1686785087
8272,111365-3,OIL,500,2.77,1461009299,1687903392
8334,111392-1,OIL,500,2.79,1461077977,1687587001
8335,111392-2,OIL,500,2.79,1461077977,1687903384
8278,111395-1,OIL,500,2.77,1461009602,1687215679
8279,111395-2,OIL,500,2.77,1461009602,1687903394
8282,111506-1,OIL,500,2.78,1461009806,1687903394
8283,111506-2,OIL,500,2.78,1461009806,1686263090
8316,111528-1,OIL,500,2.79,1461076852,1687903390
8317,111528-2,OIL,500,2.79,1461076852,1684618210
8319,111558-1,OIL,500,2.79,1461076915,1685485380
8320,111558-2,OIL,500,2.79,1461076915,1676475415
8292,111569-2,OIL,500,2.79,1461010145,1687301250
8293,111569-3,OIL,500,2.79,1461010145,1687903393
8328,111614-1,OIL,500,2.79,1461077655,1676475411
8329,111614-2,OIL,500,2.79,1461077655,1687903397
8274,111668-1,OIL,500,2.79,1461009408,1687903393
8275,111668-2,OIL,500,2.79,1461009408,1687903393
8276,111668-3,OIL,500,2.78,1461009408,1676475409
8280,111695-3,OIL,500,2.77,1461009602,1676475409
8986,111842-1,OIL,500,2.79,1467131398,1687903392
8987,111842-2,OIL,500,2.79,1467131398,1676475409
10303,111858-1,OIL,500,2.79,1479163837,1687026352
10304,111858-2,OIL,500,2.79,1479163838,1687903398
11321,1119121,OIL,500,2.79,1489162002,1687903391
