Ex/EFF Date,Type,ash Amount,k
08/09/2024,	Cash,0.85,07/30
05/02/2024,	Cash,0.85,04/23
02/02/2024,	Cash,0.85,01/24
11/02/2023,	Cash,0.85,10/24
08/03/2023,	Cash,0.775,07/25
05/04/2023,	Cash,0.775,04/25
02/03/2023,	Cash,0.775,01/11
11/14/2022,	Cash,0.775,11/01
08/04/2022,	Cash,0.705,07/26
05/05/2022,	Cash,0.705,04/26
02/03/2022,	Cash,0.705,01/25
11/10/2021,	Cash,0.705,11/02
11/10/2021,	Cash,0.575,11/02
08/05/2021,	Cash,0.6875,06/27
05/06/2021,	Cash,0.6875,04/27
02/05/2021,	Cash,0.6875,01/28
11/05/2020,	Cash,0.6875,10/27
08/06/2020,	Cash,0.6875,07/28
05/07/2020,	Cash,0.6875,04/28
02/03/2020,	Cash,0.6875,01/23
11/01/2019,	Cash,0.6775,10/25
08/02/2019,	Cash,0.6675,07/22
05/08/2019,	Cash,0.6575,04/30
02/04/2019,	Cash,0.6475,01/25
11/02/2018,	Cash,0.6375,10/26
08/03/2018,	Cash,0.6275,07/26
05/04/2018,	Cash,0.6175,04/25
02/02/2018,	Cash,0.6075,01/26
11/03/2017,	Cash,0.5875,10/25
08/03/2017,	Cash,0.5625,07/26
05/04/2017,	Cash,0.54,04/26
02/02/2017,	Cash,0.52,01/25
11/02/2016,	Cash,0.515,10/25
07/29/2016,	Cash,0.51,07/22
04/29/2016,	Cash,0.505,04/19
02/02/2016,	Cash,0.50,01/25
10/30/2015,	Cash,0.47,10/20
07/31/2015,	Cash,0.44,07/21
05/01/2015,	Cash,0.41,04/20
01/30/2015,	Cash,0.3825,01/20
10/31/2014,	Cash,0.3575,10/21
07/31/2014,	Cash,0.3425,07/22
05/01/2014,	Cash,0.3275,04/22
01/31/2014,	Cash,0.3125,01/24
10/31/2013,	Cash,0.2975,10/22
07/31/2013,	Cash,0.285,07/23
05/08/2013,	Cash,0.2725,04/30
01/31/2013,	Cash,0.1769,01/25
