 POH - PRODUCING OVERHEAD, LOE - COMPANY PUMPER, LOE - CONTRACT PUMPING, LOE - COMPRESSION FEES, LOE - COMPRESSOR RENTAL, LOE - UTILITIES, LOE - COMPANY LABOR, LOE - CHEMICALS, LOE - FIELDMAN EXPENSES, LOE - CONTRACT SERVICES, LOE - DAMAGES, LOE - DIRTWORK, LOE - DISTRICT EXPENSE, LOE - ENVIRONMENTAL COMPLIANCE, LOE - EQUIPMENT RENTAL, LOE - EQUIPMENT REPAIRS, LOE - FRESH WATER INJECTION," LOE - FUEL ,OIL, AND PROPANE", LOE - GATHERING & MKTG FEES, LOE - HOT OIL TREATMENT, LOE - INSURANCE & BONDS, LOE - LANDMAN - CONTRACT, LOE - LANDMAN - COMPANY, LOE - LEGAL FEES, LOE - LOCATION & ROADS, LOE - MAT & SUPPLIES - SURFACE, LOE - MAT & SUPPLIES - SUBSURFA, LOE - MINIMUM ROYALTY, LOE - MISCELLANEOUS, LOE - PERMITS, LOE - PIT CLEANUP, LOE - PUMP TRUCK, LOE - PROPERTY TAXES, LOE - PULLING UNIT, LOE - RECORDING FEES, LOE - REPAIRS & MAINT-SUBSURFA, LOE - REPAIRS & MAINT-SURFACE, LOE - RIGHT OF WAY, LOE - ROUSTABOUT SERVICES, LOE - SALT WATER DISPOSAL, LOE - SAND CONTROL, LOE - SUBMERSIBLE PUMP REPAIRS, LOE - SWAB UNIT, LOE - TANK CLEANING, LOE - TRUCKING & HAULING, LOE - VACUUM TRUCK, LOE - VEHICLE EXPENSES, LOE - WEED CONTROL, LOE - WELDER, LOE - WIRELINE SERVICES, LOE - MRU FACILITY
80402.38,0,86789.3,0,35727.34,3838.96,51215.26,116650.47,540.58,106385.44,0,0,6453.08,5475,42096.13,0,0,12062.36,0,8340.06,816.14,2878.73,5208,0,23172.34,109099.93,5282.11,0,38.38,0,0,3135,0,70751.84,0,19024.24,19943.31,0,87917.89,86263.36,0,0,0,0,16380.69,6799.45,0,0,0,23693.75,72695.17
79702.02,0,80590.44,0,42781.16,6382.94,64646,85984.18,57.87,58431.77,0,0,13934.1,15735,40723.78,0,0,10835.98,0,16507.03,816.14,3434.45,4783,0,16254.92,59702.58,1515.5,147.03,1568.5,100,962.91,877.5,0,39443.11,0,3179.48,33423.39,0,71262.66,85537.85,0,0,3756,0,11663.69,12314.5,0,0,0,3409.88,74872.34
79972.16,0,82009.84,0,53900.18,2378.82,67133.25,102859.37,47.23,59079.46,0,0,0,5610,25162.47,0,0,12175.74,0,13324.13,0,3899.38,3285,0,1000,61667.74,1536.82,227.3,68.87,0,0,0,0,17885.63,93.5,2550.16,22696.49,0,73539.23,76885.76,0,0,0,0,7883.5,38493.22,0,0,0,0,68906.25
81609.1,0,63248.48,0,40926.29,12393.98,69496.25,84230.29,0,16672.55,0,0,7499.79,5475,17351.83,0,0,15506.19,0,2715.3,-305.78,5076.64,6967.44,0,18890.04,33891.73,6254.82,0,163.51,6562.14,0,0,0,47962.16,427,23333.84,7205.33,0,55961.69,114174.15,0,0,0,0,10410.3,7416.15,0,0,0,0,59427.2
80645.14,0,53019.56,0,44549.63,7496.26,79194.58,76961.99,21.16,29868.85,0,0,6619.3,5475,35272.82,0,0,8962.27,0,6508.59,816.14,3360.81,4200,0,4409.25,26138.29,8333.55,0,0,0,0,3633,0,39835.22,304.5,4975.53,37274.64,0,87796.28,98191.44,0,0,0,0,12258.46,5957.15,0,0,0,0,90304.3
81409.43,0,54205.4,0,84375.49,7649.36,74086.54,54099.89,0,61916.72,0,0,10640.46,5475,35773.7,0,0,11212.95,0,7323.05,1632.28,5419.64,8160.12,0,1365.28,32707.77,3176.72,6341.04,23.76,6000,0,0,0,19618.3,0,0,18574.17,0,86350.15,74230.35,0,0,0,0,15412.98,4030.3,0,0,0,0,91621.45
84302.62,0,54569.24,0,70604.29,7709.12,71288.11,43910.26,96.85,53645.23,0,0,9509.53,5475,23975.25,0,0,21532.03,0,6424.82,0,407.5,2500,1737.5,1101.33,25949.2,9321.2,11142.95,0,0,0,0,0,59504.73,0,356.44,17286.71,0,49772.2,76737,0,9735.87,0,0,16791.63,10780.25,0,28022.25,0,0,140607.05
83081.29,0,56213.44,0,60216.3,-5338.32,69792.07,40310.63,129.43,46071.33,0,0,15095.75,5475,29774.68,0,0,29027.7,0,10028.28,1632.28,3904.67,3306,0,15728.48,54363.96,2860.85,0,60.92,0,0,0,0,72499.67,174.5,1052.94,38846.09,0,67217.63,125408.59,0,6718.91,0,0,10035.08,17398.55,0,2989.04,0,0,57258.44
84497.91,0,57240.84,0,43630.63,6304.45,82618.9,47771.64,17.96,36199.91,0,0,6600.44,6390.01,30234.81,0,0,26584.53,0,2643.13,816.14,2005.73,2573,7086.36,78388.3,43437.53,226.25,0,111.09,0,0,0,0,77858.28,0,5466.73,34401.62,0,87882.98,133955.95,0,0,0,0,11860.12,15938.84,0,0,0,0,83095.89
83169.24,0,58333.44,0,44877.6,5837.49,86704.88,65444.29,43.66,50281.85,0,0,10234.27,5475,23196.66,0,0,37114.55,0,1051.88,0,2133.49,5395,7793.27,21697.36,44691.34,329.18,0,15.02,0,0,0,611336.84,79888.43,0,994.32,63988.54,0,85112.85,136509.74,0,0,0,0,13383.58,13098.74,0,0,0,8844.51,70769.5
