POH - PRODUCING OVERHEAD,LOE - COMPANY PUMPER,LOE - CONTRACT PUMPING,LOE - COMPRESSION FEES,LOE - COMPRESSOR RENTAL,LOE - UTILITIES,LOE - COMPANY LABOR,LOE - CHEMICALS,LOE - FIELDMAN EXPENSES,LOE - CONTRACT SERVICES,LOE - DAMAGES,LOE - DIRTWORK,LOE - DISTRICT EXPENSE,LOE - ENVIRONMENTAL COMPLIANCE,LOE - EQUIPMENT RENTAL,LOE - EQUIPMENT REPAIRS,LOE - FRESH WATER INJECTION,"LOE - FUEL ,OIL, AND PROPANE",LOE - GATHERING & MKTG FEES,LOE - HOT OIL TREATMENT,LOE - INSURANCE & BONDS,LOE - LANDMAN - CONTRACT,LOE - LANDMAN - COMPANY,LOE - LEGAL FEES,LOE - LOCATION & ROADS,LOE - MAT & SUPPLIES - SURFACE,LOE - MAT & SUPPLIES - SUBSURFA,LOE - MINIMUM ROYALTY,LOE - MISCELLANEOUS,LOE - PERMITS,LOE - PIT CLEANUP,LOE - PUMP TRUCK,LOE - PROPERTY TAXES,LOE - PULLING UNIT,LOE - RECORDING FEES,LOE - REPAIRS & MAINT-SUBSURFA,LOE - REPAIRS & MAINT-SURFACE,LOE - RIGHT OF WAY,LOE - ROUSTABOUT SERVICES,LOE - SALT WATER DISPOSAL,LOE - SAND CONTROL,LOE - SUBMERSIBLE PUMP REPAIRS,LOE - SWAB UNIT,LOE - TANK CLEANING,LOE - TRUCKING & HAULING,LOE - VACUUM TRUCK,LOE - VEHICLE EXPENSES,LOE - WEED CONTROL,LOE - WELDER,LOE - WIRELINE SERVICES,LOE - MRU FACILITY
"96,192",-   ,"49,011",-   ,"48,824","4,546","95,625","203,293",-   ,"123,640",-   ,-   ,"17,241","5,400","35,491",-   ,-   ,"43,892","5,955","20,372",692,"1,032","2,864",-   ,"2,935","26,755","15,800",-   ,63,-   ,"80,669",-   ,-   ,"54,338",537,"12,995","50,525",140,"64,724","139,317",-   ,-   ,-   ,-   ,"40,886","16,357",-   ,-   ,-   ,-   ,"118,340"
"93,690", -   ,"49,581", -   ,"50,656",747,"85,288","156,500", -   ,"67,293", -   , -   ,"5,458","10,650","26,371", -   , -   ,"35,914","8,867","16,183", -   , -   ,"1,807","1,725","4,790","26,544","28,430","7,759",116, -   , -   , -   , -   ,"103,263", -   ,"27,752","14,733", -   ,"82,068","139,355", -   , -   , -   , -   ,"51,575","23,345", -   , -   , -   , -   ,"57,435"
"96,192", -   ,"47,138", -   ,"46,439","7,293","82,138","104,771", -   ,"38,880", -   , -   ,"2,849","1,500","20,574", -   , -   ,"21,438","9,640","29,611", -   , -   ,"3,601", -   ,"2,249","12,570","10,141", -   ,26, -   , -   , -   , -   ,"37,777","1,304","13,527","11,955", -   ,"48,678","92,844", -   , -   , -   , -   ,"13,347","17,368", -   , -   , -   , -   ,"108,740"
"94,988", -   ,"48,810", -   ,"48,005","7,668","76,693","57,933", -   ,"28,172", -   , -   ,"3,762","10,679","15,349", -   , -   ,"15,599","2,816", -   , -   ,375,"2,744", -   , -   ,"8,559","1,467","6,367",22, -   , -   , -   , -   , -   , -   , -   ,"14,507","3,032","39,071","73,733", -   , -   , -   , -   ,"34,305","12,910", -   , -   , -   , -   , -   
"96,910", -   ,"41,609", -   ,"20,705","7,258","61,378","36,144", -   ,"24,455", -   , -   ,"4,650",108,"8,177", -   , -   ,"3,222","1,704",818,938,"1,050","2,046","1,481", -   ,"8,245","1,541", -   ,42, -   , -   , -   , -   ,"9,508",30,"10,223","21,962",101,"26,555","49,871", -   , -   , -   , -   ,"2,553","12,294", -   , -   , -   , -   ,"81,557"
"98,818", -   ,"46,813", -   ,"61,365","6,392","67,754","48,649", -   ,"24,956", -   , -   ,"4,672", -   ,"43,415", -   , -   ,"12,615","2,648","2,221","1,851", -   ,"3,658", -   , -   ,"14,171","7,655",512,32,2, -   , -   , -   ,"10,089", -   ,565,"34,902","2,500","33,875","72,027", -   , -   ,"1,260", -   ,"4,052","4,420", -   , -   , -   , -   ,"56,367"
"99,749", -   ,"48,172", -   ,"45,665","11,024","87,750","61,516",204,"29,299","2,000", -   ,"4,503", -   ,"29,582", -   , -   ,"16,935","6,580","17,140","2,084",785,"2,848", -   ,"1,539","19,858","10,741", -   ,2, -   , -   , -   , -   ,"68,834", -   ,"46,522","46,282",250,"50,650","94,961", -   , -   , -   , -   ,"19,580","19,741", -   , -   , -   , -   ,"106,130"
"98,467", -   ,"48,050",2,"38,773","5,061","85,739","65,752", -   ,"27,553", -   , -   ,"3,852", -   ,"17,600", -   , -   ,"22,955","3,175",729,"1,068", -   ,"1,319", -   ,507,"31,471","8,827", -   ,45, -   , -   , -   , -   ,"66,571",438,"19,971","51,677","2,000","72,039","98,423", -   , -   , -   , -   ,"32,887","37,673", -   , -   , -   , -   , -   
"100,793", -   ,"48,723", -   ,"42,408","6,808","81,663","140,134", -   ,"39,221", -   , -   ,"5,225", -   ,"49,219", -   , -   ,"27,439",950,"16,529", -   , -   ,965, -   ,"1,707","28,954","12,803", -   , -   , -   , -   , -   , -   ,"77,268",503,"19,797","66,235", -   ,"61,402","86,658", -   , -   ,"4,912", -   ,"13,922","53,410", -   , -   , -   , -   ,"101,506"
"98,755", -   ,"47,618", -   ,"36,890","5,372","72,740","41,760", -   ,"25,046", -   , -   ,"6,451","2,675","22,063", -   , -   ,"19,949","4,800","9,027", -   , -   ,"5,038", -   ,"1,570","19,398","8,599","30,591",49, -   , -   , -   ,"794,093","57,051",251,"15,127","45,716", -   ,"33,421","81,146", -   , -   , -   , -   ,"22,228","13,775", -   ,"2,380", -   , -   ,"70,840"
