Well Name,Oil (BBLS),Date
Carolpick #1,23879.0,2015-03-01
Carolpick #1,16252.0,2015-04-01
Carolpick #1,11503.0,2015-05-01
Carolpick #1,9120.0,2015-06-01
Carolpick #1,8695.0,2015-07-01
Carolpick #1,7126.0,2015-08-01
Carolpick #1,6674.0,2015-09-01
Carolpick #1,5074.0,2015-10-01
Carolpick #1,4992.0,2015-11-01
Carolpick #1,4288.0,2015-12-01
Carolpick #1,6499.0,2016-01-01
Carolpick #1,5898.0,2016-02-01
Carolpick #1,4776.0,2016-03-01
Carolpick #1,3702.0,2016-04-01
Carolpick #1,2620.0,2016-05-01
Carolpick #1,3242.0,2016-06-01
Carolpick #1,1489.0,2016-07-01
Carolpick #1,2937.0,2016-08-01
Carolpick #1,2283.0,2016-09-01
Carolpick #1,2236.0,2016-10-01
Carolpick #1,740.0,2016-11-01
Carolpick #1,0.0,2016-12-01
Carolpick #1,0.0,2017-01-01
Carolpick #1,643.0,2017-02-01
Carolpick #1,2775.0,2017-03-01
Carolpick #1,1460.0,2017-04-01
Carolpick #1,1417.0,2017-05-01
Carolpick #1,1555.0,2017-06-01
Carolpick #1,1927.0,2017-07-01
Carolpick #1,1076.0,2017-08-01
Carolpick #1,1643.0,2017-09-01
Carolpick #1,2235.0,2017-10-01
Carolpick #1,2140.0,2017-11-01
Carolpick #1,2051.0,2017-12-01
Carolpick #1,1689.0,2018-01-01
Carolpick #1,1613.0,2018-02-01
Carolpick #1,1850.0,2018-03-01
Carolpick #1,1394.0,2018-04-01
Carolpick #1,950.0,2018-05-01
Carolpick #1,1047.0,2018-06-01
Carolpick #1,1091.0,2018-07-01
Carolpick #1,1048.0,2018-08-01
Carolpick #1,963.0,2018-09-01
Carolpick #1,885.0,2018-10-01
Carolpick #1,675.0,2018-11-01
Carolpick #1,1071.0,2018-12-01
Carolpick #1,972.0,2019-01-01
Carolpick #1,1031.0,2019-02-01
Carolpick #1,1027.0,2019-03-01
Carolpick #1,880.0,2019-04-01
Carolpick #1,556.0,2019-05-01
Carolpick #1,706.0,2019-06-01
Carolpick #1,243.0,2019-07-01
Carolpick #1,49.0,2019-08-01
Carolpick #1,437.0,2019-09-01
Carolpick #1,821.0,2019-10-01
Carolpick #1,489.0,2019-11-01
Carolpick #1,660.0,2019-12-01
Carolpick #1,557.0,2020-01-01
Carolpick #1,504.0,2020-02-01
Carolpick #1,570.0,2020-03-01
Carolpick #1,518.0,2020-04-01
Carolpick #1,351.0,2020-05-01
Carolpick #1,306.0,2020-06-01
Carolpick #1,550.0,2020-07-01
Carolpick #1,776.0,2020-08-01
Carolpick #1,688.0,2020-09-01
Carolpick #1,686.0,2020-10-01
Carolpick #1,743.0,2020-11-01
Carolpick #1,706.0,2020-12-01
Carolpick #1,741.0,2021-01-01
Carolpick #1,677.0,2021-02-01
Carolpick #1,813.0,2021-03-01
Carolpick #1,673.0,2021-04-01
Carolpick #1,722.0,2021-05-01
Carolpick #1,1001.0,2021-06-01
Carolpick #1,1155.0,2021-07-01
Carolpick #1,926.0,2021-08-01
Carolpick #1,449.0,2021-09-01
Carolpick #1,794.0,2021-10-01
Carolpick #1,763.0,2021-11-01
Carolpick #1,719.0,2021-12-01
Carolpick #1,580.0,2022-01-01
Carolpick #1,1032.0,2022-02-01
Carolpick #1,815.0,2022-03-01
Carolpick #1,674.0,2022-04-01
Carolpick #1,718.0,2022-05-01
Carolpick #1,589.0,2022-06-01
Carolpick #1,964.0,2022-07-01
Carolpick #1,673.0,2022-08-01
Carolpick #1,614.0,2022-09-01
Carolpick #1,465.0,2022-10-01
Carolpick #1,573.0,2022-11-01
Carolpick #1,394.0,2022-12-01
Carolpick #1,758.0,2023-01-01
Carolpick #1,529.0,2023-02-01
Carolpick #1,250.0,2023-03-01
Carolpick #1,466.0,2023-04-01
Carolpick #1,518.0,2023-05-01
