t,q,t_model,q_model
0,16252.0,0.0,15743.245527121051
1,11503.0,1.0,12223.59358985189
2,9120.0,2.0,9950.924688622425
3,8695.0,3.0,8367.467828144167
4,7126.0,4.0,7203.738764341891
5,6674.0,5.0,6313.972987524228
6,5074.0,6.0,5612.59775795341
7,4992.0,7.0,5046.147716237534
8,4288.0,8.0,4579.538214320905
9,6499.0,9.0,4188.814212570109
10,5898.0,10.0,3857.07460432583
11,4776.0,11.0,3572.0619414487287
12,3702.0,12.0,3324.675270031915
13,2620.0,13.0,3108.0189159310926
14,3242.0,14.0,2916.7749654849713
15,1489.0,15.0,2746.7780145643364
16,2937.0,16.0,2594.720114539539
17,2283.0,17.0,2457.941739286075
18,2236.0,18.0,2334.280916539987
19,740.0,19.0,2221.9625090016452
20,0.0,20.0,2119.5157294953933
21,0.0,21.0,2025.7118468421738
22,643.0,22.0,1939.5165522505372
23,2775.0,23.0,1860.0531198036178
24,1460.0,24.0,1786.573616207494
25,1417.0,25.0,1718.4361836846997
26,1555.0,26.0,1655.0869548419976
27,1927.0,27.0,1596.0455358640957
28,1076.0,28.0,1540.8932642893287
29,1643.0,29.0,1489.2636429234587
30,2235.0,30.0,1440.834494355623
31,2140.0,31.0,1395.3214862084076
32,2051.0,32.0,1352.4727561524903
33,1689.0,33.0,1312.0644251680912
34,1613.0,34.0,1273.8968327199862
35,1850.0,35.0,1237.7913621324603
36,1394.0,36.0,1203.5877511782217
37,950.0,37.0,1171.1418036788798
38,1047.0,38.0,1140.323434186257
39,1091.0,39.0,1111.0149906353176
40,1048.0,40.0,1083.109810024275
41,963.0,41.0,1056.5109702828693
42,885.0,42.0,1031.13020798884
43,675.0,43.0,1006.886976831079
44,1071.0,44.0,983.7076259615143
45,972.0,45.0,961.5246808319072
46,1031.0,46.0,940.2762119361198
47,1027.0,47.0,919.9052791979947
48,880.0,48.0,900.3594416579722
49,556.0,49.0,881.5903236955492
50,706.0,50.0,863.5532303413115
51,243.0,51.0,846.2068053307069
52,49.0,52.0,829.5127264713798
53,437.0,53.0,813.4354336685047
54,821.0,54.0,797.9418856037489
55,489.0,55.0,783.0013416141153
56,660.0,56.0,768.5851657838845
57,557.0,57.0,754.6666506600916
58,504.0,58.0,741.2208583407954
59,570.0,59.0,728.22447697521
60,518.0,60.0,715.6556909633165
61,351.0,61.0,703.4940633562753
62,306.0,62.0,691.7204291431455
63,550.0,63.0,680.3167982685743
64,776.0,64.0,669.266267363924
65,688.0,65.0,658.5529392939264
66,686.0,66.0,648.1618497249979
67,743.0,67.0,638.078900012042
68,706.0,68.0,628.2907957797805
69,741.0,69.0,618.7849906439789
70,677.0,70.0,609.5496345787266
71,813.0,71.0,600.5735264893374
72,673.0,72.0,591.8460705974337
73,722.0,73.0,583.3572362862251
74,1001.0,74.0,575.0975210905889
75,1155.0,75.0,567.0579165489396
76,926.0,76.0,559.229876662565
77,449.0,77.0,551.605288733573
78,794.0,78.0,544.1764463752262
79,763.0,79.0,536.9360245085904
80,719.0,80.0,529.8770561773936
81,580.0,81.0,522.9929110290217
82,1032.0,82.0,516.277275323927
83,815.0,83.0,509.7241333485582
84,674.0,84.0,503.3277501184308
85,718.0,85.0,497.0826552682883
86,589.0,86.0,490.9836280355918
87,964.0,87.0,485.0256832519276
88,673.0,88.0,479.20405826445324
89,614.0,89.0,473.5142007162946
90,465.0,90.0,467.95175712093555
91,573.0,91.0,462.5125621711894
92,394.0,92.0,457.19262872835964
93,758.0,93.0,451.98813844174316
94,529.0,94.0,446.8954329527551
95,250.0,95.0,441.91100564169824
96,466.0,96.0,437.03149387860594
97,518.0,97.0,432.2536717426807
