Well Name,Oil (BBLS),Date
Flower #1,11073.0,2012-08-01
Flower #1,12973.0,2012-09-01
Flower #1,17099.0,2012-10-01
Flower #1,19002.0,2012-11-01
Flower #1,22950.0,2012-12-01
Flower #1,15903.0,2013-01-01
Flower #1,10039.0,2013-02-01
Flower #1,10160.0,2013-03-01
Flower #1,3059.0,2013-04-01
Flower #1,4503.0,2013-05-01
Flower #1,3585.0,2013-06-01
Flower #1,7724.0,2013-07-01
Flower #1,3458.0,2013-08-01
Flower #1,2155.0,2013-09-01
Flower #1,2198.0,2013-10-01
Flower #1,1892.0,2013-11-01
Flower #1,2104.0,2013-12-01
Flower #1,1428.0,2014-01-01
Flower #1,1708.0,2014-02-01
Flower #1,1764.0,2014-03-01
Flower #1,1536.0,2014-04-01
Flower #1,1960.0,2014-05-01
Flower #1,1832.0,2014-06-01
Flower #1,1642.0,2014-07-01
Flower #1,1628.0,2014-08-01
Flower #1,2072.0,2014-09-01
Flower #1,2400.0,2014-10-01
Flower #1,1685.0,2014-11-01
Flower #1,1477.0,2014-12-01
Flower #1,897.0,2015-01-01
Flower #1,987.0,2015-02-01
Flower #1,1323.0,2015-03-01
Flower #1,1019.0,2015-04-01
Flower #1,1042.0,2015-05-01
Flower #1,1144.0,2015-06-01
Flower #1,1249.0,2015-07-01
Flower #1,1317.0,2015-08-01
Flower #1,1165.0,2015-09-01
Flower #1,1225.0,2015-10-01
Flower #1,1485.0,2015-11-01
Flower #1,2424.0,2015-12-01
Flower #1,2326.0,2016-01-01
Flower #1,276.0,2016-02-01
Flower #1,665.0,2016-03-01
Flower #1,303.0,2016-04-01
Flower #1,61.0,2016-05-01
Flower #1,656.0,2016-06-01
Flower #1,1820.0,2016-07-01
Flower #1,1803.0,2016-08-01
Flower #1,1635.0,2016-09-01
Flower #1,1106.0,2016-10-01
Flower #1,1037.0,2016-11-01
Flower #1,1206.0,2016-12-01
Flower #1,1206.0,2017-01-01
Flower #1,241.0,2017-02-01
Flower #1,1051.0,2017-03-01
Flower #1,758.0,2017-04-01
Flower #1,996.0,2017-05-01
Flower #1,856.0,2017-06-01
Flower #1,1023.0,2017-07-01
Flower #1,664.0,2017-08-01
Flower #1,639.0,2017-09-01
Flower #1,146.0,2017-10-01
Flower #1,1171.0,2017-11-01
Flower #1,1735.0,2017-12-01
Flower #1,598.0,2018-01-01
Flower #1,394.0,2018-02-01
Flower #1,383.0,2018-03-01
Flower #1,488.0,2018-04-01
Flower #1,478.0,2018-05-01
Flower #1,431.0,2018-06-01
Flower #1,492.0,2018-07-01
Flower #1,352.0,2018-08-01
Flower #1,442.0,2018-09-01
Flower #1,703.0,2018-10-01
Flower #1,599.0,2018-11-01
Flower #1,397.0,2018-12-01
Flower #1,251.0,2019-01-01
Flower #1,250.0,2019-02-01
Flower #1,0.0,2019-03-01
Flower #1,293.0,2019-04-01
Flower #1,202.0,2019-05-01
Flower #1,81.0,2019-06-01
Flower #1,471.0,2019-07-01
Flower #1,568.0,2019-08-01
Flower #1,540.0,2019-09-01
Flower #1,955.0,2019-10-01
Flower #1,649.0,2019-11-01
Flower #1,136.0,2019-12-01
Flower #1,548.0,2020-01-01
Flower #1,149.0,2020-02-01
Flower #1,223.0,2020-03-01
Flower #1,77.0,2020-04-01
Flower #1,114.0,2020-05-01
Flower #1,50.0,2020-06-01
Flower #1,375.0,2020-07-01
Flower #1,457.0,2020-08-01
Flower #1,30.0,2020-09-01
Flower #1,105.0,2020-10-01
Flower #1,163.0,2020-11-01
Flower #1,0.0,2020-12-01
Flower #1,395.0,2021-01-01
Flower #1,332.0,2021-02-01
Flower #1,637.0,2021-03-01
Flower #1,582.0,2021-04-01
Flower #1,513.0,2021-05-01
Flower #1,504.0,2021-06-01
Flower #1,705.0,2021-07-01
Flower #1,432.0,2021-08-01
Flower #1,433.0,2021-09-01
Flower #1,441.0,2021-10-01
Flower #1,231.0,2021-11-01
Flower #1,252.0,2021-12-01
Flower #1,189.0,2022-01-01
Flower #1,185.0,2022-02-01
Flower #1,271.0,2022-03-01
Flower #1,219.0,2022-04-01
Flower #1,292.0,2022-05-01
Flower #1,353.0,2022-06-01
Flower #1,317.0,2022-07-01
Flower #1,304.0,2022-08-01
Flower #1,111.0,2022-09-01
Flower #1,292.0,2022-10-01
Flower #1,291.0,2022-11-01
Flower #1,159.0,2022-12-01
Flower #1,262.0,2023-01-01
Flower #1,457.0,2023-02-01
Flower #1,283.0,2023-03-01
Flower #1,357.0,2023-04-01
Flower #1,202.0,2023-05-01
