Well Name,Oil (BBLS),Date
Flower #1,0.0,2019-03-01
Flower #1,293.0,2019-04-01
Flower #1,202.0,2019-05-01
Flower #1,81.0,2019-06-01
Flower #1,471.0,2019-07-01
Flower #1,568.0,2019-08-01
Flower #1,540.0,2019-09-01
Flower #1,955.0,2019-10-01
Flower #1,649.0,2019-11-01
Flower #1,136.0,2019-12-01
Flower #1,548.0,2020-01-01
Flower #1,149.0,2020-02-01
Flower #1,223.0,2020-03-01
Flower #1,77.0,2020-04-01
Flower #1,114.0,2020-05-01
Flower #1,50.0,2020-06-01
Flower #1,375.0,2020-07-01
Flower #1,457.0,2020-08-01
Flower #1,30.0,2020-09-01
Flower #1,105.0,2020-10-01
Flower #1,163.0,2020-11-01
Flower #1,0.0,2020-12-01
Flower #1,395.0,2021-01-01
Flower #1,332.0,2021-02-01
Flower #1,637.0,2021-03-01
Flower #1,582.0,2021-04-01
Flower #1,513.0,2021-05-01
Flower #1,504.0,2021-06-01
Flower #1,705.0,2021-07-01
Flower #1,432.0,2021-08-01
Flower #1,433.0,2021-09-01
Flower #1,441.0,2021-10-01
Flower #1,231.0,2021-11-01
Flower #1,252.0,2021-12-01
Flower #1,189.0,2022-01-01
Flower #1,185.0,2022-02-01
Flower #1,271.0,2022-03-01
Flower #1,219.0,2022-04-01
Flower #1,292.0,2022-05-01
Flower #1,353.0,2022-06-01
Flower #1,317.0,2022-07-01
Flower #1,304.0,2022-08-01
Flower #1,111.0,2022-09-01
Flower #1,292.0,2022-10-01
Flower #1,291.0,2022-11-01
Flower #1,159.0,2022-12-01
Flower #1,262.0,2023-01-01
Flower #1,457.0,2023-02-01
Flower #1,283.0,2023-03-01
Flower #1,357.0,2023-04-01
Flower #1,202.0,2023-05-01
