Well Name,Oil (BBLS),Sales Pressure,Flow Rate Sales,Flow Rate Flare,Date
little1791,20263.0,0.0,0.0,0.0,2021-11-01
little1791,20112.0,0.0,0.0,0.0,2021-12-01
little1791,12913.0,0.0,0.0,0.0,2022-01-01
little1791,13438.0,0.0,0.0,0.0,2022-02-01
little1791,9875.0,0.0,0.0,0.0,2022-03-01
little1791,3319.0,0.0,0.0,0.0,2022-04-01
little1791,1664.0,0.0,0.0,0.0,2022-05-01
little1791,609.0,0.0,0.0,0.0,2022-06-01
little1791,778.0,0.0,0.0,0.0,2022-07-01
little1791,2789.0,0.0,0.0,0.0,2022-08-01
little1791,2808.0,0.0,0.0,0.0,2022-09-01
little1791,3235.0,0.0,0.0,0.0,2022-10-01
little1791,2626.0,0.0,0.0,0.0,2022-11-01
little1791,2426.0,0.0,0.0,0.0,2022-12-01
little1791,2664.0,2642.59,303.85,491.73,2023-01-01
little1791,2258.0,3275.56,1600.02,270.9,2023-02-01
little1791,2874.0,2709.76,5701.41,293.69,2023-03-01
little1791,2514.0,2597.57,5784.65,132.73000000000002,2023-04-01
little1791,2686.0,3262.94,3969.32,82.92,2023-05-01
little1791,2471.0,4073.1,3010.2,31.94,2023-06-01
little1791,2596.0,2161.75,4794.55,37.16,2023-07-01
little1791,2599.0,2203.19,3616.15,38.08,2023-08-01
little1791,2565.0,2236.59,3029.8,42.18,2023-09-01
little1791,2394.0,2737.55,1191.41,15.66,2023-10-01
little1791,2238.0,2858.97,1570.45,3.61,2023-11-01
little1791,2082.0,4214.72,373.92,726.36,2023-12-01
little1791,3037.0,2490.19,2025.67,3532.54,2024-01-01
little1791,2719.0,3234.81,5146.7300000000005,5278.4400000000005,2024-02-01
little1791,1699.0,4149.99,1092.44,2996.94,2024-03-01
little1791,554.0,3971.1,164.79,23.59,2024-04-01
little1791,969.0,3868.51,234.37,298.7,2024-05-01
little1791,1466.0,2444.5,745.27,2360.49,2024-06-01
little1791,1296.0,3511.29,555.1800000000001,734.54,2024-07-01
little1791,587.0,2900.15,227.9,78.42999999999999,2024-08-01
little1791,326.0,2184.77,436.19,144.22,2024-09-01
little1791,1399.0,3158.3,846.91,745.46,2024-10-01
little1791,1767.0,1868.15,655.6,2245.94,2024-11-01
little1791,2401.0,2096.94,977.08,2807.31,2024-12-01
little1791,1914.0,1960.64,731.28,3761.14,2025-01-01
little1791,1084.0,1460.98,642.25,2049.27,2025-02-01
