Well Name,Formation,API14,Well  Number,EUR,Oil [MBO],Gas [MMCF],Aug Oil [BBLS],Aug Gas [MCF],Date,Active
AARON #1,GEORGETOWN,4250733346.0,4035.007,,137.7,39.0,1362.0,885.0,2019-04-21,True
ALLEN #1,,4250732795.0,1825.003,,41.1,3.0,,,2011-07-29,False
ANHAISER #1,,4217732586.0,,,52.5,19.0,,,2012-07-24,False
ANIKEN #1,BUDA,4250732363.0,4035.004,,25.8,2.0,70.2,0.0,2014-08-15,True
ANNPICK #1,AUSTIN CHALK,4250732967.0,9450.003,,95.8,33.0,123.4,0.0,2013-04-18,True
BALFOUR #1,GEORGETOWN,4212738440.0,8925.004,,52.4,117.0,1301.2,3602.0,2022-01-01,True
BARRIER #1,AC + BUDA,4212737129.0,6725.001,,117.7,338.0,195.9,2505.0,2015-12-03,True
BEELER RANCH #1,GEORGETOWN,4250733299.0,4035.006,,231.9,322.0,198.3,582.0,2018-01-01,True
BERMUDA #1,AUSTIN CHALK,4212733649.0,9750.002,,54.1,18.0,58.4,0.0,2010-01-16,True
BETTY #1,,4212733675.0,7450.008,,47.1,15.0,,,2010-05-13,False
BIG SONNY #1,AUSTIN CHALK,4212736972.0,9555.005,,35.9,93.0,334.9,0.0,2015-06-27,True
BLACKMON #1,BUDA,4250733242.0,9455.008,,177.7,516.0,679.9,2310.0,2015-09-16,True
BLAS REYES #1,BUDA,4212736546.0,9555.001,,30.2,693.0,35.7,3022.0,2014-12-03,True
BMMP #1,BUDA,4212738363.0,9430.009,,6.2,222.0,0.0,117.0,2021-06-11,True
BOND #1,AUSTIN CHALK,4212733788.0,7450.004,,41.1,24.0,57.4,0.0,2010-12-01,True
BOWMAN #1,,4212733434.0,,,55.0,0.0,,,2007-04-07,False
BOX #1,,4212733688.0,8350.005,,13.0,12.0,,,2010-08-07,False
BRANTON #1,GEORGETOWN,4250733380.0,3855.005,,7.1,1.0,0.0,0.0,2020-05-31,False
BRUCE WEAVER #1 ,,4250732385.0,8725.526,,,,,,,False
BRUCE WEAVER #2 RE,AUSTIN CHALK,4250733109.0,8725.527,,43.0,1.0,7910.5,600.0,2023-04-27,True
BUCK #1,,4250733332.0,8045.001,,0.0,0.0,,,2018-01-02,False
BURNS RANCH #2,BUDA,4212738566.0,9125.008,,46.4,132.0,2099.3,18727.0,2022-08-01,True
BURNS RANCH GT #1,,4212738565.0,9125.007,,0.0,0.0,,,2023-01-01,False
CANNAN #1,AUSTIN CHALK,4212733292.0,3850.001,,682.0,1542.0,280.2,5276.0,2006-03-05,True
CAROLPICK #1,BUDA,4250733150.0,9455.003,,393.1,466.0,420.5,1383.0,2014-07-13,True
CAROLYN #1,GEORGETOWN,4250733296.0,3855.012,,81.1,171.0,761.2,417.0,2017-08-15,True
CAZA #1,,4212734287.0,,,2.2,3.0,,,2012-10-08,False
CENIZO #1,BUDA,4250733208.0,3855.002,,137.8,24.0,232.4,0.0,2015-02-04,True
CHAD #1,GEORGETOWN,4250733283.0,9455.011,,125.4,206.0,55.5,857.0,2017-04-01,True
CHARLES B #1,AC + BUDA,4212737314.0,6725.002,,60.5,156.0,213.2,124.0,2016-11-15,True
CIRCLE T #1,AUSTIN CHALK,,8350.001,,178.9,35.0,624.0,0.0,2008-12-20,True
CLAYTON #1,,4212735767.0,5825.001,,5.9,0.0,,,2014-01-25,False
CORNETT #1,,4250732939.0,9450.009,,13.1,2.0,,,2012-12-15,False
CR #101,BUDA,4212738338.0,9430.001,,34.5,168.0,542.4,624.0,2021-06-08,True
CR #201,BUDA,4212738331.0,9430.002,,56.6,86.0,424.5,860.0,2020-06-30,True
CR #301,BUDA,4232333530.0,9430.003,,73.6,290.0,556.5,9130.0,2020-07-02,True
CR #302,BUDA,4232333531.0,9430.006,,28.2,0.0,463.0,0.0,2021-01-11,True
CR #401,BUDA,4232333547.0,9430.004,,3.0,0.0,104.9,0.0,2021-06-29,True
CR #501,AC + BUDA,4232332683.0,9430.005,,19.3,0.0,187.4,0.0,2020-08-09,True
CR #939,GLEN ROSE,4232333571.0,9430.014,,11.5,0.0,977.2,0.0,2022-08-01,True
CROSS S #1,AUSTIN CHALK,4250732877.0,1825.005,,47.8,5.0,44.7,0.0,2012-05-28,True
CT #1,BUDA,4212738157.0,9125.001,,208.9,730.0,2079.5,14314.0,2019-08-09,True
DALE #1,BUDA,4250733199.0,9455.005,,88.5,448.0,133.5,1820.0,2015-01-07,True
DIAL #1 ST,AUSTIN CHALK,4250733008.0,3855.026,,3.8,1.0,211.9,0.0,2022-10-01,True
DILLARD #1,BUDA,4212736529.0,9555.002,,11.4,459.0,122.5,3042.0,2014-09-24,True
DRINKARD #1,AUSTIN CHALK,4212738426.0,8925.001,,119.8,68.0,2941.4,2877.0,2022-01-01,True
DUNKLE #1,,4250732787.0,8650.009,,2.7,0.0,,,2011-09-27,False
DUNKLE #2,AUSTIN CHALK,4250732956.0,3850.026,,191.2,28.0,385.0,0.0,2013-01-19,True
DUNLAP #1,AUSTIN CHALK,4212734506.0,8650.009,,132.5,51.0,131.0,0.0,2012-03-09,True
DYESS #1,AUSTIN CHALK,4250732802.0,9450.001,,211.2,30.0,31.7,0.0,2011-09-24,True
EILEEN #1,GEORGETOWN,4250733340.0,9455.007,,41.6,78.0,361.9,159.0,2019-09-23,True
