Date,Time,Oil (BBLS),Gas (MCF),Np bbl,"GP, Mscf"
,0,0,0,0,0
12/1/2018,1,9642,10494,9642,10494
1/1/2019,2,15104,16525,24746,27019
2/1/2019,3,13043,15453,37789,42472
3/1/2019,4,20628,31819,58417,74291
4/1/2019,5,21315,26005,79732,100296
5/1/2019,6,20998,22769,100730,123065
6/1/2019,7,17560,21355,118290,144420
7/1/2019,8,15755,12946,134045,157366
8/1/2019,9,18063,19382,152108,176748
9/1/2019,10,17938,22759,170046,199507
10/1/2019,11,13275,15253,183321,214760
11/1/2019,12,9757,15608,193078,230368
12/1/2019,13,10671,14851,203749,245219
1/1/2020,14,7725,13823,211474,259042
2/1/2020,15,5908,8070,217382,267112
3/1/2020,16,5503,3283,222885,270395
4/1/2020,17,3593,1710,226478,272105
5/1/2020,18,3549,1947,230027,274052
6/1/2020,19,658,76,230685,274128
7/1/2020,20,1013,0,231698,274128
8/1/2020,21,1052,0,232750,274128
9/1/2020,22,1147,0,233897,274128
10/1/2020,23,1246,0,235143,274128
11/1/2020,24,1719,246,236862,274374
12/1/2020,25,1698,159,238560,274533
1/1/2021,26,1420,0,239980,274533
2/1/2021,27,925,9,240905,274542
3/1/2021,28,917,0,241822,274542
4/1/2021,29,1324,0,243146,274542
5/1/2021,30,1858,309,245004,274851
6/1/2021,31,1354,319,246358,275170
7/1/2021,32,772,246,247130,275416
8/1/2021,33,1115,261,248245,275677
9/1/2021,34,670,59,248915,275736
10/1/2021,35,2043,18,250958,275754
11/1/2021,36,724,815,251682,276569
12/1/2021,37,956,250,252638,276819
1/1/2022,38,1097,419,253735,277238
2/1/2022,39,635,314,254370,277552
3/1/2022,40,666,231,255036,277783
4/1/2022,41,456,244,255492,278027
5/1/2022,42,701,821,256193,278848
6/1/2022,43,809,79,257002,278927
7/1/2022,44,1196,838,258198,279765
8/1/2022,45,849,449,259047,280214
9/1/2022,46,1169,24,260216,280238
10/1/2022,47,451,6,260667,280244
11/1/2022,48,515,0,261182,280244
12/1/2022,49,611,29,261793,280273
1/1/2023,50,634,0,262427,280273
2/1/2023,51,488,0,262915,280273
3/1/2023,52,516,145,263431,280418
4/1/2023,53,501,201,263932,280619
5/1/2023,54,526,14,264458,280633
6/1/2023,55,447,93,264905,280726
7/1/2023,56,310,111,265215,280837
8/1/2023,57,491.6,21,265706.6,280858
9/1/2023,58,356.6,0,266063.2,280858
