Well,Date
Aaron #1,16
Aniken #1,15
Annpick #1,9
Barrier #1,9
Beeler Ranch #1,4
Blackmon #1,11
Carolpick #1,2
Carolyn #1,12
Cenizo #1,3
Chad #1,2
Charles B #1,8
Circle T #1,1
Cr #201,16
Cr #101,15
Cr #301,14
Cr #302,14
Cr #939,14
Ct #1,9
Dunkle #2,3
Dyess #1,10
Eileen #1,9
Evergreen #1,9
Flower #1,11
Gail #1,2
Grissom #1,1
J Beeler #1,4
Jessica #1,2
Jj #1,16
Kiley #1,10
Lackey Five #1,16
Lander #1,4
Lt #1,15
Mdb #1,3
Molak #1,8
Montemayor #1,3
Moreland #1,1
Parkway #1,12
Pc #1,12
Pfeiffer #1,11
Pickens #1,2
Pickens Weaver #1,2
Rab #1,10
Rab #2,10
Rab #3,10
Richard #1,4
Richardson #1,8
Ruthpick #1,10
Solansky #1,1
Thompson #2,3
Thuss #1,16
