API14,Well Name
4250733427,RAB #1
4250733387,THUSS #1
4250733386,MDB #1
4250733380,BRANTON #1
4250733370,LACKEY FIVE #1
4250733364,KLEIMANN #3
4250733346,AARON #1
4250733340,EILEEN #1
4250733337,KAY #1
4250733335,J. BEELER #1
4250733333,PICKENS-WEAVER #1
4250733332,BUCK #1
4250733331,PALM #1
4250733326,WHITTINGTON #1
4250733325,JANIE #1
4250733321,JOSEPH #1
4250733318,HEITZ #1
4250733317,KILEY #1
4250733306,KLEIMANN #1
4250733302,PARSONS-HIMEBROOK #1
4250733300,MUSTANG RANCH #1H
4250733299,BEELER RANCH #1
4250733298,LANDER #1
4250733296,CAROLYN #1
4250733294,GONZALES #1
4250733285,DEL MONTE #1
4250733283,CHAD #1
4250733282,PECAN GROVE #1
4250733281,PARKWAY #1
4250733279,RHODES #1
4250733269,LT #1
4250733257,KIRBY #1
4250733251,PRESTON #1
4250733242,BLACKMON #1
4250733238,GAIL #1
4250733226,RICHARD #1
4250733208,CENIZO #1
4250733207,PC #1
4250733199,DALE #1
4250733172,RUTHPICK #1
4250733150,CAROLPICK #1
4250733109,BRUCE WEAVER #2H
4250733098,JESSICA #1
4250733023,PFEIFFER #1
4250733019,LISA #1
4250733008,DIAL #1ST
4250733007,RONALD #1
4250732968,MARPICK #1
4250732967,ANNPICK #1
4250732956,DUNKLE #2
4250732942,RIO NUECES #1
4250732939,CORNETT #1
4250732918,PICKWILL #1
4250732907,GRISSOM #1
4250732901,FLOWER #1
4250732877,CROSS S #1
4250732863,MARGUERITE #1
4250732853,WOODWARD #1
4250732838,PRITCHETT #1
4250732832,HABY #1
4250732815,SOLANSKY #1
4250732802,DYESS #1
4250732795,ALLEN #1
4250732787,DUNKLE #1
4250732783,PICKENS #1
4250732782,HUBER #1
4250732766,JOE #1
4250732739,PALM CATTLE #1
4250732726,TLAPEK #1
4250732717,LEARY TRUST #1
4250732706,MCLEAN #1H
4250732703,THOMPSON #2H
4250732701,TRIPLE J #2
4250732700,TRIPLE J UNIT #1
4250732693,THOMPSON UNIT #1
4250732481,PFEIFFER #2RE
4250732472,PICKENS RANCH #2H
4250732385,BRUCE WEAVER #1RE
4250732363,ANIKEN #1
4250732350,TORTUGA RANCH #1H
4248135229,PRATKA #1
4248134969,PIERCE RANCH #4
4248134934,BOONE ESTATE GAS UNIT #1
4248134853,WITTIG SISTERS #1
4248134824,HILL #1
4248134787,"BROWNSON HOME, INC. #1"
4248134585,WENDEL-RIOUX #1
4248134568,HICKS #1
4248134557,GLAZE #1
4248134546,KRESTA #1
4248134494,PIERCE RANCH #2
4248134478,BURGER #1
4247534544,PYOTE GAS UNIT NO. 11 #2
4246934304,WAYNE #1
4246934281,ANN #1
4246934237,PARRIS #1
4246934183,THOMAS #1
4246934176,GB #1
4246934162,SIEVERS #1
4246934159,TALI #1
4246934144,HOUSE #1
4246934143,WELDER-MURPHY #1
4246934142,CAREY #1
4246934056,CARPENTER #1
4246934019,BATSON #2
4246933998,STEPHEN #1
4246933997,BATSON #1
4246933991,FISHBECK #1
4246933989,WHITEHEAD #1
4246136629,MANN TRUST #1
4241535394,BULLARD #9
4241535233,BULLARD #8
4241535188,BULLARD #7
4241535093,BULLARD #6
4241534867,CLARKSON C #1
4241534866,BRUMLEY #6
4241534754,BULLARD #5
4241534738,BRUMLEY #5
4241534737,STONE #2
4241534734,BRUMLEY #4
4241534733,BRUMLEY #3
4241534640,STONE #1
4241534638,BRUMLEY #2
4241534597,VANDIVER #1
4241534544,BRUMLEY #1
4241533070,BRUMLEY SWD #1
4241532126,EVERETT UNIT #1
4241532065,BECK UNIT #1
4241531207,VOSS #1
4241504252,"YORK, J. B. #2"
4241502739,BULLARD #1
4241501257,"SNYDER TOWNSITE OIL UNIT ""B"" #1"
4241501058,"YORK, J. B. #1"
4239530549,SOELL #1
4239530541,SPILLER T-BAR-X #1
