Well Name,Well  Number,API14
AARON #1,4035.007,4250733346
ALLEN #1,1825.003,4250732795
ANHAISER #1,,4217732586
ANIKEN #1,4035.004,4250732363
ANNPICK #1,9450.003,4250732967
BALFOUR #1,8925.004,4212738440
BARRIER #1,6725.001,4212737129
BEELER RANCH #1,4035.006,4250733299
BERMUDA #1,9750.002,4212733649
BETTY #1,7450.008,4212733675
BIG SONNY #1,9555.005,4212736972
BLACKMON #1,9455.008,4250733242
BLAS REYES #1,9555.001,4212736546
BMMP #1,9430.009,4212738363
BOND #1,7450.004,4212733788
BOWMAN #1,,4212733434
BOX #1,8350.005,4212733688
BRANTON #1,3855.005,4250733380
BRUCE WEAVER #1 ,8725.526,4250732385
BRUCE WEAVER #2 RE,8725.527,4250733109
BUCK #1,8045.001,4250733332
BURNS RANCH #2,9125.008,4212738566
BURNS RANCH GT #1,9125.007,4212738565
CANNAN #1,3850.001,4212733292
CAROLPICK #1,9455.003,4250733150
CAROLYN #1,3855.012,4250733296
CAZA #1,,4212734287
CENIZO #1,3855.002,4250733208
CHAD #1,9455.011,4250733283
CHARLES B #1,6725.002,4212737314
CIRCLE T #1,8350.001,
CLAYTON #1,5825.001,4212735767
CORNETT #1,9450.009,4250732939
CR #101,9430.001,4212738338
CR #201,9430.002,4212738331
CR #301,9430.003,4232333530
CR #302,9430.006,4232333531
CR #401,9430.004,4232333547
CR #501,9430.005,4232332683
CR #939,9430.014,4232333571
CROSS S #1,1825.005,4250732877
CT #1,9125.001,4212738157
DALE #1,9455.005,4250733199
DIAL #1 ST,3855.026,4250733008
DILLARD #1,9555.002,4212736529
DRINKARD #1,8925.001,4212738426
DUNKLE #1,8650.009,4250732787
DUNKLE #2,3850.026,4250732956
DUNLAP #1,8650.009,4212734506
DYESS #1,9450.001,4250732802
EILEEN #1,9455.007,4250733340
ELAINE #1,,4212733963
EVERGREEN #1,8350.010,4212733683
FATHEREE #1,8925.003,4212738425
FGP #1,,4212733606
FLOWER #1,9450.006,4250732901
FLYING G #1,8350.002,4212733527
GAIL #1,9455.009,4250733238
GIL #1,8350.003,4212733727
GRISSOM #1,1825.006,4250732907
HABY #1,3850.020,4250732832
HEITZ #1,8045.002,4250733318
HUBER #1,3850.016,4250732782
J BEELER #1,8045.005,4250733335
JESSICA #1,9455.001,4250733098
JIC #1,8925.002,4212738370
JIC BUDA #1,8925.009,4212738646
JJ #1,8045.004,4212736601
JOE #1,3850.015,4250732766
JOSEPH #1,9455.014,4250733321
JRED #1,5825.002,4212735917
KAY #1,3855.016,4250733337
KILEY #1,9455.002,4250733317
KINCAID #1,9425.001,4232333523
KIRBY #1,3855.003,4250733257
KLEIMANN #1,3855.015,4250733306
KLEIMANN #3,3855.022,4250733364
LA ROSITA #1,8650.001,4212733586
LACKEY FIVE #1,3855.017,4250733370
LAMB #1,8925.007,4212738760
LANDER #1,9455.012,4250733298
LANSFORD #1,7450.006,4212733811
LEARY TRUST #1,3850.011,4250732717
LISA #1,9450.012,4250733019
LITTLE 179 #1,6560.001,4212732836
LOCHTE #1,9125.006,4212738367
LT #1,3855.007,4250733269
MARGUERITE #1,4025.002,4250732863
MARPICK #1,4025.004,4250732968
MARRS #1,8925.005,4212738476
MDB #1,3855.024,4250733386
MOLAK #1,9750.001,4212733623
MONTEMAYOR #1,3925.001,4212735209
MORELAND #1,8350.009,4212733617
PALM #1,3855.006,4250733331
PARKWAY #1,3855.011,4250733281
PC #1,3855.001,4250733207
PECAN GROVE #1,3855.009,4250733282
PFEIFFER #1,4035.003,4250733023
PICKENS #1,9450.002,4250732783
PICKENS RANCH #2H,4025.003,4250732472
PICKWILL #1,9450.008,4250732918
PRESTON #1,3855.004,4250733251
PRITCHETT #1,3850.019,4250732838
RAB #1,8045.006,4250733427
RAB #2,8045.007,4247944597
RAB #3,8045.008,4212738474
RHODES #1,7125.002,4250733279
RICHARD #1,4035.005,4250733226
RICHARDSON #1,8650.008,4212734253
RIO NUECES #1,3850.022,4250732942
RONALD #1,9450.011,4250733007
RUSSELL #1,9555.004,4212736861
RUTH #1,8650.007,4212733816
RUTHPICK #1,9455.004,4250733172
SANSOM #1,8925.008,4212738610
SOLANSKY #1,1825.002,4250732815
SUGARLAND #1,8650.004,4212733632
TEBO #1,,4212733747
THALMANN #1,8350.006,4212733751
THOMPSON #2,3850.005,
THUSS #1,3855.025,4250733387
TLAPEK #1,3850.012,4250732726
TORTUGA RANCH #1H,,4250732350
TRIPLE J #2,3850.006,4250732701
TRIPLITT UNIT #1H,,4212733635
TROTTER #1,8650.006,4212733726
VERMILLION #1,3855.010,4212737316
VERNA #1,8650.005,4212733663
VRE MINERALS #1,9125.004,4212738366
WHITE MARLIN #1,3855.008,4212737308
WHITTINGTON #1,3855.013,4250733326
WOODWARD #1,1825.004,4250732853
