,Well,Unnamed: 1,Nymex PV
0,aaron 1,0.0020724,26.989594974230343
1,ab pad 10 state ,0.00725295,
2,abenaki 10 state,0.00669226,
3,abenaki 10 state,0.00669226,
4,abenaki 10 state,0.00669226,
5,aniken 1,0.00098783,5.57149676904496
6,annpick 1,3.86e-06,0.1777260057433277
7,balfour 1,0.00188711,102.08672075993671
8,barrier 1,0.001212,3.4044454831624957
9,baugh 1h,2.081e-05,0.0
10,bayou rouge ,6.25e-05,
11,bayou rouge ,5.215e-05,
12,bayou rouge ,7.542e-05,
13,bayou rouge ,8.418e-05,
14,bayou rouge ,6.25e-05,
15,beal 1,0.00203125,230.43309306086215
16,beams 15 state 1,0.00669226,0.0
17,beams 15 state 2,0.00669226,112.6392046440991
18,beams 15 state 3,0.00669226,0.0
19,beams 15 state 4,0.00669226,0.0
20,beams 15 state 5,0.01416586,1.0683135159965969
21,beck  1,0.1975073,25.699360126617297
22,beeler 1h,0.000542,0.0
23,beeler 2h,0.00038071,
24,beeler 3h,0.00053634,
25,beeler 4h,0.00062595,
26,beeler 5st,0.00054381,
27,beeler 6h,0.00062347,
28,beeler 7h,0.00038317,
29,beeler 8h,0.00054653,
30,beeler ranch 1,0.00158584,0.0
31,beeler ranch 1,0.002089,
32,beeler  a 9h,0.00063923,0.0
33,beeler  c 20h,0.00054559,0.0
34,beeler  d 16h,0.00064716,0.0
35,beeler  e 17h,0.00064348,9.431106721503781
36,beeler  f 19h,0.00064902,0.0
37,beeler  h 26h,0.00038559,0.0
38,benge 1h,0.00140624,
39,benge 8,0.00090821,
40,beretta 1,2.59e-05,
41,bermuda 1,0.00207448,0.0
42,betty wilson 2h,0.00870827,
43,betty wilson ih,0.0001,
44,big sonny 1,0.0015,1.4488751435185472
45,blackmon 1,4.167e-05,103.39739173054627
46,blackmon  1h,0.00011836,13.563522588478689
47,blair - txl 1,0.001875,246.21876295928143
48,blair - txl 3,0.001875,
49,blair - txl no 6,0.001875,
50,blair txl 7-2,0.001875,
51,blas reyes 1,0.00093751,
52,bmmp 1,0.00185517,0.0
53,bond 1,2.135e-05,2.002290270094332
54,booth beeler 9re,0.00043417,
55,booth  5re,2.969e-05,0.0
56,booth weaver 1re,0.0009765,
57,bougainvillea 33,0.00229824,
58,bradshaw 1,0.0019171,93.86557725892477
59,branton 1,0.00273936,0.0
