,Well,Unnamed: 1,Unnamed: 2,Nymex PV
0,baugh 1h,OR,0.00016649,0.0
1,beal 1,WI,0.024375,230.43309306086215
2,benge 1h, WI,0.01125,
3,benge 8,WI,0.00726562,
4,beretta 1, OR,0.0002072,
5,bradshaw 1,WI,0.01533674,93.86557725892477
6,brumley 1,WI,0.025,
7,brumley 2,WI,0.025,
8,brumley 3,WI,0.025,
9,brumley 4,WI,0.025,
10,brumley 5,WI,0.025,
11,brumley 6,WI,0.025,
12,buchanan 1, WI,0.03060764,
13,bullard 5,WI,0.0196875,
14,bullard 6,WI,0.0196875,
15,bullard 7,WI,0.0196875,
16,bullard 8,WI,0.0196875,
17,bullard 9,WI,0.0196875,
18,caldwell 1, WI,0.03205152,0.0
19,camp 1h, OR,1.337e-05,
20,carroll 1, WI,0.0159603,
21,ck 1,WI,0.0161772,105.9238751684878
22,coffman 1,WI,0.01529493,
23,della 1,WI,0.02436798,247.5076504036929
24,dominik 1h,OR,2.083e-05,
25,dominik 2h,OR,2.083e-05,
26,drake 1,WI,0.01457734,
27,drake 2,WI,0.01457734,
28,ee jones  1, WI,0.01292191,
29,endler 1, OR,0.00016247,
30,eva 1, WI,0.02393256,102.19654679164577
31,feather crest far, RI,1.314e-05,
32,flora 1,WI,0.024375,315.6448441847747
33,floyd 1,WI,0.01422593,52.56754867254265
34,fridel 1, WI,0.02053453,
35,galah 3h, WI,0.00343577,58.0177157505718
36,gb1,WI,0.03,
37,georgette smith, WI,0.024,
38,gibbs brothers 2h, WI,0.00300189,
39,glynda 2,OR,0.00039525,1.9378618877926268
40,grey 1h,OR,0.0001386,
41,harrison 1h,WI,0.0128729,
42,harrison 2h,WI,0.0119451,
43,hayes no 1h,WI,0.01749793,
44,hayes no 2h,WI,0.01749793,
45,herbich 1h,WI,0.02432348,0.0
46,herbich 2,WI,0.02426351,
47,hugh thompson ii, OR,0.0005118,
48,isbell 1,WI,0.024375,172.8550282891113
49,jam 1,WI,0.01111524,228.49087511585472
50,javelina 1h, WI,0.01093765,
51,joyce 1, WI,0.0237955,80.7786780350503
52,kadav 1, WI,0.01646666,0.0
53,kagg 1,WI,0.02435668,
54,kagg 2,WI,0.02435668,
55,kennedy 1,WI,0.01606497,832.5802324141941
56,knotts yeager 1, WI,0.02432858,
57,koontz heirs 1h, OR,7.574e-05,0.7528375276658756
58,leon t bar x 1, WI,0.0149,
59,little 179 1h,WI,0.04157941,413.27234007159024
60,lloyd 1, WI,0.02114669,0.0
61,lott-wilson 1h, WI,0.00164865,2.0200987744705787
62,morris 1h, OR,0.00013958,0.023743570273993805
63,mosley 1, WI,0.01600138,84.81867459937425
64,mt 1,WI,0.014121,
65,murphy smith 1, WI,0.02139214,
66,myrtle 1,WI,0.02394984,0.0
67,nevill 1,WI,0.02363937,192.55469847560937
68,nichols 1,WI,0.01125,
69,nichols 2,WI,0.01125,
70,nichols 3,WI,0.01125,
71,obrien 1h,OR,0.00017782,
72,oltmann 1h, OR,9.553e-05,
73,ortiz 1, WI,0.02393256,
74,owen 1h,WI,0.01589227,76.89806319577978
75,peters 5, WI,0.01523935,0.0
76,post oak 1,WI,0.00950495,
77,post oak 2,WI,0.00950495,
78,pratka 1,WI,0.02189236,52.96999149609401
79,ra 1,WI,0.02355882,15.2057958801572
80,ranger 1h, OR,0.00014144,
81,rb clary 1,WI,0.02353036,533.6002312068632
82,remington 1h,WI,0.00742509,
83,ridgeback 1h, WI,0.00664244,
84,ruen 1,WI,0.02412968,
85,ruen 2,WI,0.02412968,
86,ruen 3x,WI,0.02412968,
87,sandifer 1, WI,0.0147,
88,seawasp 2h, WI,0.00246372,
89,soell 1, WI,0.02399805,0.0
90,spiller t bar x , WI,0.01490988,
91,stillwagon 1h,OR,0.00029341,
92,stillwagon 2h,OR,0.00029341,
93,stillwagon 3h,OR,0.00029341,
94,stillwagon 4h,OR,0.00029341,
95,stingray 2h,WI,0.00077906,6.201061809247632
96,sutton 1,WI,0.0196875,
97,sutton 2,WI,0.0196875,
98,sutton 3,WI,0.0196875,
99,terrell 1,WI,0.015,
100,thomas 1,WI,0.028125,
101,thomas 1h (md),OR,0.00018651,
102,timothy 1, WI,0.024,
103,urso 1 (lang 1), RI,5.68e-06,
104,warren 1-h, WI,0.02284417,
105,watson-buck 1,WI,0.015,
106,webb 1, WI,0.02134635,39.76565194315802
107,wheaton cattle co,OR,5.953e-05,
108,white-springer 1,WI,0.02005124,148.47621222772094
109,wickson 1, WI,0.01569126,
110,wiese 1-h ,OR,0.00015795,
111,wilfred dainty 2h,OR,0.00016564,
112,william 1,WI,0.02337974,181.06806522322728
113,willie 1,WI,0.01672601,220.3474519525019
114,wilson 191 no 1h, WI,0.01495296,
115,wilson , WI,0.02064637,
116,wombat 1h, WI,0.0039178,24.26184725858998
117,wombat 2h,WI,0.00264475,97.95424711634261
118,wombat 3h, WI,0.0039178,42.677645446086544
119,ws 1, WI,0.02087487,192.99445205543708
