,Well,Unnamed: 1,Nymex PV
0,beal 1,0.0040625,230.43309306086215
1,brumley 1,0.00416667,
2,brumley 2,0.00416667,
3,brumley 3,0.00416667,
4,brumley 4,0.00416667,
5,brumley 5,0.00416667,
6,brumley 6,0.00416667,
7,bullard 5,0.00328125,
8,bullard 6,0.00328125,
9,bullard 7,0.00328125,
10,bullard 8,0.00328125,
11,bullard 9,0.00328125,
12,carroll 1,0.00399007,
13,della 1,0.00406133,247.5076504036929
14,della 1,0.00406133,
15,eva 1,0.00598314,102.19654679164577
16,eva 1,0.00598314,
17,flora 1,0.0040625,315.6448441847747
18,flora 1,0.0040625,
19,galah 3h,0.00085895,58.0177157505718
20,galah 3h,0.00085895,
21,gb1,0.012,
22,gb1,0.012,
23,georgette smith,0.006,
24,hayes no 1h,0.00436324,
25,hayes no 1h,0.00436324,
26,hayes no 2h,0.00436324,
27,henry 24 1,0.00375,
28,henry 24 2,0.00375,
29,herbich 1h,0.00405391,0.0
30,herbich 1h,0.00405391,
31,herbich 2,0.00404392,
32,herbich 2,0.00404392,
33,isbell 1,0.0040625,172.8550282891113
34,isbell 1,0.0040625,
35,joyce 1,0.00396591,80.7786780350503
36,joyce 1,0.00396591,
37,kadav 1,0.00411667,0.0
38,kadav 1,0.00411667,
39,kagg 1,0.00405945,
40,kagg 1,0.00405945,
41,kagg 2,0.00405945,
42,knotts  1,0.00353905,
43,knotts yeager 1,0.00405476,
44,knotts yeager 1,0.00405476,
45,leon t bar x 1,0.003725,
46,leon t bar x 1,0.003725,
47,mosley 1,0.00400035,84.81867459937425
48,mosley 1,0.00400035,
49,myrtle 1,0.00399165,0.0
50,myrtle 1,0.00399165,
51,nevill 1,0.00371097,192.55469847560937
52,nevill 1,0.00371097,
53,nichols 1,0.001875,
54,nichols 2,0.001875,
55,nichols 3,0.001875,
56,ortiz 1,0.00598314,
57,ortiz 1,0.00598314,
58,owen 1h,0.0059596,76.89806319577978
59,owen 1h,0.0059596,
60,post oak 1,0.00475247,
61,post oak 1,0.00475247,
62,post oak 2,0.00475247,
63,pratka 1,0.00547309,52.96999149609401
64,pratka 1,0.00547309,
65,ra 1,0.00392647,15.2057958801572
66,ra 1,0.00392647,
67,rb clary 1,0.0036588,533.6002312068632
68,rb clary 1,0.0036588,
69,remington 1h,0.00123752,
70,ruen 1,0.00402161,
71,ruen 1,0.00402161,
72,ruen 2,0.00402161,
73,ruen 3x,0.00402161,
74,sandifer 1,0.003675,
75,sandifer 1,0.003675,
76,soell 1,0.00599951,0.0
77,soell 1,0.00599951,
78,spiller t bar x ,0.00372747,
79,spiller t bar x ,0.00372747,
80,sutton 1,0.00328125,
81,sutton 1,0.00328125,
82,sutton 2,0.00328125,
83,sutton 3,0.00328125,
84,terrell 1,0.005625,
85,thomas 1,0.01125,
86,thomas 1,0.01125,
87,timothy 1,0.006,
88,timothy 1,0.006,
89,wayne 1,0.01170767,
90,webb 1,0.00355774,39.76565194315802
91,webb 1,0.00355774,
92,wheaton cattle co,2.976e-05,
93,wheaton cattle co,2.976e-05,
94,white-springer 1,0.00191866,148.47621222772094
95,white-springer 1,0.00191866,
96,wickson 1,0.00392281,
97,wickson 1,0.00392281,
98,william 1,0.00389662,181.06806522322728
99,william 1,0.00389662,
100,willie 1,0.00463941,220.3474519525019
101,willie 1,0.00463941,
102,ws 1,0.00347916,192.99445205543708
