,Well,Unnamed: 1,Unnamed: 2,Nymex PV
0,aaron 1,WI,0.0207237,26.989594974230343
1,ab pad 10 state , WI,0.0050519,
2,abenaki 10 state, M,0.00743634,
3,abenaki 10 state, M,0.00743634,
4,abenaki 10 state, M,0.00743634,
5,aniken 1,WI,0.00987825,5.57149676904496
6,annpick 1,WI,0.01614675,0.1777260057433277
7,balfour 1, WI,0.01887113,102.08672075993671
8,barrier 1,WI,0.00752437,3.4044454831624957
9,beal 1,WI,0.008125,230.43309306086215
10,beams 15 state 1, M,0.00743634,0.0
11,beams 15 state 2, M,0.00743634,112.6392046440991
12,beams 15 state 3, M,0.00743634,0.0
13,beams 15 state 4, M,0.00743634,0.0
14,beams 15 state 5, WI,0.00075082,1.0683135159965969
15,beeler 1h, M,0.00023437,0.0
16,beeler 2h, WI,0.0038071,
17,beeler 3h, WI,0.00536405,
18,beeler 4h, WI,0.00625951,
19,beeler 5st, WI,0.00543875,
20,beeler 6h, WI,0.00623475,
21,beeler 7h, WI,0.00383219,
22,beeler 8h, WI,0.00546603,
23,beeler ranch 1,WI,0.0208907,0.0
24,beeler  a 9h,WI,0.00639219,0.0
25,beeler  c 20h, RI,4e-08,0.0
26,beeler  d 16h, WI,0.00647157,0.0
27,beeler  e 17h, WI,0.00643482,9.431106721503781
28,beeler  f 19h, WI,0.00649,0.0
29,beeler  h 26h, WI,0.00385591,0.0
30,bermuda 1, WI,0.02074414,0.0
31,big sonny 1,WI,0.0149625,1.4488751435185472
32,blackmon 1, OR,0.00041668,103.39739173054627
33,blair - txl 1, WI,0.015,246.21876295928143
34,blair - txl 3, WI,0.015,
35,blair - txl no 6, WI,0.0075,
36,blas reyes 1,WI,0.00937505,
37,bmmp 1,WI,0.01840371,0.0
38,bond 1,WI,0.01585405,2.002290270094332
39,booth beeler 9re, M,6.159e-05,
40,booth  5re, RI,0.00029687,0.0
41,booth weaver 1re, M,0.0003235,
42,bougainvillea 33, WI,0.00238572,
43,branton 1,WI,0.0206508,0.0
44,brothers horizon, WI,0.003825,20.93640462381858
45,brothers horizon, WI,0.0039,
46,bruce weaver 1re,WI,0.0175,
47,bruce weaver 2re,WI,0.0171868,
48,brumley 1,WI,0.0125,
49,brumley 2,WI,0.0125,
50,brumley 3,WI,0.0125,
51,brumley 4,WI,0.0125,
52,brumley 5,WI,0.0125,
53,brumley 6,WI,0.0125,
54,bullard 5,WI,0.00984375,
55,bullard 6,WI,0.00984375,
56,bullard 7,WI,0.00984375,
57,bullard 8,WI,0.00984375,
58,bullard 9,WI,0.00984375,
59,burns ranch 2 1,OR,1.917e-05,1028.0913429529476
60,burns ranch gt 1,WI,0.01113281,
61,cameron 22 st 1, WI,0.0008482,
62,cannan 1,WI,0.01996796,58.892174667255674
63,carolpick 1,WI,0.01875,101.33461063040595
64,carolyn 1,WI,0.0231003,55.90692819087362
65,cenizo 1, WI,0.0268503,18.00584491692873
66,chad 1,WI,0.01875,0.5990164788259729
67,charles b 1,WI,0.009,14.8724484851641
68,circle t 1, WI,0.01993923,143.74460288669496
69,cmww 1, WI,0.01879734,998.4920572428804
70,cmww 2, WI,0.01880962,2234.849599878351
71,cockburn state b,WI,0.00404672,
72,cornett 1 swd,WI,0.02611446,
73,corral canyon fed,WI,0.002036,
74,corral canyon fed,WI,0.0040674,
75,corral canyon fed, M,0.00406892,
76,cr 101,WI,0.01828125,0.0
77,cr 201,WI,0.01828125,0.0
78,cr 301,WI,0.01828125,13.044649685459333
79,cr 302,WI,0.01828125,64.6776289945796
80,cr 401, WI,0.01828125,0.0
81,cr 501,WI,0.01828125,0.0
82,cr 939h (cr gr 2,WI,0.0173781,
83,cross s1,OR,0.00010696,
84,cw 14 st1,WI,0.00542361,
85,dale 1,OR,0.00013653,11.858660629412167
86,davis 3,WI,0.024,
87,della 1,WI,0.00812266,247.5076504036929
88,dial 1,OR,1.749e-05,
89,dial 1 st,WI,0.02237892,9.22201001998958
90,dillard 1, M,0.00989588,7.5436832683003425
91,dl 10 15 ogopogo, WI,0.00043769,
92,dl 10 3 kraken fe, WI,0.00091099,
93,dl 15 22 narwhal, WI,0.00043769,
94,dl 15 22 narwhal, WI,0.00043769,
95,dl 15 22 narwhal, WI,0.00043769,
96,dominik 1h,OR,1.897e-05,
97,dominik 2h,OR,1.897e-05,
98,drinkard 1,WI,0.0249884,373.6616572629536
99,dunkle 2,OR,2.779e-05,
100,dunlap 1,WI,0.015,6.4150270657283635
101,dyer 10,WI,0.0039626,
102,dyer d 5,WI,0.00498169,0.0
103,dyess 1,WI,0.01526,0.7594595491553665
104,edwards 12 1, WI,0.01125,0.0
105,ee 12 1,WI,0.01125,2.484169650470045
106,eileen 1,WI,0.02425864,0.20828902483051231
107,evergreen 1,WI,0.01472033,8.784926160649336
108,fatheree 1, WI,0.0227169,42.57317047889472
109,flora 1,WI,0.008125,315.6448441847747
110,flower 1,WI,0.01476435,10.076375343944786
111,flying g 1,WI,0.01778708,0.0
112,gach 31 state 1, WI,0.00626956,0.0
113,gach 31 state 2, WI,0.00570042,0.0
114,gail 1,WI,0.01875,0.11421974264186369
115,garrett fed com ,WI,0.00219384,
116,garrett fed com ,WI,0.00219384,
117,garrett fed com ,WI,0.00224259,
118,garrett state com,WI,0.00214509,
119,garrett state com,WI,0.00214509,
120,garrett state com,WI,0.00219384,
121,garrett state com,WI,0.00219384,
122,garrett state com,WI,0.00219384,
123,gb1,WI,0.016,
124,gil 1, WI,0.03446134,0.0
125,grissom 1, OR,0.00011368,37.07901583843124
126,haley 1302, OR,0.00010547,0.0
127,hawkeye state 30, WI,0.01059949,
128,hayes no 1h,WI,0.00438564,
129,hayes no 2h,WI,0.00438564,
130,herbich 1h,WI,0.00810783,0.0
131,huber 1,WI,0.01530877,0.0
132,huffman  1re, M,0.01001807,3.514491235501257
133,isbell 1,WI,0.008125,172.8550282891113
134,j beeler 1,WI,0.019625,6.4493653361337895
135,jessica 1,WI,0.01875,230.41211829031985
136,jetero booth 10, M,3.695e-05,
137,jf cooper 19 st , WI,0.00546383,
138,jic 1,WI,0.01181201,177.1740932446883
139,jic buda 1,WI,0.02145071,24.15806861433598
140,jj 1,WI,0.0167897,1.0311958413095133
141,joe 1,WI,0.02238069,0.0
142,john  waterfl, WI,0.00091678,
143,joseph 1,WI,0.02122378,0.0
144,joyce 1, WI,0.00793183,80.7786780350503
145,jred 1,WI,0.01875,32.68127158104149
146,kagg 1,WI,0.00811889,
147,kagg 2,WI,0.00811889,
148,kay 1,WI,0.02032468,21.85434964205038
149,kiley 1,WI,0.01875,94.42184637895767
150,kim 18 2, WI,0.0075,
151,kleimann 1,WI,0.00946204,
152,kleimann 3,WI,0.02032468,
153,knotts yeager 1, WI,0.00810953,
154,koonsman 677 1, WI,0.0146672,
155,la rosita 1,WI,0.02658533,
156,lackey five 1,WI,0.01217517,18.622889579532906
157,lamb 1 (slack 1, WI,0.01893127,
158,lander 1,WI,0.02063475,0.0
159,leary trust 1, WI,0.02014278,10.273484237246226
160,little 179 1h,WI,0.01275,413.27234007159024
161,llb 15 1,WI,0.0189,8.795157399191902
162,lochte 1,WI,0.01877249,67.80842711425701
163,los vaqueros fed, WI,0.00092764,
164,los vaqueros fed, WI,0.00092764,
165,los vaqueros fed, WI,0.00092764,
166,los vaqueros fed, WI,0.00092764,
167,lottie 1, WI,0.00375,1.4442771080659744
168,lt 1,WI,0.01553728,2.0499177416111207
169,marguerite 1, WI,0.0154521,0.14669431515871356
170,marpick 1,WI,0.0140625,0.0
171,marrs 1,WI,0.03092835,21.439226717252563
172,martin 11 state , M,0.00743634,
173,mclean 1,WI,0.0143938,
174,mdb (ac),WI,0.02065517,
175,molak 1, M,0.02063447,12.642594544604547
176,montemayor 1,WI,0.01870928,0.0
177,moore 12u cl, WI,0.00303606,
178,moore 5 cl, WI,0.00262522,
179,moore 6 cl,WI,0.00507681,
180,moore 7 cl,WI,0.00262522,
181,moore 8 cl,WI,0.00290953,
182,moore 9 cl, WI,0.00361903,
183,moore jm 134,WI,0.00899038,
184,moore jm 174,WI,0.0080965,
185,moore jm 178,WI,0.0080965,
186,moore jm 192, WI,0.00734649,
187,moore jm 206,WI,0.0080965,
188,moore jm 207,WI,0.0080965,
189,moore jm 209,WI,0.0080965,
190,moore jm 213,WI,0.0080965,
191,moore jm 214,WI,0.0080965,
192,moore jm 218,WI,0.0080965,
193,moore jm 219,WI,0.0080965,
194,moore jm 225, WI,0.0080965,
195,moore lease - car,WI,0.00262522,
196,moreland 1, WI,0.01778708,0.0
197,mueller 1,WI,0.0038625,0.0
198,myrtle 1,WI,0.00798327,0.0
199,nevill 1,WI,0.00742186,192.55469847560937
200,nichols 1,WI,0.005625,
201,nichols 2,WI,0.005625,
202,nichols 3,WI,0.005625,
203,owen 1h,WI,0.00794613,76.89806319577978
204,paddy 13 state 1, WI,0.01101218,0.0
205,paddy 15 st 1, WI,0.00503388,
206,paddy 15 state 2, WI,0.01204853,103.03772638251642
207,paddy 15 state 3, WI,0.01058587,11.035234610573163
208,paddy 18 state 1, WI,0.01214334,0.0
209,paddy 18 state 2, WI,0.01564286,0.0
210,paddy 18 state 3, WI,0.00036903,0.0
211,paddy 19 st 1, WI,0.01111138,
212,paddy 19 state 2, WI,0.00555859,0.8242490930522588
213,paddy 19 state 3, WI,0.00555859,0.0
214,paddy 19 state 4, WI,0.00526117,2.8146900987626093
215,paddy 19 state 5, WI,0.00499538,0.0
216,paddy 20 st 1, WI,0.0051953,
217,paddy 23 state 1, WI,0.00453999,0.0
218,palm 1,WI,0.02927921,0.0
219,parkway 1,OR,0.000365,123.78933078043727
220,pc 1,WI,0.0268503,28.915802103854784
221,pecan grove 1,WI,0.02041143,0.0
222,pfeiffer 1 re,WI,0.01875,
223,pfeiffer-byrd 1, WI,0.01337624,
224,pickens 1,WI,0.015075,11.802555396159068
225,pickens-weaver 1,WI,0.02096947,0.24810893644853946
226,pickwill 1,WI,0.01693957,9.468804398844682
227,post 2, WI,0.00462,0.0
228,pratka 1,WI,0.00768153,52.96999149609401
229,preston 1, M,0.000365,0.0
230,ra 1,WI,0.00785294,15.2057958801572
231,rab 1,WI,0.0132915,32.92027189965894
232,rab 2,WI,0.00958696,382.2143871212267
233,rab 3,WI,0.0127364,121.83751939246974
234,raider 9 state 1, M,0.00743634,806.540936287453
235,raider 9 state 3, M,0.00743634,846.5673970614315
236,rb clary 1,WI,0.00731767,533.6002312068632
237,remington 1h,WI,0.00247503,
238,rhodes 1,WI,0.01399031,0.0
239,richard 1,WI,0.0196683,43.37679599769219
240,richardson 1,WI,0.015,116.42488035026228
241,ronald 1, WI,0.01851932,62.54251888772067
242,ruen 1,WI,0.00804323,
243,ruen 2,WI,0.00804323,
244,ruen 3x,WI,0.00804323,
245,russell 1,WI,0.009375,3.3065448992479496
246,ruth 1,WI,0.015,14.451164390517228
247,ruthpick 1,WI,0.01615223,72.75083202988044
248,sansom 1,WI,0.0188197,221.0493077746352
249,seawasp 2h, WI,0.0008973,
250,slaughter b 1, WI,0.01071428,
251,solansky 1, OR,0.00011297,55.902344147571284
252,spiller t bar x , WI,0.00024452,
253,stingray 2h,WI,0.00070934,6.201061809247632
254,sugarland 1,WI,0.01125,25.55687006345424
255,sutton 1,WI,0.00656249,
256,sutton 2,WI,0.00656249,
257,sutton 3,WI,0.00656249,
258,tech 16 state 1, WI,0.00080999,0.0
259,terrell 1,WI,0.015,
260,thalmann 1,WI,0.015404,1.7069076682912503
261,thomas 1,WI,0.015,
262,thompson 1,WI,0.01944798,
263,thompson 2,WI,0.01762853,
264,thuss 1,WI,0.020625,0.34365878148059736
265,tlapek 1,WI,0.01871544,4.326635735286766
266,tortuga b  3, M,0.00959397,
267,tortuga b  2r, M,0.00507572,
268,tortuga c  5, M,0.00504677,
269,tortuga  1re, M,0.00507921,26.418804114638295
270,triple j 2,WI,0.01850286,
271,trotter 1,WI,0.015,10.084467028853974
272,vermillion 1,WI,0.02126827,0.0
273,verna 1, WI,0.02060285,6.105014346216105
274,vre minerals,WI,0.0075,
275,webb 1, WI,0.00711545,39.76565194315802
276,whittington 1,WI,0.02022958,0.0
277,wickson 1, WI,0.00196141,
278,william 1,WI,0.00779325,181.06806522322728
279,willie 1,WI,0.00372359,220.3474519525019
280,wombat 1h, WI,0.00240808,24.26184725858998
281,wombat 2h,WI,0.00240808,97.95424711634261
282,wombat 3h, WI,0.00240808,42.677645446086544
283,wood  b 1h, WI,0.00375,0.0
284,ws 1, WI,0.00695829,192.99445205543708
