,Well,Unnamed: 1,Unnamed: 2,Nymex PV
0,aniken 1,WI,0.00098685,5.57149676904496
1,annpick 1,WI,0.00161468,0.1777260057433277
2,ayers  24 1h,RI,0.00029093,
3,ayers  24 2wa,RI,0.00029093,
4,ayers  24 3wb,RI,0.00029093,
5,barrier 1,RI,0.00073965,3.4044454831624957
6,beal 1,WI,0.00203125,230.43309306086215
7,berry 1h,OR,0.00625,
8,big valley 6-20 1,RI,0.00029093,
9,blackmon 1, WI,0.00129999,103.39739173054627
10,blair - txl 1, WI,0.0019881,246.21876295928143
11,blair - txl 3, WI,0.00526932,
12,blair - txl no 6, WI,0.00810937,
13,blair txl 7-2,WI,0.00492188,
14,blue shark 1h,WI,0.00628473,
15,branton 1,WI,0.0023014,0.0
16,brothers horizon, WI,0.00136821,20.93640462381858
17,brothers horizon, WI,0.11394006,
18,brumley 1,WI,0.05572915,
19,brumley 2,WI,0.05572915,
20,brumley 3,WI,0.05572915,
21,brumley 4,WI,0.05572915,
22,brumley 5,WI,0.05572915,
23,brumley 6,WI,0.04687499,
24,buchanan 1, WI,0.10524436,
25,bullard 5,WI,0.04675781,
26,bullard 6,WI,0.04675781,
27,bullard 7,WI,0.04675781,
28,bullard 8,WI,0.04675781,
29,bullard 9,OR,0.0078125,
30,bullard 9,WI,0.04675781,
31,burns ranch 2 1,WI,0.00394288,1028.0913429529476
32,burns ranch gt 1,WI,0.00427604,
33,caldwell 1, WI,0.11018348,0.0
34,cannan 1,WI,0.07921329,58.892174667255674
35,carolpick 1,WI,0.001875,101.33461063040595
36,carolyn 1,WI,0.00091084,55.90692819087362
37,carroll 1, WI,0.11574407,
38,cenizo 1, WI,0.00091084,18.00584491692873
39,charles b 1,RI,0.00095117,14.8724484851641
40,charli 1h,WI,0.00234375,
41,circle t 1, WI,0.07437246,143.74460288669496
42,cockburn state b,OR,0.00525,
43,cornett 1 swd,WI,0.00271591,
44,corral canyon 5-3, WI,0.00126327,
45,corral canyon 5-3, WI,0.00126327,
46,corral canyon 5-3, WI,0.00126327,
47,corral canyon 5-3, WI,0.00126327,
48,corral canyon 5-3, WI,0.00126327,
49,corral canyon 8-3, WI,0.00126327,
50,corral canyon 8-3, WI,0.00126327,
51,corral canyon 8-3, WI,0.00126327,
52,corral canyon 8-3, WI,0.00126327,
53,corral canyon 8-3, WI,0.00126327,
54,corral canyon 8-3, WI,0.00126327,
