Missed PTN Well Key,Well Name Jrr
baugh1h,
beretta,
"buchanan,r.1420413102300001",BUCHANAN #1
camp,
coffman1h,COFFMAN #1
dominik,
drake2,DRAKE #1
endler,ENDLER #1
ewert1h,
ewert3h,
feathercrestfarms1,FEATHER CREST FARMS
floyd1,
giant1,
gibbsbrothers,GIBBS BROTHERS 2H
glynda2,
"goen,beulah",
"goen,c.f.",
"goen,marcella",
"goen,oliverf.",
goenfamily2h,
goenfamily3h,
goldsmithbengea.y.,
grey(allocation),
harvey,
hayes2,HAYES NO 2H
herbich2h,HERBICH #2
hughthompsonii,
javelina,JAVELINA 1H
"jones,e.e.",
knotts1h,KNOTTS UNIT #1
koontzheirs1h,
lambert3h,
lebon,
leontbarx423953052700001,LEON T BAR X #1
mcduffie1421853043300001,MCDUFFIE 1
miles1h,
miles2h,
morris1h,
mt1h,MT #1
murpheysmith1,MURPHY SMITH #1
nevill1,NEVILLE-BEAL #1
norman1,
o'brien(allocation),
oltmann,
ortiz423953048700001,ORTIZ #1
r.b.clary1,RB CLARY #1
rae3h,
rae4h,
ranger(allocation),RANGER 1H
ridgeback,RIDGEBACK 1H
rodgers1h,
rodgers3h,
"smith,georgette423953027000001",GEORGETTE SMITH
socausky/tbarx1,SPILLER T BAR X #1
soell423953054900001,SOELL #1
stillwagon,SOELL #1
thomas(allocation),THOMAS #1
timothy,TIMOTHY #1
triplesala,
tucker,
urso1,URSO #1 (LANG #1)
walkerfamily,
warrenh1,WARREN #1-H
watsonbuck1h,WATSON-BUCK #1
webb1,
wheatoncattle21h,
wilfreddainty,
willie1,
wilson1,WILSON UNIT
wilson1911h,WILSON 191 NO 1H
wombat1h,
wombat3h,
ws1,
