Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Comments
AB Pad 10 St. #1,2023-07-26,5.58,0.0,35.2,150,,
Abenaki 10 State #1,2023-07-26,5.54,3.0,13.75,50,,Rebuilt water dump valve.
Abenaki 10 State #2,2023-07-26,5.58,25.0,0.0,0,0,
Abenaki 10 State #3,2023-07-26,8.37,25.0,0.0,0,0,
Beams 15 State #1,2023-07-26,2.77,2.0,155.0,150,,
Beams 15 State #2,2023-07-26,10.18,24.0,0.0,0,0,Well 4 off resting
Beams 15 State #4,2023-07-26,0.0,1.0,0.0,0,0,Well 4 off resting
Beams 15 State #5,2023-07-26,4.77,13.0,47.47,100,,
Bougainvillea 33 State #1,2023-07-26,0.0,104.0,0.0,500,,
CW 14 State #1,2023-07-26,8.37,0.0,2.75,50,,Well off resting
Cameron 22 State #1,2023-07-26,11.16,13.0,30.25,50,,
Cooper 24 Federal #2 SWD,2023-07-26,0.0,0.0,315.25,400,,
Hawkeye 30 State #1,2023-07-26,2.79,0.0,20.16,50,,
Henry 24 #1,2023-07-26,5.58,0.0,13.0,0,0,
Henry 24 #2,2023-07-26,2.789999999999999,0.0,14.5,0,0,
MCWF #1,2023-07-26,0.0,0.0,477.86,0,,
Martin 11 State #1,2023-07-26,16.74,38.0,0.0,200,,
Paddy 13 State #1,2023-07-26,0.0,0.0,174.0,,,
Paddy 15 State #1,2023-07-26,6.365549132947978,0.0,53.33682333577176,0,0,
Paddy 15 State #2,2023-07-26,5.52,0.0,0.0,0,0,
Paddy 15 State #3,2023-07-26,1.9144508670520233,0.0,9.913176664228239,0,0,
Paddy 18 State #1,2023-07-26,0.0,0.0,0.0,0,0,"Pulling unit on well,hot oiled well."
Paddy 18 State #2,2023-07-26,2.79,0.0,47.75,200,,
Paddy 18 State #3,2023-07-26,5.58,0.0,39.99,0,0,"Pulling unit on well,hot oiled well."
Paddy 19 State #1,2023-07-26,0.0,0.0,0.0,0,0,shut in
Paddy 19 State #2,2023-07-26,6.720000000000001,1.0,25.560000000000002,0,0,
Paddy 19 State #3,2023-07-26,1.67,1.0,90.0,0,0,
Paddy 19 State #4,2023-07-26,2.76,0.0,19.5,0,0,
Paddy 19 State #5,2023-07-26,2.76,0.0,19.0,0,0,
Paddy 20 State #1,2023-07-26,0.0,0.0,0.0,0,,
Paddy 23 State #1,2023-07-26,0.0,0.0,66.75,50,,Well off resting
Raider 9 ST #1,2023-07-26,27.9,127.0,0.0,0,0,
Raider 9 ST #3,2023-07-26,27.9,78.0,2.75,0,0,
Tech 16 State #1,2023-07-26,2.79,1.0,12.25,200,,
AB Pad 10 St. #1,2023-07-25,0.0,0.0,91.21,150,,
Abenaki 10 State #1,2023-07-25,8.31,4.0,16.5,50,,
Abenaki 10 State #2,2023-07-25,5.58,26.0,0.0,0,0,
Abenaki 10 State #3,2023-07-25,10.87,25.0,0.0,0,0,
Beams 15 State #1,2023-07-25,2.77,2.0,150.25,150,,
Beams 15 State #2,2023-07-25,24.14,31.0,0.0,0,0,
Beams 15 State #4,2023-07-25,12.0,2.0,13.75,0,0,
Beams 15 State #5,2023-07-25,5.58,13.0,46.52,100,,
Bougainvillea 33 State #1,2023-07-25,0.0,165.0,0.0,700,,
CW 14 State #1,2023-07-25,16.74,0.0,13.75,50,,
Cameron 22 State #1,2023-07-25,11.16,13.0,30.25,50,,
Cooper 24 Federal #2 SWD,2023-07-25,0.0,0.0,502.0,0,,
Hawkeye 30 State #1,2023-07-25,2.79,0.0,15.12,50,,
Henry 24 #1,2023-07-25,2.79,0.0,15.0,0,0,
Henry 24 #2,2023-07-25,2.79,0.0,16.0,0,0,
MCWF #1,2023-07-25,0.0,0.0,308.98,0,,Replaced bad 2x6. Nipple on flow line.
Martin 11 State #1,2023-07-25,16.74,39.0,0.0,200,,
Paddy 13 State #1,2023-07-25,0.0,0.0,150.25,,,
Paddy 15 State #1,2023-07-25,6.580809248554912,0.0,62.612792611558156,0,0,DCP Gas on.
Paddy 15 State #2,2023-07-25,8.0,0.0,0.0,0,0,DCP Gas on.
Paddy 15 State #3,2023-07-25,1.9791907514450864,0.0,11.637207388441844,0,0,DCP Gas on.
Paddy 18 State #1,2023-07-25,0.0,0.0,0.0,0,0,DCP Gas on
Paddy 18 State #2,2023-07-25,2.79,0.0,59.0,200,,DCP Gas on
Paddy 18 State #3,2023-07-25,2.79,0.0,46.33,0,0,DCP Gas on
Paddy 19 State #1,2023-07-25,0.0,0.0,0.0,0,0,shut in
Paddy 19 State #2,2023-07-25,5.04,0.0,35.480000000000004,0,0,DCP Gas on. Tank 3 over gauged.
Paddy 19 State #3,2023-07-25,0.0,0.0,80.0,0,0,DCP Gas on. Tank 3 over gauged.
Paddy 19 State #4,2023-07-25,2.76,0.0,20.5,0,0,
Paddy 19 State #5,2023-07-25,2.76,0.0,22.0,0,0,
Paddy 20 State #1,2023-07-25,0.0,0.0,0.0,0,,
Paddy 23 State #1,2023-07-25,11.16,0.0,126.5,50,,
Raider 9 ST #1,2023-07-25,27.900000000000002,125.0,0.0,0,0,
Raider 9 ST #3,2023-07-25,30.69,77.0,0.0,0,0,
Tech 16 State #1,2023-07-25,2.79,1.0,26.5,200,,
AB Pad 10 St. #1,2023-07-24,0.0,0.0,0.0,0,,Started well
Abenaki 10 State #1,2023-07-24,2.77,5.0,11.0,50,,Rebuilt Baird back pressure valve. Bad spring and keepers.
Abenaki 10 State #2,2023-07-24,0.0,26.0,0.0,0,0,
Abenaki 10 State #3,2023-07-24,5.58,25.0,0.0,0,0,
Beams 15 State #1,2023-07-24,2.77,2.0,117.0,150,,
Beams 15 State #2,2023-07-24,0.0,19.0,0.0,0,0,"Started well 4, well 15-2 back in service."
Beams 15 State #4,2023-07-24,0.0,0.0,0.0,0,0,shut in
Beams 15 State #5,2023-07-24,5.58,13.0,34.48,100,,
Bougainvillea 33 State #1,2023-07-24,0.0,0.0,0.0,900,,Started well
CW 14 State #1,2023-07-24,0.0,0.0,0.0,0,,Started well
Cameron 22 State #1,2023-07-24,5.58,13.0,22.0,50,,
Cooper 24 Federal #2 SWD,2023-07-24,0.0,0.0,194.75,0,,
Hawkeye 30 State #1,2023-07-24,2.79,0.0,5.04,50,,
Henry 24 #1,2023-07-24,2.79,0.0,8.0,0,0,
Henry 24 #2,2023-07-24,2.79,0.0,8.5,0,0,
MCWF #1,2023-07-24,0.0,0.0,108.8,0,,
Martin 11 State #1,2023-07-24,11.16,39.0,0.0,200,,
Paddy 15 State #1,2023-07-24,2.1218497109826586,0.0,25.50891550841258,0,0,
Paddy 15 State #2,2023-07-24,2.76,0.0,0.0,0,0,
Paddy 15 State #3,2023-07-24,0.6381502890173409,0.0,4.741084491587419,0,0,
Paddy 18 State #1,2023-07-24,0.0,0.0,0.0,0,0,DCP Gas off
Paddy 18 State #2,2023-07-24,2.79,0.0,38.5,200,,DCP Gas off.
Paddy 18 State #3,2023-07-24,0.0,0.0,23.62,0,0,DCP Gas off
Paddy 19 State #1,2023-07-24,0.0,0.0,0.0,0,0,shut in
Paddy 19 State #2,2023-07-24,5.04,0.0,30.120000000000005,0,0,
Paddy 19 State #3,2023-07-24,0.0,0.0,66.0,0,0,
Paddy 19 State #4,2023-07-24,2.76,0.0,16.0,0,0,
Paddy 19 State #5,2023-07-24,0.0,0.0,17.0,0,0,
Paddy 20 State #1,2023-07-24,0.0,0.0,2.75,50,,Well off not pumping
Paddy 23 State #1,2023-07-24,0.0,0.0,0.0,0,,Started well
Raider 9 ST #1,2023-07-24,19.53,124.0,0.0,0,0,
Raider 9 ST #3,2023-07-24,19.53,77.0,0.0,0,0,
Tech 16 State #1,2023-07-24,2.79,1.0,15.25,200,,
Abenaki 10 State #1,2023-07-23,5.54,5.0,11.0,50,,
Abenaki 10 State #2,2023-07-23,5.579999999999999,29.0,0.0,0,0,
Abenaki 10 State #3,2023-07-23,2.79,21.0,2.75,0,0,
Beams 15 State #1,2023-07-23,5.54,2.0,163.25,150,,
Beams 15 State #2,2023-07-23,0.0,10.0,0.0,0,0,
Beams 15 State #4,2023-07-23,0.0,0.0,0.0,0,0,shut in
Beams 15 State #5,2023-07-23,5.58,12.0,47.89,100,,
Cameron 22 State #1,2023-07-23,5.58,14.0,30.25,50,,
Cooper 24 Federal #2 SWD,2023-07-23,0.0,0.0,163.5,0,,
Hawkeye 30 State #1,2023-07-23,2.79,0.0,15.12,50,,
Henry 24 #1,2023-07-23,5.579999999999999,0.0,9.0,0,0,
Henry 24 #2,2023-07-23,2.79,0.0,13.0,0,0,
MCWF #1,2023-07-23,0.0,0.0,362.05,0,,
Martin 11 State #1,2023-07-23,16.74,38.0,0.0,200,,
Paddy 13 State #1,2023-07-23,0.0,0.0,0.0,,,
Paddy 15 State #1,2023-07-23,8.28,0.0,44.0,0,0,
Paddy 15 State #2,2023-07-23,2.0256319290465634,0.0,2.2575916230366486,0,0,
Paddy 15 State #3,2023-07-23,0.7343680709534368,0.0,19.74240837696335,0,0,
Paddy 18 State #1,2023-07-23,0.0,0.0,0.0,0,0,
Paddy 18 State #2,2023-07-23,5.58,0.0,58.25,200,,
Paddy 18 State #3,2023-07-23,2.79,0.0,46.67,0,0,
Paddy 19 State #1,2023-07-23,0.0,0.0,0.0,0,0,shut in
Paddy 19 State #2,2023-07-23,5.01,0.0,82.0,0,0,
Paddy 19 State #3,2023-07-23,0.0,0.0,42.040000000000006,0,0,
Paddy 19 State #4,2023-07-23,2.86,0.0,26.0,0,0,
Paddy 19 State #5,2023-07-23,0.0,0.0,15.25,0,0,
Paddy 20 State #1,2023-07-23,0.0,0.0,0.0,50,,Well not pumping
Raider 9 ST #1,2023-07-23,25.11,99.0,0.0,0,0,
